Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,13,Tchuco Nela,MC Rogerinho & Wesley Safadão,3,9359271,60.1%,https://www.youtube.com/watch?v=dEjA3uw5s3I
2,1,No Ouvidinho,Felipe Amorim,6,8753352,-11.1%,https://www.youtube.com/watch?v=eYuI4krrKBM
3,3,Balanço Da Rede (Ao Vivo),Matheus Fernandes,8,8562078,-1%,https://www.youtube.com/watch?v=vAM1xXdRnH0
4,6,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,5,8162698,7.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA
5,2,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",10,8030721,-16.3%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
6,4,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",5,7832599,-9.2%,https://www.youtube.com/watch?v=273pasBKH18
7,7,Vampiro,"Matuê, Wiu & Teto",5,6806611,-5.4%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
8,5,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,4,6799077,-11.1%,https://www.youtube.com/watch?v=76DWwRaztPQ
9,9,Fim de Semana no Rio,Teto,6,6772937,-4.1%,https://www.youtube.com/watch?v=7AlAYttGnAg
10,10,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,42,6434997,-1.1%,https://www.youtube.com/watch?v=jW7j41mbxXU
11,8,Malvada,Zé Felipe,14,6427674,-10.5%,https://www.youtube.com/watch?v=r0mNwyywHIY
12,11,Bloqueado (Ao Vivo),Gusttavo Lima,23,6012727,-2.8%,https://www.youtube.com/watch?v=14C28JSO-sg
13,12,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,16,5999852,-0.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU
14,,Teu Amigo Cuidou (Ao Vivo),Mari Fernandez,1,5980345,,https://www.youtube.com/watch?v=JTibSD04I_o
15,20,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",6,5080179,6.5%,https://www.youtube.com/watch?v=b7A98jz4uUA
16,21,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,22,4860778,4.2%,https://www.youtube.com/watch?v=BKDz5kNjkfU
17,15,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,13,4773036,-11.6%,https://www.youtube.com/watch?v=I_gwjhvXxzM
18,17,Malvadão 3,Xamã,20,4752197,-4.7%,https://www.youtube.com/watch?v=i9NOkjmBszo
19,18,A Maior Saudade (Ao Vivo),Henrique & Juliano,35,4738112,-3.2%,https://www.youtube.com/watch?v=6EGg0_l-edc
20,16,Botadinha Saliente,MC Rogerinho,13,4683214,-8.2%,https://www.youtube.com/watch?v=kyjtx28z-bE
21,19,Vontade De Morder,Simone & Simaria & Zé Felipe,16,4541593,-5%,https://www.youtube.com/watch?v=bgf18kANm_k
22,,Amiga (Ao Vivo),Simone & Simaria,1,4398505,,https://www.youtube.com/watch?v=48s6RGU1dr0
23,49,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,2,4290236,58.6%,https://www.youtube.com/watch?v=lac3TYlarFM
24,14,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,3,4184600,-25.5%,https://www.youtube.com/watch?v=apPxQOfh0ek
25,22,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",28,4036003,-3%,https://www.youtube.com/watch?v=TNIbXs_iNq8
26,54,Filho do Dono,Oruam & MC Cabelinho,2,3881667,48.2%,https://www.youtube.com/watch?v=dUC7TBmzrL4
27,29,Simplesmente Ela,Mc Gabzin,7,3840307,-0.7%,https://www.youtube.com/watch?v=K6iRoT8u2xU
28,24,Me Chama de Amor,Treyce & O Tubarão,4,3753831,-7.5%,https://www.youtube.com/watch?v=J9AfRmtdqGs
29,28,Parada Louca,Mari Fernandez & Marcynho Sensação,25,3589359,-7.3%,https://www.youtube.com/watch?v=SvWQZfEWA0s
30,25,Depende,Dj Guuga,20,3557503,-11.3%,https://www.youtube.com/watch?v=v9geHIUOxeA
31,33,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,25,3535826,-1.8%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
32,26,Deus É o Meu Guia,Chefin Oficial,10,3469816,-12.4%,https://www.youtube.com/watch?v=WrZ6fKelwOU
33,23,Envolver,Anitta,15,3458807,-16%,https://www.youtube.com/watch?v=hFCjGiawJi4
34,30,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,23,3436799,-8%,https://www.youtube.com/watch?v=6MNxuMgg58k
35,31,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",5,3416887,-7.4%,https://www.youtube.com/watch?v=n43oZSY7df0
36,27,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,27,3408318,-12%,https://www.youtube.com/watch?v=r2ma8WPRppk
37,32,GALOPA,PEDRO SAMPAIO,31,3404094,-5.6%,https://www.youtube.com/watch?v=mo1NcPxKfQU
38,36,Molhando O Volante (Live),Jorge & Mateus,21,3339169,1.3%,https://www.youtube.com/watch?v=_SjTFD9qVuE
39,35,Seu Perfil (Ao Vivo),Henrique & Juliano,14,3263374,-3.2%,https://www.youtube.com/watch?v=KvAagUxO3OY
40,34,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",4,3199354,-8.3%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
41,44,X1,MC Cabelinho & Dallass,6,3095808,9.2%,https://www.youtube.com/watch?v=zgdQsLH7sDw
42,39,Presepada,Marília Mendonça & Maiara & Maraisa,27,3030565,-2.7%,https://www.youtube.com/watch?v=MQv__TADEGM
43,37,ABALO EMOCIONAL (Ao Vivo),Luan Santana,13,3007147,-5.8%,https://www.youtube.com/watch?v=cPGKKktrObc
44,40,F* F* M*,Filipe Ret,26,2931322,-5.6%,https://www.youtube.com/watch?v=0hV9qYJ3IHQ
45,41,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",49,2924864,-5.6%,https://www.youtube.com/watch?v=2PRAiVs3MVc
46,42,Proteção de Tela (Live),Tarcísio do Acordeon,44,2727434,-8.2%,https://www.youtube.com/watch?v=edjih_b_NBQ
47,45,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",11,2725527,-1.7%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
48,,Homem É Tudo Igual (Ao Vivo),Simone & Simaria,1,2646196,,https://www.youtube.com/watch?v=uFDkjbD4pZs
49,,Bagulho Louco,Mc Paiva ZS,1,2641565,,https://www.youtube.com/watch?v=
50,46,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,29,2603381,-5.1%,https://www.youtube.com/watch?v=88_jnJP0OtA
51,83,Trem Mais Caro,"Mc Theuzyn, --, -- & --",2,2567654,58.1%,https://www.youtube.com/watch?v=pdkBGKQgd4c
52,53,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,3,2561910,-2.9%,https://www.youtube.com/watch?v=SClzaJuWou4
53,52,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",18,2542444,-4.3%,https://www.youtube.com/watch?v=c7mbGJvX6t4
54,,That That (feat. SUGA),PSY,1,2454256,,https://www.youtube.com/watch?v=8dJyRm2jJ-U
55,50,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,13,2408595,-10.8%,https://www.youtube.com/watch?v=CJdhWgebwqA
56,47,Deixa Nós Viver em Paz,"MC Tuto, Mc Kako, MC Joãozinho VT, DJ BOY & Matheuszin DJ",4,2403848,-12.2%,https://www.youtube.com/watch?v=lxTFsDzF-nc
57,56,Anota Aí,Mc Lipi ,20,2388408,-5.6%,https://www.youtube.com/watch?v=OXFN3ZMgaVk
58,67,As It Was,Harry Styles,5,2370036,18%,https://www.youtube.com/watch?v=H5v3kku4y6Q
59,55,VERMELHO,Gloria Groove,12,2355246,-8.2%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
60,59,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",3,2351799,-0.4%,https://www.youtube.com/watch?v=L2_xh-r10OI
61,,Quem Vale Menos (Ao Vivo),Mari Fernandez,1,2331066,,https://www.youtube.com/watch?v=HVJWX1B9_lo
62,57,212,Chefin & Mainstreet,15,2218652,-12.2%,https://www.youtube.com/watch?v=290Q1JFInHE
63,58,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",12,2171012,-13.2%,https://www.youtube.com/watch?v=ulY5kBy2exo
64,51,Mal Caminho,"Dj Joao Da Inestan, Mc J mito & DJ Tg da Inestan",6,2153788,-20.1%,https://www.youtube.com/watch?v=WIv_TesjWMk
65,43,Eu Me Trai (Ao Vivo),Henrique & Juliano,2,2145927,-27.2%,https://www.youtube.com/watch?v=MSIvdSxAckg
66,63,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,2,2131507,-2.1%,https://www.youtube.com/watch?v=psdZRggL7cI
67,70,Troco Na Troca (Ao Vivo),Henrique & Juliano,2,2090773,12.4%,https://www.youtube.com/watch?v=-MjBmkSXt_g
