Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,9,11283626,-9%,https://www.youtube.com/watch?v=WiNYFwIfg4w
2,2,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,16,10704131,-9.8%,https://www.youtube.com/watch?v=69JAoslGYI8
3,3,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",10,10000295,9.4%,https://www.youtube.com/watch?v=8NjXVsLHIg8
4,5,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,9,8216309,12.9%,https://www.youtube.com/watch?v=hOGuaMazCz8
5,4,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,23,7883110,2%,https://www.youtube.com/watch?v=rTJSWmgbVwA
6,7,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",14,7079276,7.3%,https://www.youtube.com/watch?v=NbB6qMA2lts
7,6,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,20,6690149,0.5%,https://www.youtube.com/watch?v=psdZRggL7cI
8,,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",1,6193578,,https://www.youtube.com/watch?v=
9,10,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,7,5959160,8.2%,https://www.youtube.com/watch?v=qjxNM9qF3LA
10,8,X1,MC Cabelinho & Dallass,24,5846776,3%,https://www.youtube.com/watch?v=zgdQsLH7sDw
11,11,Intuição (Ao Vivo),Mari Fernandez,18,5185079,1%,https://www.youtube.com/watch?v=rfkXgby-xn0
12,14,Gostosinha é Ela,Felipe Amorim,7,4837592,8.5%,https://www.youtube.com/watch?v=zSRjeUpQUwI
13,9,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",11,4762912,-14.3%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
14,26,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,34,4517417,26.9%,https://www.youtube.com/watch?v=kyfXEMqvLgU
15,13,Bandido,Zé Felipe & Mc Mari,12,4459341,-3%,https://www.youtube.com/watch?v=YxGYumo6tpU
16,18,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",8,4118543,-0.5%,https://www.youtube.com/watch?v=_BfZRdFFdE8
17,,Eu Tenho a Senha (Ao Vivo),João Gomes,1,4106964,,https://www.youtube.com/watch?v=deVm70yarNw
18,21,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",24,4102542,1.9%,https://www.youtube.com/watch?v=b7A98jz4uUA
19,16,202,Kweller & Enzo Cello,4,4051140,-4.1%,https://www.youtube.com/watch?v=ZPo_lMVkAxo
20,31,Bloqueado (Ao Vivo),Gusttavo Lima,41,3948511,17.8%,https://www.youtube.com/watch?v=14C28JSO-sg
21,19,Vento Forte,MC Jacaré & DJ TK,8,3944991,-3%,https://www.youtube.com/watch?v=e6yUmOtchLE
22,30,Seu Perfil (Ao Vivo),Henrique & Juliano,32,3930229,17.2%,https://www.youtube.com/watch?v=KvAagUxO3OY
23,23,Te Amo Demais,Marília Mendonça,7,3929762,1.9%,https://www.youtube.com/watch?v=P2qvD7LRBAo
24,22,CACHORRINHAS,Luísa Sonza,8,3693082,-7.5%,https://www.youtube.com/watch?v=__ur8Ykcivw
25,20,Tchuco Nela,MC Rogerinho & Wesley Safadão,21,3676689,-9.2%,https://www.youtube.com/watch?v=dEjA3uw5s3I
26,24,Balanço Da Rede (Ao Vivo),Matheus Fernandes,26,3662533,-1.4%,https://www.youtube.com/watch?v=vAM1xXdRnH0
27,15,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,5,3590385,-18.6%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE
28,28,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,21,3549218,2.3%,https://www.youtube.com/watch?v=yrQuMSYsYZQ
29,27,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,12,3372803,-3%,https://www.youtube.com/watch?v=4zhowmwBCuw
30,29,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",16,3226345,-5.2%,https://www.youtube.com/watch?v=wumB0Qs2YT4
31,34,Malvada,Zé Felipe,32,3192601,1.8%,https://www.youtube.com/watch?v=r0mNwyywHIY
32,40,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",6,3184064,9.4%,https://www.youtube.com/watch?v=thfYx-W63ws
