Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Nosso Quadro,Ana Castela,17,10865574,-15.6%,https://www.youtube.com/watch?v=r9GrcxTGNWg
2,2,Erro Gostoso (Ao Vivo),Simone Mendes,18,9274954,-10.2%,https://www.youtube.com/watch?v=mr09lDl_Tfk
3,4,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,12,7909270,-12.6%,https://www.youtube.com/watch?v=bHT5GvYi6io
4,3,Cartão Black,MC Caverinha & KayBlack,3,7272558,-20.3%,https://www.youtube.com/watch?v=OZgQnRcGZXs
5,5,Oi Balde (Ao Vivo),Zé Neto & Cristiano,15,6656727,-21.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U
6,12,Me Atraiu (Ao Vivo),Gabriela Rocha,17,5728578,-0.9%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
7,7,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,7,5536208,-13.2%,https://www.youtube.com/watch?v=-UUe7g8-E0k
8,8,Leão,Marília Mendonça,25,5509582,-12.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM
9,6,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,11,5359731,-20.9%,https://www.youtube.com/watch?v=eGpIwanODHw
10,10,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,20,5073988,-15.3%,https://www.youtube.com/watch?v=29WR7F4TDUI
11,9,Pitbull Enraivado,Oh Polêmico,6,4947559,-19.5%,https://www.youtube.com/watch?v=XzaJWAL2Ks4
12,21,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",4,4790335,18.3%,https://www.youtube.com/watch?v=CWDZF7aJmjE
13,26,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",30,4682729,29.7%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
14,14,Conexões de Máfia (feat. Rich the Kid),Matuê,5,4577722,-12.2%,https://www.youtube.com/watch?v=rGHJ0mqean4
15,11,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,24,4515668,-24.1%,https://www.youtube.com/watch?v=sOgYk0iXNls
16,17,BEM MELHOR,"MC Cabelinho, Oruam & Palma",4,4512867,5%,https://www.youtube.com/watch?v=kWvFoR-Wf-I
17,13,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,8,4487406,-21.7%,https://www.youtube.com/watch?v=uvbKI8Bc9dA
18,19,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",9,4030520,-5.1%,https://www.youtube.com/watch?v=0lgAIjua6pA
19,15,MINHA CURA,MC Cabelinho,22,3839572,-19.8%,https://www.youtube.com/watch?v=har3c93pJe0
20,,Tá OK,DENNIS & MC Kevin o Chris,1,3726231,,https://www.youtube.com/watch?v=aHBW_Nd_z8k
21,20,Não Para,"Belle Kaffer, Ana Castela & Charles New",13,3646485,-13.7%,https://www.youtube.com/watch?v=NbOBWn43wGc
22,18,Coração de Gelo,WIU,26,3594022,-15.4%,https://www.youtube.com/watch?v=p03BWB5SN4M
23,30,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",2,3403368,-1.9%,https://www.youtube.com/watch?v=4Qta7cMSXc4
24,16,085 (Ao Vivo),MC Rogerinho,14,3340209,-24%,https://www.youtube.com/watch?v=LpHfPPqjUOk
25,38,Coladin (Minha Deusa),Zé Vaqueiro,26,3327699,6.9%,https://www.youtube.com/watch?v=eihpkV7KSKo
26,27,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,17,3277620,-8.6%,https://www.youtube.com/watch?v=OO1nHL70qEE
27,41,Ela Voltou de Perna Bamba (feat. MC Pê Original),"Dj Pikeno MPC, MC Guh SR & Markim WF",3,3264616,6.6%,https://www.youtube.com/watch?v=5psNl_M0_jk
28,29,Deixa,Maria Marçal,10,3236125,-8.3%,https://www.youtube.com/watch?v=93TXfW3MT4o
29,39,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,14,3142094,1.3%,https://www.youtube.com/watch?v=6RTg7ovfaLk
30,28,Traumatizei (Ao Vivo Em Brasília),Henrique & Juliano,17,3114117,-13%,https://www.youtube.com/watch?v=QxZFjShiXhA
31,24,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",2,3096811,-14.5%,https://www.youtube.com/watch?v=uGMQbSy_JTM
32,23,Lovezinho (Sexy Version) (Remix),Bella DJ,16,3008380,-22.2%,https://www.youtube.com/watch?v=
33,33,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,33,2951048,-9.6%,https://www.youtube.com/watch?v=uBc1wkTMywM
34,46,Pião de Vida Louca,Japãozin,6,2932618,1.2%,https://www.youtube.com/watch?v=sTuP-cnH9_w
35,45,Felina,WIU & MC Ryan SP,36,2928653,-1.2%,https://www.youtube.com/watch?v=wFBp_PHXrf4
36,,Poesia Acústica #6: Era Uma Vez,"MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny & Salve Malak",53,2900915,,https://www.youtube.com/watch?v=jK2k1P56Cno
37,,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",32,2889261,,https://www.youtube.com/watch?v=69-jnA4QLSM
38,34,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,21,2875003,-11%,https://www.youtube.com/watch?v=6kiJt7WTTM4
39,36,Rancorosa (Ao Vivo),Henrique & Juliano,10,2845426,-9.7%,https://www.youtube.com/watch?v=x9XkXqGDo04
40,25,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,30,2834641,-21.5%,https://www.youtube.com/watch?v=t050lriI0_w
41,43,Papin,MC Kevin o Chris & MC Caja,7,2800309,-6%,https://www.youtube.com/watch?v=COhBkRmL2ZM
42,22,Vacilão,"Zé Felipe, Igow & Wesley Safadão",11,2728561,-31%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q
43,,Sinto sua falta / É natural / Pra você acreditar / Pirata e tesouro (Ao vivo),Ferrugem,54,2720361,,https://www.youtube.com/watch?v=JhXagtxvDKY
44,,Vizão de Cria 2,"Caio Luccas, Dallass, Tz da Coronel, PJ HOUDINI, Thiago Anezzi, NADAMAL, MC Maneirinho & Filipe Ret",27,2687562,,https://www.youtube.com/watch?v=Sau1_hWFHJE
45,35,Americana Na Vaquejada,Grandão Vaqueiro & NATTAN,9,2645904,-17.3%,https://www.youtube.com/watch?v=uSHSess_Tpg
46,,Na Hora de Amar (Ao Vivo),Gusttavo Lima,38,2605423,,https://www.youtube.com/watch?v=Uo7U7ruedic
47,,Bondade de Deus (Ao Vivo),Isaías Saad,24,2601820,,https://www.youtube.com/watch?v=mZ9yZYo9Mmk
48,52,Altas Loucurinhas (Uni Duni Tê) (Ao Vivo),Matheus Fernandes,17,2572117,-3.6%,https://www.youtube.com/watch?v=JFf_IKPC6RM
49,62,Cadê Seu Namorado Moça?,Nadson O Ferinha,4,2553488,13.8%,https://www.youtube.com/watch?v=
50,31,DONA DE MIM,Ana Castela,23,2550839,-23.3%,https://www.youtube.com/watch?v=rUW7ev79fTA
51,,"Sereia Me Perdoa (feat. Vulgo FK, MC Tuto, MC Joãozinho VT & Mc Kako)","MC Ryan SP, MC Don Juan & Mc IG",1,2536171,,https://www.youtube.com/watch?v=YcPaOASoL0Q
52,40,Me Bloqueia (Ao Vivo),Zé Neto & Cristiano,11,2532242,-17.4%,https://www.youtube.com/watch?v=_I6rcvzXUE0
53,44,Segredo,"KayBlack, Marquinho No Beat & Wall Hein",6,2497424,-16.1%,https://www.youtube.com/watch?v=jHZkI2Q-NC8
54,49,Aquecimento Senta Senta Suave,MC Kevin o Chris & BUARQUE,12,2491401,-10.7%,https://www.youtube.com/watch?v=IgegJ52oscs
55,,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,33,2481454,,https://www.youtube.com/watch?v=MBg5g2g3okU
56,56,Namorando Ou Não (Ao Vivo) (feat. Luan Santana),Clayton & Romário,10,2427592,-6.5%,https://www.youtube.com/watch?v=_aWNQ6ykQHw
57,53,Saudade da Minha Vida (Ao Vivo),Gusttavo Lima,18,2406336,-9.3%,https://www.youtube.com/watch?v=Jm5MCIVwjas
58,,Caso Indefinido (Ao Vivo),Cristiano Araújo,29,2403536,,https://www.youtube.com/watch?v=YeqgMW1_gA4
59,,Quarta Cadeira (Ao Vivo) (feat. Jorge & Mateus),Matheus & Kauan,56,2396071,,https://www.youtube.com/watch?v=BEz8l69aI8Y
60,51,Manda um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,3,2388345,-12.2%,https://www.youtube.com/watch?v=b3NsZtiiwFg
61,48,Duas,Nadson O Ferinha,6,2372194,-15.9%,https://www.youtube.com/watch?v=
62,50,Mas Existe um Lugar,"Cryzin, Kaio Viana & Noemi Leal",10,2361950,-14.2%,https://www.youtube.com/watch?v=pdMNd_FMzTM
63,75,"Banco do Carona (feat. Gabb MC, MC Joãozinho VT, MC Marks, MC Vine7 & MC Robs)","MC Don Juan, Mc Kako & DJ BOY",7,2311923,22.4%,https://www.youtube.com/watch?v=Uxtgz1FU3XA
64,55,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,12,2261550,-13.7%,https://www.youtube.com/watch?v=fd3PJfv7SaY
65,,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",28,2257802,,https://www.youtube.com/watch?v=24lfgigKHqQ
66,61,Sem Aliança no Dedo,MC Xenon,16,2251795,-1.6%,https://www.youtube.com/watch?v=eOTJtXleRcE
67,90,Todavia Me Alegrarei (Ao Vivo),Samuel Messias,16,2250143,38.7%,https://www.youtube.com/watch?v=81GaF34veWA
68,71,De Dentro Pra Fora (Live),Julia Vitória,8,2147139,9.6%,https://www.youtube.com/watch?v=OXBCV5WixCU
69,,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",30,2125101,,https://www.youtube.com/watch?v=1CIIIv9dfzg
70,47,Giro Louco,MC PH & DJ Murillo e LT no Beat,3,2098740,-26.7%,https://www.youtube.com/watch?v=qxpYri5vHU4
71,72,Jeová Jireh,Aline Barros,6,2030873,4.6%,https://www.youtube.com/watch?v=YyFd_dXy494
72,,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,24,2013975,,https://www.youtube.com/watch?v=FQgZAj45ojY
73,,Sinônimos,Chitãozinho & Xororó & Zé Ramalho,4,1992687,,https://www.youtube.com/watch?v=URN-Ikkc4CI
74,,Cuidado,Nadson O Ferinha,1,1988187,,https://www.youtube.com/watch?v=gxEHxtFRTOk
75,37,Zona De Perigo,Léo Santana,18,1978711,-37.2%,https://www.youtube.com/watch?v=0cnUcoXllMM
76,,Evento Cancelado (Ao Vivo),Henrique & Juliano,29,1966234,,https://www.youtube.com/watch?v=2cdF8Y3J1e4
77,,Menozin É Abusado,021 Richard & DJ WKILLA,1,1950434,,https://www.youtube.com/watch?v=PfsDYmCRUSo
78,73,Migo ou Vida? (feat. MC Ryan SP),"Mc IG, MC PH, DJ Murillo e LT no Beat & Dj Oreia",10,1916194,-1.2%,https://www.youtube.com/watch?v=038emoNRq50
79,,Vizão de Cria 3,"Caio Luccas, PJ HOUDINI, Filipe Ret, Anezzi, Dallass, L7NNON, NADAMAL, MC Maneirinho & MC Cabelinho",1,1892243,,https://www.youtube.com/watch?v=q9U-k9rd0EY
80,,Deixaria Tudo (Dejaria Todo) / Programa de Fim de Semana / Ela é Demais (Ao Vivo),Guilherme & Benuto,1,1892038,,https://www.youtube.com/watch?v=1BCVYM2hl0g
81,,"Let's Go 3 (feat. MC Ryan SP, MC Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","DJ GBR, Mc IG & MC Marks",27,1863663,,https://www.youtube.com/watch?v=sj-pRriVRJI
82,54,Clickbait,"Veigh, Niink , Bvga Beatz & Supernova Ent",5,1826463,-30.5%,https://www.youtube.com/watch?v=eyb10WuPaME
83,86,Quando Tem Sentimento (Ao Vivo),Mari Fernandez,12,1817849,7.5%,https://www.youtube.com/watch?v=VZ2eUOIgfcs
84,68,Erro Gostoso,Nadson O Ferinha,8,1765934,-11.9%,https://www.youtube.com/watch?v=R2-VRvEpJ84
85,67,Mágica,Hugo & Guilherme,9,1760762,-13.6%,https://www.youtube.com/watch?v=MV5wggAXoVU
86,94,Alô Inveja (Ao Vivo Em Brasília),Henrique & Juliano,17,1728046,11.6%,https://www.youtube.com/watch?v=DB6-B_vtwuQ
