Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,25,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",4,15102012,241.2%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
2,1,Malvada,Zé Felipe,8,11281943,-17.7%,https://www.youtube.com/watch?v=r0mNwyywHIY
3,2,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,7,10162843,-6.5%,https://www.youtube.com/watch?v=I_gwjhvXxzM
4,3,Malvadão 3,Xamã,14,9197381,-7.4%,https://www.youtube.com/watch?v=i9NOkjmBszo
5,10,Botadinha Saliente,MC Rogerinho,7,8103289,7.5%,https://www.youtube.com/watch?v=kyjtx28z-bE
6,5,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,36,7819251,-3.9%,https://www.youtube.com/watch?v=jW7j41mbxXU
7,7,Vontade De Morder,Simone & Simaria & Zé Felipe,10,7374406,-4.5%,https://www.youtube.com/watch?v=bgf18kANm_k
8,6,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,10,7340283,-5.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU
9,8,Bloqueado (Ao Vivo),Gusttavo Lima,17,7283988,-5.2%,https://www.youtube.com/watch?v=14C28JSO-sg
10,9,Depende,Dj Guuga,14,7117438,-5.6%,https://www.youtube.com/watch?v=v9geHIUOxeA
11,4,Deus É o Meu Guia,Chefin Oficial,4,7046947,-17%,https://www.youtube.com/watch?v=WrZ6fKelwOU
12,26,Envolver,Anitta,9,6807703,63.2%,https://www.youtube.com/watch?v=hFCjGiawJi4
13,11,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",22,6477282,-11.6%,https://www.youtube.com/watch?v=TNIbXs_iNq8
14,16,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,21,5684774,4.7%,https://www.youtube.com/watch?v=r2ma8WPRppk
15,21,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,7,5540627,19.2%,https://www.youtube.com/watch?v=CJdhWgebwqA
16,14,Parada Louca,Mari Fernandez & Marcynho Sensação,19,5509342,-3.3%,https://www.youtube.com/watch?v=SvWQZfEWA0s
17,13,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,19,5467144,-9.6%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
18,15,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,17,5342835,-5.5%,https://www.youtube.com/watch?v=6MNxuMgg58k
19,17,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",6,5070083,-6.3%,https://www.youtube.com/watch?v=ulY5kBy2exo
20,18,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,16,4952768,-2.1%,https://www.youtube.com/watch?v=BKDz5kNjkfU
21,12,212,Chefin & Mainstreet,10,4922111,-21%,https://www.youtube.com/watch?v=290Q1JFInHE
22,19,GALOPA,PEDRO SAMPAIO,25,4914952,-1.4%,https://www.youtube.com/watch?v=mo1NcPxKfQU
23,20,A Maior Saudade (Ao Vivo),Henrique & Juliano,29,4899591,-0.7%,https://www.youtube.com/watch?v=6EGg0_l-edc
24,22,VERMELHO,Gloria Groove,6,4320091,-4.4%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
25,24,Presepada,Marília Mendonça & Maiara & Maraisa,21,4090012,-7.9%,https://www.youtube.com/watch?v=MQv__TADEGM
26,29,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",12,4058639,6.7%,https://www.youtube.com/watch?v=c7mbGJvX6t4
27,23,Cabeça Branca (Live),Tierry,25,3950600,-11.3%,https://www.youtube.com/watch?v=J_jJhHhYW9w
28,38,ANACONDA *o* ~~~,Luísa Sonza & Mariah Angeliq ,15,3799026,19.6%,https://www.youtube.com/watch?v=iLTR0UyG2Yo
29,27,INVEJOSO,"Distrito 23, Raffé & Chefin",19,3675284,-7.4%,https://www.youtube.com/watch?v=79KWwlhbOD8
30,28,"Oi, Como Ce Tá？",Vulgo FK,5,3632530,-8.1%,https://www.youtube.com/watch?v=K4n7zRoKmPc
31,31,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",43,3403876,-2.9%,https://www.youtube.com/watch?v=2PRAiVs3MVc
32,99,Balanço Da Rede (Ao Vivo),Matheus Fernandes,2,3398831,132.6%,https://www.youtube.com/watch?v=vAM1xXdRnH0
33,32,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,23,3392701,-2.8%,https://www.youtube.com/watch?v=88_jnJP0OtA
34,37,Alívio,Jessé Aguiar,43,3383317,3.3%,https://www.youtube.com/watch?v=JgLFoArntlI
35,35,Baby Me Atende,Matheus Fernandes & Dilsinho,52,3354233,1%,https://www.youtube.com/watch?v=qMEsx__88Gk
36,47,Seu Perfil (Ao Vivo),Henrique & Juliano,8,3338935,14.9%,https://www.youtube.com/watch?v=KvAagUxO3OY
37,33,Molhando O Volante (Live),Jorge & Mateus,15,3285111,-3.9%,https://www.youtube.com/watch?v=_SjTFD9qVuE
38,53,F* F* M*,Filipe Ret,20,3284020,22.5%,https://www.youtube.com/watch?v=0hV9qYJ3IHQ
39,30,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",5,3238684,-10.6%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
40,42,Iphone Branco,Borges & Mainstreet,7,3192300,8.5%,https://www.youtube.com/watch?v=xv8NrFQqKJ8
41,36,Proteção de Tela (Live),Tarcísio do Acordeon,38,3185960,-3.2%,https://www.youtube.com/watch?v=edjih_b_NBQ
42,52,ABALO EMOCIONAL (Ao Vivo),Luan Santana,7,3070420,13.6%,https://www.youtube.com/watch?v=cPGKKktrObc
43,40,Ficha Limpa (Ao Vivo),Gusttavo Lima,41,3062960,2.7%,https://www.youtube.com/watch?v=_7DKuv_xsuY
44,34,Arranhão (Ao Vivo),Henrique & Juliano,33,3010193,-10.3%,https://www.youtube.com/watch?v=2_xBCeBmaS8
45,82,CPX Ta Tega,"Mc Poze do Rodo, MC Maneirinho, Mainstreet & Neo Beats",2,2842257,64.1%,https://www.youtube.com/watch?v=dRK7c3Je9ts
46,48,Esqueça-Me Se For Capaz,Marília Mendonça & Maiara & Maraisa,23,2841540,-1.9%,https://www.youtube.com/watch?v=I8va_ChEIAI
47,44,Anota Aí,Mc Lipi ,14,2840345,-3%,https://www.youtube.com/watch?v=OXFN3ZMgaVk
48,39,Todo Mundo Menos Você,Marília Mendonça & Maiara & Maraisa,26,2802711,-7.1%,https://www.youtube.com/watch?v=UDVr3ab3NVM
49,,Desbloqueado (Ao Vivo),Diego & Victor Hugo,28,2739976,,https://www.youtube.com/watch?v=eJO62WkGzcU
50,41,Revoada No Colchão,Zé Felipe & Marcynho Sensação,28,2722552,-8.6%,https://www.youtube.com/watch?v=0jnZreO4Dvs
51,49,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",10,2700573,-5.8%,https://www.youtube.com/watch?v=PJqHlzBiZ0A
52,51,Não Vou Te Bloquear (Ao Vivo),"MC Don Juan, Tarcísio do Acordeon & DG e Batidão Stronda",13,2524863,-7.6%,https://www.youtube.com/watch?v=6lsOfEHb4C4
53,55,Socadona (feat. Mr. Vegas),"Ludmilla, Mariah Angeliq  & Topo La Mascara",8,2511308,-4.1%,https://www.youtube.com/watch?v=15wVHmz_Aag
54,43,Maldivas,Ludmilla,8,2438950,-17%,https://www.youtube.com/watch?v=VsIp4-vnqlw
55,56,NO CHÃO NOVINHA,Anitta & PEDRO SAMPAIO,15,2393925,-6.6%,https://www.youtube.com/watch?v=ls74YCwYB4k
56,,Desgastou (Ao Vivo),Henrique & Juliano,1,2304337,,https://www.youtube.com/watch?v=BNSeGVLnMUw
57,50,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",3,2270615,-17%,https://www.youtube.com/watch?v=bvWRMAU6V-c
58,62,Mais um Favelado,"Dj GM, Mc Lipi , MC Lele JP, MC Lemos & MC Liro",13,2174868,-1.8%,https://www.youtube.com/watch?v=txqvRehMqRg
59,60,ESSÊNCIA DE CRIA (feat. Neo Beats),"MC Cabelinho, Bielzin, Mc Poze do Rodo & Tz da Coronel",14,2153220,-5.9%,https://www.youtube.com/watch?v=hyDElqwFnYI
60,89,Tudo É Fase (feat. DJ WN & Mc Havi),MC Lele JP,3,2150294,35.3%,https://www.youtube.com/watch?v=QiXzcQTLIrw
61,61,Mágico do Som,MC WM & MC Lan,3,2128137,-4.9%,https://www.youtube.com/watch?v=CdMYTT8YCls
62,67,ONDA DO BERIMBAU,dj eduardo da favela do pó & MC Menor MT,13,2094798,-2.4%,https://www.youtube.com/watch?v=uiF6lbyVS-4
