Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,7,14829024,-1.8%,https://www.youtube.com/watch?v=WiNYFwIfg4w
2,2,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,14,11976140,-5.1%,https://www.youtube.com/watch?v=69JAoslGYI8
3,3,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",8,9806926,6.3%,https://www.youtube.com/watch?v=8NjXVsLHIg8
4,7,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,7,7736290,5.1%,https://www.youtube.com/watch?v=hOGuaMazCz8
5,5,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,21,7600155,-5%,https://www.youtube.com/watch?v=rTJSWmgbVwA
6,,Pink Venom,BLACKPINK,1,7577399,,https://www.youtube.com/watch?v=gQlMMD8auMs
7,4,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",12,7104108,-17.2%,https://www.youtube.com/watch?v=NbB6qMA2lts
8,6,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,18,6271414,-15.4%,https://www.youtube.com/watch?v=psdZRggL7cI
9,10,X1,MC Cabelinho & Dallass,22,5659753,-4.8%,https://www.youtube.com/watch?v=zgdQsLH7sDw
10,9,Intuição (Ao Vivo),Mari Fernandez,16,5512472,-10.1%,https://www.youtube.com/watch?v=rfkXgby-xn0
11,8,CACHORRINHAS,Luísa Sonza,6,5027518,-22%,https://www.youtube.com/watch?v=__ur8Ykcivw
12,12,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",6,4784591,-12.4%,https://www.youtube.com/watch?v=_BfZRdFFdE8
13,11,Bandido,Zé Felipe & Mc Mari,10,4723191,-17.3%,https://www.youtube.com/watch?v=YxGYumo6tpU
14,20,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",9,4677332,8.5%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
15,19,Gostosinha é Ela,Felipe Amorim,5,4476564,2.2%,https://www.youtube.com/watch?v=zSRjeUpQUwI
16,18,Vento Forte,MC Jacaré & DJ TK,6,4214556,-5.7%,https://www.youtube.com/watch?v=e6yUmOtchLE
17,28,202,Kweller & Enzo Cello,2,4126877,16%,https://www.youtube.com/watch?v=ZPo_lMVkAxo
18,13,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",22,4098354,-17.6%,https://www.youtube.com/watch?v=b7A98jz4uUA
19,17,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,3,4042038,-9.6%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE
20,15,Te Amo Demais,Marília Mendonça,5,3903732,-16.5%,https://www.youtube.com/watch?v=P2qvD7LRBAo
21,14,A Maior Saudade (Ao Vivo),Henrique & Juliano,51,3888074,-17.6%,https://www.youtube.com/watch?v=6EGg0_l-edc
22,22,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,10,3785028,-10.3%,https://www.youtube.com/watch?v=4zhowmwBCuw
23,21,Perfeito Pra Ficar Sozinho (Ao Vivo),Murilo Huff & Maiara & Maraisa,3,3718519,-13.2%,https://www.youtube.com/watch?v=IOuLc9ZhLuQ
24,34,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,5,3704173,11.7%,https://www.youtube.com/watch?v=qjxNM9qF3LA
