Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Tchuco Nela,MC Rogerinho & Wesley Safadão,6,8881670,-12.7%,https://www.youtube.com/watch?v=dEjA3uw5s3I
2,4,Dengo (Ao Vivo),João Gomes,3,8216221,30.7%,https://www.youtube.com/watch?v=mqYjyQG11GQ
3,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,8,7961033,1.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA
4,3,Balanço Da Rede (Ao Vivo),Matheus Fernandes,11,6582668,-5.5%,https://www.youtube.com/watch?v=vAM1xXdRnH0
5,5,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",13,6534256,4.8%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
6,11,Bloqueado (Ao Vivo),Gusttavo Lima,26,6520887,15.3%,https://www.youtube.com/watch?v=14C28JSO-sg
7,10,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",8,6264485,10.4%,https://www.youtube.com/watch?v=273pasBKH18
8,13,Me Chama de Amor,Treyce & O Tubarão,7,6252517,26.1%,https://www.youtube.com/watch?v=J9AfRmtdqGs
9,6,Vampiro,"Matuê, Wiu & Teto",8,5828838,-3.7%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
10,12,Malvada,Zé Felipe,17,5706086,3%,https://www.youtube.com/watch?v=r0mNwyywHIY
11,8,No Ouvidinho,Felipe Amorim,9,5677767,-3%,https://www.youtube.com/watch?v=eYuI4krrKBM
12,7,Fim de Semana no Rio,Teto,9,5655684,-5.5%,https://www.youtube.com/watch?v=7AlAYttGnAg
13,,ACORDA PEDRINHO,Jovem Dionisio,1,5632098,,https://www.youtube.com/watch?v=d-tx9D4a8dc
14,9,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,45,5543215,-2.8%,https://www.youtube.com/watch?v=jW7j41mbxXU
15,14,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,19,5125406,4.7%,https://www.youtube.com/watch?v=kyfXEMqvLgU
16,16,A Maior Saudade (Ao Vivo),Henrique & Juliano,38,4957219,11.1%,https://www.youtube.com/watch?v=6EGg0_l-edc
17,15,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",9,4710996,1%,https://www.youtube.com/watch?v=b7A98jz4uUA
18,17,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",7,4103950,-6.1%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
19,20,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,5,3895632,-1.1%,https://www.youtube.com/watch?v=lac3TYlarFM
20,63,EU VOU COM CARINHO ELA QUER COM FORÇA,"MC Don Juan, MC G15 & Mc Davi",2,3885405,106%,https://www.youtube.com/watch?v=zPuEI4zHMRE
21,26,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,16,3882324,10.8%,https://www.youtube.com/watch?v=I_gwjhvXxzM
22,22,Seu Perfil (Ao Vivo),Henrique & Juliano,17,3844444,0.3%,https://www.youtube.com/watch?v=KvAagUxO3OY
23,23,Vontade De Morder,Simone & Simaria & Zé Felipe,19,3831238,1%,https://www.youtube.com/watch?v=bgf18kANm_k
24,19,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,25,3800876,-3.9%,https://www.youtube.com/watch?v=BKDz5kNjkfU
25,21,Baile da Serra,"Braão, LIT UP & Dj Nattan",3,3707427,-4.9%,https://www.youtube.com/watch?v=w7sHsnnQanI
26,25,Botadinha Saliente,MC Rogerinho,16,3702140,1.8%,https://www.youtube.com/watch?v=kyjtx28z-bE
27,28,X1,MC Cabelinho & Dallass,9,3593991,8.1%,https://www.youtube.com/watch?v=zgdQsLH7sDw
28,18,Amiga (Ao Vivo),Simone & Simaria,4,3566117,-17.7%,https://www.youtube.com/watch?v=48s6RGU1dr0
29,,Evento Cancelado (Ao Vivo),Henrique & Juliano,1,3495861,,https://www.youtube.com/watch?v=2cdF8Y3J1e4
30,31,Simplesmente Ela,Mc Gabzin,10,3492432,6.7%,https://www.youtube.com/watch?v=K6iRoT8u2xU
31,24,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,7,3456580,-5.2%,https://www.youtube.com/watch?v=76DWwRaztPQ
32,27,Malvadão 3,Xamã,23,3412606,-0.1%,https://www.youtube.com/watch?v=i9NOkjmBszo
33,45,Quem Vale Menos (Ao Vivo),Mari Fernandez,4,3383507,31.1%,https://www.youtube.com/watch?v=HVJWX1B9_lo
34,34,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,26,3294981,5.6%,https://www.youtube.com/watch?v=6MNxuMgg58k
35,44,"Set do G15: A Revoada Começou (feat. MC Ryan SP, MC Menor da VG, JottaPê, Gaab & MC Don Juan)","MC Pedrinho, Mc Davi & MC G15",2,3156720,21.2%,https://www.youtube.com/watch?v=1vXn6pl40bo
36,30,Molhando O Volante (Live),Jorge & Mateus,24,3156636,-3.7%,https://www.youtube.com/watch?v=_SjTFD9qVuE
37,32,Parada Louca,Mari Fernandez & Marcynho Sensação,28,3139656,-3.8%,https://www.youtube.com/watch?v=SvWQZfEWA0s
38,41,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",6,3010532,11.1%,https://www.youtube.com/watch?v=L2_xh-r10OI
39,29,Depende,Dj Guuga,23,3002683,-9.4%,https://www.youtube.com/watch?v=v9geHIUOxeA
40,49,Bagulho Louco,Mc Paiva ZS,4,2974383,20.7%,https://www.youtube.com/watch?v=
41,42,GALOPA,PEDRO SAMPAIO,34,2939784,11.8%,https://www.youtube.com/watch?v=mo1NcPxKfQU
42,,ACORDA PEDRINHO,Jovem Dionisio,1,2914208,,https://www.youtube.com/watch?v=d-tx9D4a8dc
43,37,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,30,2903849,-2%,https://www.youtube.com/watch?v=r2ma8WPRppk
44,38,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",8,2872816,-0.7%,https://www.youtube.com/watch?v=n43oZSY7df0
45,36,Deus É o Meu Guia,Chefin Oficial,13,2871345,-3.6%,https://www.youtube.com/watch?v=WrZ6fKelwOU
46,35,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",31,2837678,-6.2%,https://www.youtube.com/watch?v=TNIbXs_iNq8
47,33,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,6,2829126,-9.3%,https://www.youtube.com/watch?v=apPxQOfh0ek
48,39,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,28,2774880,-2.4%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
49,43,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,32,2712681,3.5%,https://www.youtube.com/watch?v=88_jnJP0OtA
50,40,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",52,2700758,-0.9%,https://www.youtube.com/watch?v=2PRAiVs3MVc
51,73,Ela é da Bagaceira,"Romim Mata, -- & --",2,2634993,61.2%,https://www.youtube.com/watch?v=XCBTuf62kps
52,58,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,5,2631836,29.7%,https://www.youtube.com/watch?v=psdZRggL7cI
53,48,Envolver,Anitta,18,2546682,1.9%,https://www.youtube.com/watch?v=hFCjGiawJi4
54,65,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,2,2537100,37.1%,https://www.youtube.com/watch?v=5EuvLJPOuKo
55,,Tu Tava Na Revoada,Wesley Safadão,1,2520026,,https://www.youtube.com/watch?v=GmlBAosY3V0
56,47,ABALO EMOCIONAL (Ao Vivo),Luan Santana,16,2517515,0.4%,https://www.youtube.com/watch?v=cPGKKktrObc
57,57,Intuição (Ao Vivo),Mari Fernandez,3,2416323,17.8%,https://www.youtube.com/watch?v=rfkXgby-xn0
58,50,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",14,2404765,-2.2%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
59,51,Filho do Dono,Oruam & MC Cabelinho,5,2399534,-2.4%,https://www.youtube.com/watch?v=dUC7TBmzrL4
60,62,Aposentei o 12 Molas,Mc Kako & DJ WN,4,2329311,21.9%,https://www.youtube.com/watch?v=3rdSK5uY6IM
61,,Arranhão (Ao Vivo),Henrique & Juliano,38,2317576,,https://www.youtube.com/watch?v=2_xBCeBmaS8
62,55,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,6,2310403,10.7%,https://www.youtube.com/watch?v=SClzaJuWou4
63,56,As It Was,Harry Styles,8,2276288,9.5%,https://www.youtube.com/watch?v=H5v3kku4y6Q
64,52,Apontei pro Céu,"Dj GM, Mc Lipi  & Love Funk",2,2212208,0.2%,https://www.youtube.com/watch?v=PL19VJ13Ttg
65,53,Deixa Nós Viver em Paz,"MC Tuto, Mc Kako, MC Joãozinho VT, DJ BOY & Matheuszin DJ",7,2190218,3.3%,https://www.youtube.com/watch?v=lxTFsDzF-nc
66,,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,1,2079571,,https://www.youtube.com/watch?v=69JAoslGYI8
67,,Vai Doer Mais (Ao Vivo),Mari Fernandez,1,2033868,,https://www.youtube.com/watch?v=SpyKD3Y8I3o
68,,Acordo (Ao Vivo),Henrique & Juliano,21,1989195,,https://www.youtube.com/watch?v=Rr5yQs-s0_0
69,61,VERMELHO,Gloria Groove,15,1974223,-0.1%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
70,78,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,4,1955442,25.1%,https://www.youtube.com/watch?v=OnYr3TisCcg
71,59,Trem Mais Caro,"Mc Theuzyn, --, -- & --",5,1932503,-4.1%,https://www.youtube.com/watch?v=pdkBGKQgd4c
72,76,Juliet E Chapelão (Ao Vivo),"Dj Chris No Beat, Luan Pereira & Juan Pereira",10,1831284,13%,https://www.youtube.com/watch?v=k893U324R2c
73,68,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,16,1774367,1.8%,https://www.youtube.com/watch?v=CJdhWgebwqA
74,66,Está Tudo Bem (Ao Vivo),Kellen Byanca,6,1758320,-1.9%,https://www.youtube.com/watch?v=zP0KRlNPNos
75,,Chá De Casa Nova (Ao Vivo),Henrique & Juliano,21,1756893,,https://www.youtube.com/watch?v=9Et53l5l-FE
76,64,Todo Seu,Jorge & Mateus,3,1750348,-5.6%,https://www.youtube.com/watch?v=lyHNzNMSZyw
