Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Erro Gostoso (Ao Vivo),Simone Mendes,14,13523463,3.8%,https://www.youtube.com/watch?v=mr09lDl_Tfk
2,2,Nosso Quadro,Ana Castela,13,11460499,0.9%,https://www.youtube.com/watch?v=r9GrcxTGNWg
3,,Conexões de Máfia (feat. Rich the Kid),Matuê,1,10939876,,https://www.youtube.com/watch?v=rGHJ0mqean4
4,7,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,8,7837419,8.1%,https://www.youtube.com/watch?v=bHT5GvYi6io
5,6,Oi Balde (Ao Vivo),Zé Neto & Cristiano,11,7183387,-3.2%,https://www.youtube.com/watch?v=HK7bSTeQw6U
6,5,Leão,Marília Mendonça,21,7090645,-8.5%,https://www.youtube.com/watch?v=tI55Zu9uZEM
7,3,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,4,6554059,-23.5%,https://www.youtube.com/watch?v=uvbKI8Bc9dA
8,9,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,16,6246148,-3.2%,https://www.youtube.com/watch?v=29WR7F4TDUI
9,10,Me Atraiu (Ao Vivo),Gabriela Rocha,13,6161706,-1.3%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
10,14,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,3,5838401,7.3%,https://www.youtube.com/watch?v=-UUe7g8-E0k
11,13,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,7,5738974,-0.6%,https://www.youtube.com/watch?v=eGpIwanODHw
12,12,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,20,5623378,-6.5%,https://www.youtube.com/watch?v=sOgYk0iXNls
13,8,Vacilão,"Zé Felipe, Igow & Wesley Safadão",7,5448190,-20.3%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q
14,11,085 (Ao Vivo),MC Rogerinho,10,5194799,-14.2%,https://www.youtube.com/watch?v=LpHfPPqjUOk
15,15,Coração de Gelo,WIU,22,5039855,-5.2%,https://www.youtube.com/watch?v=p03BWB5SN4M
16,17,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",26,4996485,3.2%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
17,18,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,13,4336391,-3.8%,https://www.youtube.com/watch?v=OO1nHL70qEE
18,23,Não Para,"Belle Kaffer, Ana Castela & Charles New",9,4212845,4.9%,https://www.youtube.com/watch?v=NbOBWn43wGc
19,16,MINHA CURA,MC Cabelinho,18,4194834,-15.3%,https://www.youtube.com/watch?v=har3c93pJe0
20,20,Coladin (Minha Deusa),Zé Vaqueiro,22,4171592,1.7%,https://www.youtube.com/watch?v=eihpkV7KSKo
