Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Zona De Perigo,Léo Santana,4,27340241,-5.7%,https://www.youtube.com/watch?v=0cnUcoXllMM
2,2,Leão,Marília Mendonça,11,14529984,-23.4%,https://www.youtube.com/watch?v=tI55Zu9uZEM
3,33,Lovezinho (Sexy Version) (Remix),Bella DJ,2,10281963,193.8%,https://www.youtube.com/watch?v=
4,3,Coração de Gelo,WIU,12,8525281,-6.3%,https://www.youtube.com/watch?v=p03BWB5SN4M
5,4,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",14,8442238,-5.8%,https://www.youtube.com/watch?v=5fI3cK7iDeg
6,5,Facilita Aí,Zé Felipe,3,7934697,-6%,https://www.youtube.com/watch?v=u8PI0ASpG4U
7,6,Luz do Luar,Mc Tato & Dj ak beats,11,7928123,-4.8%,https://www.youtube.com/watch?v=P5AnIr0_6tw
8,7,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,20,7133724,-0.2%,https://www.youtube.com/watch?v=uBc1wkTMywM
9,10,Nosso Quadro,Ana Castela,3,7033484,21%,https://www.youtube.com/watch?v=r9GrcxTGNWg
10,8,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,10,6590941,-0.9%,https://www.youtube.com/watch?v=vsAPYtF50VI
11,13,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,7,6510296,15%,https://www.youtube.com/watch?v=6kiJt7WTTM4
12,20,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,7,6314166,27.2%,https://www.youtube.com/watch?v=_xl7YEj7IBM
13,9,Felina,WIU & MC Ryan SP,22,5789463,-12.3%,https://www.youtube.com/watch?v=wFBp_PHXrf4
14,15,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,6,5649538,3.6%,https://www.youtube.com/watch?v=29WR7F4TDUI
15,16,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",16,5566381,3.1%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
16,11,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",8,5554710,-4.1%,https://www.youtube.com/watch?v=Z8HNDfY3ba4
17,19,Coladin (Minha Deusa),Zé Vaqueiro,12,5483841,9.7%,https://www.youtube.com/watch?v=eihpkV7KSKo
18,12,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,16,5314259,-6.5%,https://www.youtube.com/watch?v=t050lriI0_w
19,14,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,10,5092149,-7.2%,https://www.youtube.com/watch?v=sOgYk0iXNls
20,17,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",17,4856831,-7.1%,https://www.youtube.com/watch?v=24lfgigKHqQ
