Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Nosso Quadro,Ana Castela,15,11628474,-8.4%,https://www.youtube.com/watch?v=r9GrcxTGNWg
2,2,Erro Gostoso (Ao Vivo),Simone Mendes,16,9627605,-2.9%,https://www.youtube.com/watch?v=mr09lDl_Tfk
3,,Cartão Black,MC Caverinha & KayBlack,1,7908287,,https://www.youtube.com/watch?v=OZgQnRcGZXs
4,4,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,10,7000814,-19.1%,https://www.youtube.com/watch?v=bHT5GvYi6io
5,5,Oi Balde (Ao Vivo),Zé Neto & Cristiano,13,6901771,-19.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U
6,3,Conexões de Máfia (feat. Rich the Kid),Matuê,3,6553727,-28%,https://www.youtube.com/watch?v=rGHJ0mqean4
7,11,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,5,5942426,-3.2%,https://www.youtube.com/watch?v=-UUe7g8-E0k
8,6,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,9,5895297,-17.3%,https://www.youtube.com/watch?v=eGpIwanODHw
9,7,Leão,Marília Mendonça,23,5879777,-17.3%,https://www.youtube.com/watch?v=tI55Zu9uZEM
10,12,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,18,5727522,-4.1%,https://www.youtube.com/watch?v=29WR7F4TDUI
11,10,Me Atraiu (Ao Vivo),Gabriela Rocha,15,5580423,-9.6%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
12,8,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,6,5565348,-19.9%,https://www.youtube.com/watch?v=uvbKI8Bc9dA
13,14,Pitbull Enraivado,Oh Polêmico,4,4945920,-10.9%,https://www.youtube.com/watch?v=XzaJWAL2Ks4
14,13,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,22,4687892,-19.2%,https://www.youtube.com/watch?v=sOgYk0iXNls
15,23,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",28,4521499,11.7%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
16,18,BEM MELHOR,"MC Cabelinho, Oruam & Palma",2,4396199,-9.2%,https://www.youtube.com/watch?v=kWvFoR-Wf-I
17,9,MINHA CURA,MC Cabelinho,20,4297485,-34.1%,https://www.youtube.com/watch?v=har3c93pJe0
18,21,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",7,4250582,-2.1%,https://www.youtube.com/watch?v=0lgAIjua6pA
19,19,Não Para,"Belle Kaffer, Ana Castela & Charles New",11,4146805,-7.7%,https://www.youtube.com/watch?v=NbOBWn43wGc
20,17,Coração de Gelo,WIU,24,4121626,-17.3%,https://www.youtube.com/watch?v=p03BWB5SN4M
21,,Talarica (feat. Ray Marcelle),Hytalo Santos,1,3954459,,https://www.youtube.com/watch?v=HUFSL-1YQgg
22,57,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",2,3932865,60.1%,https://www.youtube.com/watch?v=CWDZF7aJmjE
23,16,085 (Ao Vivo),MC Rogerinho,12,3890346,-26.6%,https://www.youtube.com/watch?v=LpHfPPqjUOk
24,15,Vacilão,"Zé Felipe, Igow & Wesley Safadão",9,3741378,-29.9%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q
25,20,Lovezinho (Sexy Version) (Remix),Bella DJ,14,3656615,-16.3%,https://www.youtube.com/watch?v=
26,22,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,15,3637146,-14.7%,https://www.youtube.com/watch?v=OO1nHL70qEE
27,31,Coladin (Minha Deusa),Zé Vaqueiro,24,3571063,3.6%,https://www.youtube.com/watch?v=eihpkV7KSKo
