Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",6,9006855,-0.2%,https://www.youtube.com/watch?v=69-jnA4QLSM
2,3,Felina,WIU & MC Ryan SP,5,8638595,12%,https://www.youtube.com/watch?v=wFBp_PHXrf4
3,2,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,5,8541092,8.4%,https://www.youtube.com/watch?v=af8fdbaB8JY
4,9,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,4,7983194,28.8%,https://www.youtube.com/watch?v=rALK230exU0
5,4,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",17,7101698,-0%,https://www.youtube.com/watch?v=8NjXVsLHIg8
6,7,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,14,6996869,7.9%,https://www.youtube.com/watch?v=qjxNM9qF3LA
7,6,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,16,6687005,-2.2%,https://www.youtube.com/watch?v=WiNYFwIfg4w
8,8,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,23,6257420,-0.8%,https://www.youtube.com/watch?v=69JAoslGYI8
9,5,Te Love (Ao Vivo),Kevi Jonny,8,6205594,-9.5%,https://www.youtube.com/watch?v=vBQbH4mA_z0
10,,50 Cópias,Zé Felipe,1,6186744,,https://www.youtube.com/watch?v=VA1PMms8Vio
11,17,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,5,6185875,43%,https://www.youtube.com/watch?v=J3H--06Xw6g
12,12,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,16,5256745,-3.6%,https://www.youtube.com/watch?v=hOGuaMazCz8
13,10,X1,MC Cabelinho & Dallass,31,5199295,-8.1%,https://www.youtube.com/watch?v=zgdQsLH7sDw
14,13,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,27,5012826,-2%,https://www.youtube.com/watch?v=psdZRggL7cI
15,11,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,30,4783522,-14.9%,https://www.youtube.com/watch?v=rTJSWmgbVwA
16,20,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,41,4563472,9.8%,https://www.youtube.com/watch?v=kyfXEMqvLgU
17,15,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",18,4562094,-0%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
18,18,NÉ SEGREDO,MC Cabelinho,6,4404717,2.5%,https://www.youtube.com/watch?v=GqLrlHHeww0
19,27,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,3,4320495,25.1%,https://www.youtube.com/watch?v=uBc1wkTMywM
20,14,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",8,4172262,-10.4%,https://www.youtube.com/watch?v=
21,21,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",21,4126186,-0.4%,https://www.youtube.com/watch?v=NbB6qMA2lts
22,19,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,3,4068081,-4.7%,https://www.youtube.com/watch?v=FQgZAj45ojY
23,28,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",13,4023306,17.5%,https://www.youtube.com/watch?v=thfYx-W63ws
24,,Anti-Hero,Taylor Swift,1,3978846,,https://www.youtube.com/watch?v=b1kbLwvqugk
25,22,Seu Perfil (Ao Vivo),Henrique & Juliano,39,3765039,-5.9%,https://www.youtube.com/watch?v=KvAagUxO3OY
26,30,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",8,3727501,11.9%,https://www.youtube.com/watch?v=oc0wsia4b3E
27,23,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,3,3468858,-11%,https://www.youtube.com/watch?v=d7NMHcIecCE
28,26,Gostosinha é Ela,Felipe Amorim,14,3447981,-3%,https://www.youtube.com/watch?v=zSRjeUpQUwI
29,29,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,14,3422055,2.4%,https://www.youtube.com/watch?v=pPxs52_MVIU
30,25,Intuição (Ao Vivo),Mari Fernandez,25,3300945,-9.5%,https://www.youtube.com/watch?v=rfkXgby-xn0
31,32,Unholy (Live),Kim Petras & Sam Smith,5,3228520,4.9%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
32,,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,1,3187386,,https://www.youtube.com/watch?v=vdbhKBGbsVM
33,34,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,5,3154627,12.2%,https://www.youtube.com/watch?v=OjZNMnmUVT4
34,31,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",23,3152499,0.2%,https://www.youtube.com/watch?v=wumB0Qs2YT4
35,24,Digo ou Não Digo (Ao Vivo),João Gomes & L7NNON,5,3092999,-16%,https://www.youtube.com/watch?v=Wv6xQMEC-Wo
36,42,Under The Influence,Chris Brown,11,2997213,17.2%,https://www.youtube.com/watch?v=pfxyk1glEq4
37,33,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,14,2857731,-0.1%,https://www.youtube.com/watch?v=MBg5g2g3okU
38,47,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",6,2798311,15.4%,https://www.youtube.com/watch?v=1CIIIv9dfzg
39,16,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",2,2759591,-36.3%,https://www.youtube.com/watch?v=tBdx1b40rfU
40,41,Vizão de Cria 2,"Caio Luccas, Dallass, Tz da Coronel, PJ HOUDINI, Thiago Anezzi, NADAMAL, MC Maneirinho & Filipe Ret",13,2706910,4%,https://www.youtube.com/watch?v=Sau1_hWFHJE
41,51,Chá de Chifre,"Marcynho Sensação, Mc Mari & Wesley Safadão",11,2670377,12.3%,https://www.youtube.com/watch?v=8x2QxMZIUH0
