Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,7,Zona De Perigo,Léo Santana,2,23630007,248.6%,https://www.youtube.com/watch?v=0cnUcoXllMM
2,1,Leão,Marília Mendonça,9,19285244,-5.1%,https://www.youtube.com/watch?v=tI55Zu9uZEM
3,2,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",12,10241301,-2%,https://www.youtube.com/watch?v=5fI3cK7iDeg
4,,Facilita Aí,Zé Felipe,1,10109093,,https://www.youtube.com/watch?v=u8PI0ASpG4U
5,4,Coração de Gelo,WIU,10,8788308,4.8%,https://www.youtube.com/watch?v=p03BWB5SN4M
6,3,Luz do Luar,Mc Tato & Dj ak beats,9,8391776,-8%,https://www.youtube.com/watch?v=P5AnIr0_6tw
7,6,Felina,WIU & MC Ryan SP,20,7279139,2%,https://www.youtube.com/watch?v=wFBp_PHXrf4
8,5,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,18,7023764,-4.8%,https://www.youtube.com/watch?v=uBc1wkTMywM
9,8,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,8,6457203,-2.1%,https://www.youtube.com/watch?v=vsAPYtF50VI
10,11,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,14,5932364,-4.6%,https://www.youtube.com/watch?v=t050lriI0_w
11,10,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",6,5800069,-8.3%,https://www.youtube.com/watch?v=Z8HNDfY3ba4
12,9,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",15,5608477,-14.1%,https://www.youtube.com/watch?v=24lfgigKHqQ
13,12,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",14,5520848,1.5%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
14,13,Lá Ele,Tierry & Manoel Gomes,5,5496864,4.2%,https://www.youtube.com/watch?v=_KaA8W_Hov8
15,30,Erro Gostoso (Ao Vivo),Simone Mendes,2,5447660,45.4%,https://www.youtube.com/watch?v=mr09lDl_Tfk
16,17,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,8,5286807,11%,https://www.youtube.com/watch?v=sOgYk0iXNls
17,19,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,4,5063141,7.9%,https://www.youtube.com/watch?v=29WR7F4TDUI
18,29,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,5,4978000,31.9%,https://www.youtube.com/watch?v=6kiJt7WTTM4
19,14,Namora Aí,MC Ryan SP & Mc Daniel,9,4850537,-3.9%,https://www.youtube.com/watch?v=4HQect5dM-g
20,16,Coladin (Minha Deusa),Zé Vaqueiro,10,4809572,-1.7%,https://www.youtube.com/watch?v=eihpkV7KSKo
21,32,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,5,4596972,25.8%,https://www.youtube.com/watch?v=_xl7YEj7IBM
22,15,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,29,4541982,-9.7%,https://www.youtube.com/watch?v=qjxNM9qF3LA
23,20,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,16,4539408,-2.8%,https://www.youtube.com/watch?v=vdbhKBGbsVM
24,,Nosso Quadro,Ana Castela,1,4178783,,https://www.youtube.com/watch?v=r9GrcxTGNWg
25,24,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,20,4083801,-2.4%,https://www.youtube.com/watch?v=J3H--06Xw6g
26,22,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,20,3991917,-13.2%,https://www.youtube.com/watch?v=af8fdbaB8JY
27,48,Saudade da Minha Vida (Ao Vivo),Gusttavo Lima,2,3984837,34.9%,https://www.youtube.com/watch?v=Jm5MCIVwjas
28,21,Evoque Prata (Sped Up),Lali DJ,14,3928678,-15.1%,https://www.youtube.com/watch?v=B4dmw3CfYtY
29,18,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",9,3867415,-18.2%,https://www.youtube.com/watch?v=I1eZ6SilA74
30,28,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",20,3738243,-1.8%,https://www.youtube.com/watch?v=69-jnA4QLSM
31,27,X1,MC Cabelinho & Dallass,46,3671642,-5.7%,https://www.youtube.com/watch?v=zgdQsLH7sDw
32,31,Flow Espacial,"Teto, WIU & Matuê",2,3629164,-2.6%,https://www.youtube.com/watch?v=VBJvDgBZEi4
33,41,Bandido Não Dança (feat. Love Funk),"Mc Paiva ZS, Gabb MC & DJ ALADIN GDB",3,3604202,14.5%,https://www.youtube.com/watch?v=UR7APKgOprI
34,25,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,38,3498616,-13.7%,https://www.youtube.com/watch?v=69JAoslGYI8
35,23,Cheiro da Karolina,Luiz Poderoso Chefão,16,3490877,-18.2%,https://www.youtube.com/watch?v=9gbWg7EGFEc
36,36,MINHA CURA,MC Cabelinho,6,3479469,2.4%,https://www.youtube.com/watch?v=har3c93pJe0
37,33,Horas Iguais,WIU & Oruam,19,3372956,-4.7%,https://www.youtube.com/watch?v=hr_83ZXhmOI
38,26,Flowers,Miley Cyrus,4,3346219,-15.5%,https://www.youtube.com/watch?v=G7KNmW9a75Y
39,35,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello",8,3158378,-7.7%,https://www.youtube.com/watch?v=Kh9fYUUMK9U
40,44,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",14,3155079,2%,https://www.youtube.com/watch?v=eI5FkVWz_dI
41,37,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",21,3037698,-7.3%,https://www.youtube.com/watch?v=1CIIIv9dfzg
42,,Traumatizei (Ao Vivo Em Brasília),Henrique & Juliano,1,2998413,,https://www.youtube.com/watch?v=QxZFjShiXhA
43,39,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,45,2985354,-6.9%,https://www.youtube.com/watch?v=rTJSWmgbVwA
44,45,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,31,2973775,-1.4%,https://www.youtube.com/watch?v=hOGuaMazCz8
45,43,MAMA.CITA (hasta la vista),Luísa Sonza & Xamã,7,2957838,-4.9%,https://www.youtube.com/watch?v=RuXFXp4zQlM
