Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Bandido,Zé Felipe & Mc Mari,4,11281311,-20.8%,https://www.youtube.com/watch?v=YxGYumo6tpU
2,9,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,8,10965312,61.5%,https://www.youtube.com/watch?v=69JAoslGYI8
3,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,15,9708303,0.4%,https://www.youtube.com/watch?v=rTJSWmgbVwA
4,4,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",6,9608489,16.8%,https://www.youtube.com/watch?v=NbB6qMA2lts
5,3,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,4,9528336,5%,https://www.youtube.com/watch?v=4zhowmwBCuw
6,5,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,12,8621094,7.6%,https://www.youtube.com/watch?v=psdZRggL7cI
7,7,Balanço Da Rede (Ao Vivo),Matheus Fernandes,18,7721373,-0.9%,https://www.youtube.com/watch?v=vAM1xXdRnH0
8,6,Tchuco Nela,MC Rogerinho & Wesley Safadão,13,7348518,-8%,https://www.youtube.com/watch?v=dEjA3uw5s3I
9,10,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,52,6965923,8.3%,https://www.youtube.com/watch?v=jW7j41mbxXU
10,,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,1,6586005,,https://www.youtube.com/watch?v=hOGuaMazCz8
11,14,Intuição (Ao Vivo),Mari Fernandez,10,6326327,11.7%,https://www.youtube.com/watch?v=rfkXgby-xn0
12,8,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",16,6276033,-15.6%,https://www.youtube.com/watch?v=b7A98jz4uUA
13,11,Tu Tava Na Revoada,Wesley Safadão,8,5932928,0.2%,https://www.youtube.com/watch?v=GmlBAosY3V0
14,15,X1,MC Cabelinho & Dallass,16,5563338,3%,https://www.youtube.com/watch?v=zgdQsLH7sDw
15,25,A Maior Saudade (Ao Vivo),Henrique & Juliano,45,5260198,16.5%,https://www.youtube.com/watch?v=6EGg0_l-edc
16,13,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",20,5063763,-11%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
17,17,Vampiro,"Matuê, Wiu & Teto",15,4806795,-4.6%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
18,19,Bloqueado (Ao Vivo),Gusttavo Lima,33,4732164,-4.9%,https://www.youtube.com/watch?v=14C28JSO-sg
19,23,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,26,4535982,-3.2%,https://www.youtube.com/watch?v=kyfXEMqvLgU
20,20,Malvada,Zé Felipe,24,4529396,-7.3%,https://www.youtube.com/watch?v=r0mNwyywHIY
21,24,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",13,4468995,-3.1%,https://www.youtube.com/watch?v=L2_xh-r10OI
22,21,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",15,4445939,-7.6%,https://www.youtube.com/watch?v=273pasBKH18
23,16,Me Chama de Amor,Treyce & O Tubarão,14,4391373,-13.2%,https://www.youtube.com/watch?v=J9AfRmtdqGs
24,,A Nova Era,"Chefin Oficial, Bren Oficial, Racovi Oficial & Mainstreet",1,4390096,,https://www.youtube.com/watch?v=-gysEtnzYEw
25,48,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",2,4343776,50.1%,https://www.youtube.com/watch?v=8NjXVsLHIg8
26,29,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",3,4343122,6%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
27,22,Pras Novinha (feat. DJ Pedrin),"MC Livinho, Dj LK da Escócia & DJ Breno",5,4234606,-11.1%,https://www.youtube.com/watch?v=vGBJmgZSeRc
28,26,No Ouvidinho,Felipe Amorim,16,4186488,-5.6%,https://www.youtube.com/watch?v=eYuI4krrKBM
29,32,Fim de Semana no Rio,Teto,16,4159846,4.2%,https://www.youtube.com/watch?v=7AlAYttGnAg
30,27,O Fim é Triste (feat. DJ BOY),MC Hariel,4,4028859,-2.4%,https://www.youtube.com/watch?v=BZ-9iYlDpXc
31,18,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,23,3986369,-20.4%,https://www.youtube.com/watch?v=I_gwjhvXxzM
32,28,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,11,3860952,-6.2%,https://www.youtube.com/watch?v=OnYr3TisCcg
33,31,Seu Perfil (Ao Vivo),Henrique & Juliano,24,3765268,-6.8%,https://www.youtube.com/watch?v=KvAagUxO3OY
34,30,Dengo (Ao Vivo),João Gomes,10,3607678,-11.8%,https://www.youtube.com/watch?v=mqYjyQG11GQ
35,33,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,6,3417212,-14.3%,https://www.youtube.com/watch?v=y3FdInN6n48
36,38,Molhando O Volante (Live),Jorge & Mateus,31,3392433,-0.3%,https://www.youtube.com/watch?v=_SjTFD9qVuE
37,45,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,9,3277012,5.9%,https://www.youtube.com/watch?v=5EuvLJPOuKo
38,37,Vontade De Morder,Simone & Simaria & Zé Felipe,26,3254568,-4.7%,https://www.youtube.com/watch?v=bgf18kANm_k
39,35,A Cara do Crime 3 (Brinde à Liberdade),"Mc Poze do Rodo, Orochi, Filipe Ret, Mainstreet & Bielzin",7,3192837,-12%,https://www.youtube.com/watch?v=3aKrgl3-Unc
40,40,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,32,3173530,-4%,https://www.youtube.com/watch?v=6MNxuMgg58k
41,36,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",14,3167053,-10.8%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
42,,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,38,3110524,,https://www.youtube.com/watch?v=88_jnJP0OtA
43,46,Parada Louca,Mari Fernandez & Marcynho Sensação,35,3093415,0.7%,https://www.youtube.com/watch?v=SvWQZfEWA0s
44,43,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,32,3056116,-2.3%,https://www.youtube.com/watch?v=BKDz5kNjkfU
45,44,Running Up That Hill,Kate Bush,7,3055905,-1.5%,https://www.youtube.com/watch?v=wp43OdtAAkM
46,52,Quem Vale Menos (Ao Vivo),Mari Fernandez,11,3020278,10%,https://www.youtube.com/watch?v=HVJWX1B9_lo
47,49,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,37,3008079,4.7%,https://www.youtube.com/watch?v=r2ma8WPRppk
48,41,Hotel Caro,Baco Exu do Blues & Luísa Sonza,5,2928667,-10.5%,https://www.youtube.com/watch?v=PQrWORayZTc
49,34,Joga Essa Rabeta,MC Teuzin PV & MC Skcot,7,2894861,-21.2%,https://www.youtube.com/watch?v=pIr6TjG7Rko
50,,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",36,2847248,,https://www.youtube.com/watch?v=TNIbXs_iNq8
51,53,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",8,2823401,6.6%,https://www.youtube.com/watch?v=wumB0Qs2YT4
52,51,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,13,2805874,-1.9%,https://www.youtube.com/watch?v=yrQuMSYsYZQ
53,12,Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3 (Ao Vivo),Ludmilla & Luísa Sonza,2,2743055,-53.4%,https://www.youtube.com/watch?v=1OC6L-ekUXU
54,39,"Let's Let's Go (feat. MC Hariel, Mc Kadu, MC Marks, MC Don Juan, Mc Luki & MC PH)","DJ GBR, Mc IG & MC Ryan SP",7,2741949,-19.1%,https://www.youtube.com/watch?v=Fh9lQcV94d4
55,83,Virando o Olhinho,Kadu Martins,2,2686739,44.8%,https://www.youtube.com/watch?v=7njueXmgObo
56,58,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,13,2579433,0.8%,https://www.youtube.com/watch?v=SClzaJuWou4
57,42,ACORDA PEDRINHO,Jovem Dionisio,8,2576760,-18.6%,https://www.youtube.com/watch?v=d-tx9D4a8dc
58,47,"Set do G15: A Revoada Começou (feat. MC Ryan SP, MC Menor da VG, JottaPê, Gaab & MC Don Juan)","MC Pedrinho, Mc Davi & MC G15",9,2548597,-12.2%,https://www.youtube.com/watch?v=1vXn6pl40bo
59,,Batalha de Rap,"Mussa, Dustin Henderson, Will Byers, Lucas Sainclair, 11fjn2z9pt, -- & Vecna",1,2515621,,https://www.youtube.com/watch?v=fvSim-VCR9I
60,84,Para de Me Assistir (Ao Vivo),Mari Fernandez,4,2473762,35.1%,https://www.youtube.com/watch?v=n7xMP3Nwr6I
61,56,Simplesmente Ela,Mc Gabzin,17,2453172,-5.1%,https://www.youtube.com/watch?v=K6iRoT8u2xU
62,71,"Vida Loka, Pt. 1 (Live)",Racionais MC's,7,2376221,13.6%,https://www.youtube.com/watch?v=IL1epaZCTmk
63,59,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,13,2369033,-6.7%,https://www.youtube.com/watch?v=apPxQOfh0ek
64,61,"SET MK 2 (feat. MC Joãozinho VT, MC Ryan SP, MC Neguinho do Kaxeta, Mc Kanhoto, MC Don Juan & DJ BOY)","MC Hariel, Mc IG & MC Marks",6,2323246,-5.3%,https://www.youtube.com/watch?v=H7yym8n8nLw
65,74,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",23,2257592,11.8%,https://www.youtube.com/watch?v=c7mbGJvX6t4
66,54,Amiga (Ao Vivo),Simone & Simaria,11,2240875,-14.9%,https://www.youtube.com/watch?v=48s6RGU1dr0
67,57,PERIGO NOTURNO (Ao Vivo),Luan Santana,2,2231432,-13.5%,https://www.youtube.com/watch?v=ZWopmb4du0I
68,72,Está Tudo Bem (Ao Vivo),Kellen Byanca,13,2219742,6.3%,https://www.youtube.com/watch?v=zP0KRlNPNos
69,68,Festa de Vagabundo,Mc Paiva ZS & Kotim,5,2212691,4.4%,https://www.youtube.com/watch?v=8xxXjzRlcjQ
70,65,Bagulho Louco,Mc Paiva ZS,11,2180717,-2%,https://www.youtube.com/watch?v=
71,64,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",15,2139276,-5.8%,https://www.youtube.com/watch?v=n43oZSY7df0
72,,Sentadinha Diferente,Dyamante DJ  & MC GW,1,2136692,,https://www.youtube.com/watch?v=GQ78UQAgLCI
73,63,Predestinado,Oruam,5,2114144,-12.7%,https://www.youtube.com/watch?v=kqPSfz_bCX8
74,75,Deus É o Meu Guia,Chefin Oficial,20,2104247,4.3%,https://www.youtube.com/watch?v=WrZ6fKelwOU
75,55,Sonho Dos Cria,Filipe Ret & Mc Poze do Rodo,4,2049090,-21.1%,https://www.youtube.com/watch?v=aopp7-PFD14
76,76,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",20,2038130,2.7%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
77,69,Vai Doer Mais (Ao Vivo),Mari Fernandez,6,2005958,-4.4%,https://www.youtube.com/watch?v=SpyKD3Y8I3o
78,,Escolhe o Bandido,"MC CH da Z.O, MC Myres, Danado do Recife, eoo kendy & Deyvinho PL",1,1987019,,https://www.youtube.com/watch?v=OaAqhlU6VjY
79,77,EU VOU COM CARINHO ELA QUER COM FORÇA,"MC Don Juan, MC G15 & Mc Davi",9,1967142,-0.6%,https://www.youtube.com/watch?v=zPuEI4zHMRE
80,,Tudo Nosso (feat. Anitta),Filipe Ret & Dallass,2,1964210,,https://www.youtube.com/watch?v=7xz7zT9Siek
81,66,Aposentei o 12 Molas,Mc Kako & DJ WN,11,1920416,-11.8%,https://www.youtube.com/watch?v=3rdSK5uY6IM
82,81,Falta Você,Thiaguinho,6,1870143,-2.3%,https://www.youtube.com/watch?v=Qj-qS4aV0UY
83,,Incendeia,MC Kevin o Chris,1,1852402,,https://www.youtube.com/watch?v=fFeQDbY741I
84,70,Ela é da Bagaceira,"Romim Mata, -- & --",9,1841848,-12.1%,https://www.youtube.com/watch?v=XCBTuf62kps
85,82,Agora Somos Ex,Nenho,11,1818399,-3.2%,https://www.youtube.com/watch?v=LA-bc9dX4y0
86,,Joga a Bunda,MC Rogerinho,1,1803543,,https://www.youtube.com/watch?v=FqdDdGrB4tY
87,79,"Bruna, Tu Já Parou Pra Pensar",Niack,3,1795048,-8%,https://www.youtube.com/watch?v=iqXhId0sDts
88,87,As It Was,Harry Styles,15,1794668,1.5%,https://www.youtube.com/watch?v=H5v3kku4y6Q
89,,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,1,1790952,,https://www.youtube.com/watch?v=WiNYFwIfg4w
90,78,Dior,"BIN, Major RD, Mainstreet & Ajaxx",5,1785016,-9.6%,https://www.youtube.com/watch?v=cE-mBCBuxYQ
91,80,Juliet E Chapelão (Ao Vivo),"Dj Chris No Beat, Luan Pereira & Juan Pereira",17,1771493,-8.7%,https://www.youtube.com/watch?v=k893U324R2c
92,,Baladinha Rural,US Agroboy,1,1758261,,https://www.youtube.com/watch?v=d6kGhbbsbu0
93,98,Only Love Can Hurt Like This,Paloma Faith,2,1738846,11.4%,https://www.youtube.com/watch?v=PaKr9gWqwl4
94,,Cena de Amor,Brisa Star & Zé Vaqueiro,31,1688668,,https://www.youtube.com/watch?v=UI_VjxVrzHY
95,67,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,12,1671195,-22.6%,https://www.youtube.com/watch?v=lac3TYlarFM
96,95,Vem Cá,Pelé MilFlows,19,1651547,2.5%,https://www.youtube.com/watch?v=lV2plyhSRBU
97,92,Apontei pro Céu,"Dj GM, Mc Lipi  & Love Funk",9,1643178,-3%,https://www.youtube.com/watch?v=PL19VJ13Ttg
98,89,Filho do Dono,Oruam & MC Cabelinho,12,1642462,-4.1%,https://www.youtube.com/watch?v=dUC7TBmzrL4
99,,Câmera Lenta (Ao Vivo),Mari Fernandez,2,1634521,,https://www.youtube.com/watch?v=Bs3kAyGKgSM
100,85,Sweater Weather,The Neighbourhood,12,1625851,-9.3%,https://www.youtube.com/watch?v=GCdwKhTtNNw
