Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Erro Gostoso (Ao Vivo),Simone Mendes,13,13028244,13.9%,https://www.youtube.com/watch?v=mr09lDl_Tfk
2,2,Nosso Quadro,Ana Castela,12,11357360,6.2%,https://www.youtube.com/watch?v=r9GrcxTGNWg
3,4,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,3,8569434,-2.2%,https://www.youtube.com/watch?v=uvbKI8Bc9dA
4,3,Lovezinho (Sexy Version) (Remix),Bella DJ,11,7871794,-12%,https://www.youtube.com/watch?v=
5,6,Leão,Marília Mendonça,20,7745544,8.7%,https://www.youtube.com/watch?v=tI55Zu9uZEM
6,8,Oi Balde (Ao Vivo),Zé Neto & Cristiano,10,7421867,19.8%,https://www.youtube.com/watch?v=HK7bSTeQw6U
7,14,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,7,7247326,31.7%,https://www.youtube.com/watch?v=bHT5GvYi6io
8,5,Vacilão,"Zé Felipe, Igow & Wesley Safadão",6,6836069,-6.2%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q
9,7,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,15,6450531,3.2%,https://www.youtube.com/watch?v=29WR7F4TDUI
10,10,Me Atraiu (Ao Vivo),Gabriela Rocha,12,6241083,6.3%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
11,9,085 (Ao Vivo),MC Rogerinho,9,6057918,-1.6%,https://www.youtube.com/watch?v=LpHfPPqjUOk
12,12,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,19,6015845,7.4%,https://www.youtube.com/watch?v=sOgYk0iXNls
13,11,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,6,5774993,1.9%,https://www.youtube.com/watch?v=eGpIwanODHw
14,18,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,2,5441251,20.4%,https://www.youtube.com/watch?v=-UUe7g8-E0k
15,13,Coração de Gelo,WIU,21,5315361,-3.6%,https://www.youtube.com/watch?v=p03BWB5SN4M
16,17,MINHA CURA,MC Cabelinho,17,4953483,6.8%,https://www.youtube.com/watch?v=har3c93pJe0
17,15,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",25,4842070,-10.5%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
18,23,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,12,4508851,11.2%,https://www.youtube.com/watch?v=OO1nHL70qEE
19,35,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,28,4157371,14.1%,https://www.youtube.com/watch?v=uBc1wkTMywM
20,20,Coladin (Minha Deusa),Zé Vaqueiro,21,4103038,-3.6%,https://www.youtube.com/watch?v=eihpkV7KSKo
21,21,Aquecimento Senta Senta Suave,MC Kevin o Chris & BUARQUE,7,4096739,-0.2%,https://www.youtube.com/watch?v=IgegJ52oscs
22,29,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",23,4072199,5.3%,https://www.youtube.com/watch?v=5fI3cK7iDeg
23,26,Não Para,"Belle Kaffer, Ana Castela & Charles New",8,4015231,-0.5%,https://www.youtube.com/watch?v=NbOBWn43wGc
24,22,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,16,4008023,-2.1%,https://www.youtube.com/watch?v=6kiJt7WTTM4
25,16,Mas Existe um Lugar,"Cryzin, Kaio Viana & Noemi Leal",5,3987938,-19.1%,https://www.youtube.com/watch?v=pdMNd_FMzTM
26,33,Zona De Perigo,Léo Santana,13,3982117,7%,https://www.youtube.com/watch?v=0cnUcoXllMM
