Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Malvada,Zé Felipe,4,16148340,-7.8%,https://www.youtube.com/watch?v=r0mNwyywHIY
2,2,Malvadão 3,Xamã,10,13071817,-5.5%,https://www.youtube.com/watch?v=i9NOkjmBszo
3,5,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,32,11890274,12.3%,https://www.youtube.com/watch?v=jW7j41mbxXU
4,4,Depende,Dj Guuga,10,10559126,-8.3%,https://www.youtube.com/watch?v=v9geHIUOxeA
5,3,Vontade De Morder,Simone & Simaria & Zé Felipe,6,10105835,-13.9%,https://www.youtube.com/watch?v=bgf18kANm_k
6,34,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,3,9340223,152.2%,https://www.youtube.com/watch?v=I_gwjhvXxzM
7,10,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,15,8768553,9%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
8,6,Botadinha Saliente,MC Rogerinho,3,8396350,-16.8%,https://www.youtube.com/watch?v=kyjtx28z-bE
9,8,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",18,8267873,-8.6%,https://www.youtube.com/watch?v=TNIbXs_iNq8
10,9,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,6,8263472,0.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU
11,7,Bloqueado (Ao Vivo),Gusttavo Lima,13,7957170,-13.6%,https://www.youtube.com/watch?v=14C28JSO-sg
12,11,212,Chefin & Mainstreet,6,7681590,1.1%,https://www.youtube.com/watch?v=290Q1JFInHE
13,12,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,13,7076388,0.3%,https://www.youtube.com/watch?v=6MNxuMgg58k
14,15,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,17,6674780,9.4%,https://www.youtube.com/watch?v=r2ma8WPRppk
15,16,Presepada,Marília Mendonça & Maiara & Maraisa,17,6522494,11.5%,https://www.youtube.com/watch?v=MQv__TADEGM
16,14,Parada Louca,Mari Fernandez & Marcynho Sensação,15,6447524,-0.4%,https://www.youtube.com/watch?v=SvWQZfEWA0s
17,26,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",2,6359313,40.5%,https://www.youtube.com/watch?v=ulY5kBy2exo
