Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,6,15107818,7.2%,https://www.youtube.com/watch?v=WiNYFwIfg4w
2,2,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,13,12622505,-2.6%,https://www.youtube.com/watch?v=69JAoslGYI8
3,7,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",7,9228882,28%,https://www.youtube.com/watch?v=8NjXVsLHIg8
4,3,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",11,8584960,-12.5%,https://www.youtube.com/watch?v=NbB6qMA2lts
5,5,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,20,7999232,4.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA
6,4,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,17,7412619,-8.1%,https://www.youtube.com/watch?v=psdZRggL7cI
7,8,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,6,7360844,3.2%,https://www.youtube.com/watch?v=hOGuaMazCz8
8,6,CACHORRINHAS,Luísa Sonza,5,6446565,-11.5%,https://www.youtube.com/watch?v=__ur8Ykcivw
9,11,Intuição (Ao Vivo),Mari Fernandez,15,6134018,1.6%,https://www.youtube.com/watch?v=rfkXgby-xn0
10,12,X1,MC Cabelinho & Dallass,21,5942244,-1.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw
11,9,Bandido,Zé Felipe & Mc Mari,9,5708633,-15.9%,https://www.youtube.com/watch?v=YxGYumo6tpU
12,10,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",5,5459048,-13.2%,https://www.youtube.com/watch?v=_BfZRdFFdE8
13,13,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",21,4973761,-10.9%,https://www.youtube.com/watch?v=b7A98jz4uUA
14,20,A Maior Saudade (Ao Vivo),Henrique & Juliano,50,4716084,8.6%,https://www.youtube.com/watch?v=6EGg0_l-edc
15,16,Te Amo Demais,Marília Mendonça,4,4677805,-8.2%,https://www.youtube.com/watch?v=P2qvD7LRBAo
16,15,Tchuco Nela,MC Rogerinho & Wesley Safadão,18,4590849,-12.9%,https://www.youtube.com/watch?v=dEjA3uw5s3I
17,93,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,2,4473588,160.4%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE
18,18,Vento Forte,MC Jacaré & DJ TK,5,4470635,-9.2%,https://www.youtube.com/watch?v=e6yUmOtchLE
19,25,Gostosinha é Ela,Felipe Amorim,4,4379178,13.4%,https://www.youtube.com/watch?v=zSRjeUpQUwI
20,32,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",8,4311253,26.2%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
21,23,Perfeito Pra Ficar Sozinho (Ao Vivo),Murilo Huff & Maiara & Maraisa,2,4285209,10.2%,https://www.youtube.com/watch?v=IOuLc9ZhLuQ
22,14,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,9,4217807,-20.1%,https://www.youtube.com/watch?v=4zhowmwBCuw
23,21,Bloqueado (Ao Vivo),Gusttavo Lima,38,4023617,-1.8%,https://www.youtube.com/watch?v=14C28JSO-sg
