Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",7,12837114,4.1%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
2,3,Malvada,Zé Felipe,11,9827508,-0.5%,https://www.youtube.com/watch?v=r0mNwyywHIY
3,7,Balanço Da Rede (Ao Vivo),Matheus Fernandes,5,9669923,19.4%,https://www.youtube.com/watch?v=vAM1xXdRnH0
4,8,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,2,9450229,22.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA
5,31,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",2,9396945,155.4%,https://www.youtube.com/watch?v=273pasBKH18
6,2,Vampiro,"Matuê, Wiu & Teto",2,9040908,-19%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
7,6,Botadinha Saliente,MC Rogerinho,10,9030632,9.6%,https://www.youtube.com/watch?v=kyjtx28z-bE
8,13,No Ouvidinho,Felipe Amorim,3,8778298,36%,https://www.youtube.com/watch?v=eYuI4krrKBM
9,4,Fim de Semana no Rio,Teto,3,8275307,-7.8%,https://www.youtube.com/watch?v=7AlAYttGnAg
10,12,Bloqueado (Ao Vivo),Gusttavo Lima,20,7727136,16.6%,https://www.youtube.com/watch?v=14C28JSO-sg
11,9,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,39,7468333,1%,https://www.youtube.com/watch?v=jW7j41mbxXU
12,10,Malvadão 3,Xamã,17,6625619,-4.5%,https://www.youtube.com/watch?v=i9NOkjmBszo
13,15,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,13,6454627,2.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU
14,11,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,10,6366652,-7.7%,https://www.youtube.com/watch?v=I_gwjhvXxzM
15,5,Envolver,Anitta,12,5995421,-29.5%,https://www.youtube.com/watch?v=hFCjGiawJi4
16,16,Vontade De Morder,Simone & Simaria & Zé Felipe,13,5881099,-2.4%,https://www.youtube.com/watch?v=bgf18kANm_k
17,18,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",25,5378667,5.3%,https://www.youtube.com/watch?v=TNIbXs_iNq8
18,19,A Maior Saudade (Ao Vivo),Henrique & Juliano,32,5251651,4%,https://www.youtube.com/watch?v=6EGg0_l-edc
19,17,Depende,Dj Guuga,17,5155740,-8.6%,https://www.youtube.com/watch?v=v9geHIUOxeA
20,63,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",2,4944615,134%,https://www.youtube.com/watch?v=n43oZSY7df0
21,20,Deus É o Meu Guia,Chefin Oficial,7,4899331,0.8%,https://www.youtube.com/watch?v=WrZ6fKelwOU
22,22,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,19,4734856,5%,https://www.youtube.com/watch?v=BKDz5kNjkfU
23,23,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,20,4565444,3.7%,https://www.youtube.com/watch?v=6MNxuMgg58k
24,24,Parada Louca,Mari Fernandez & Marcynho Sensação,22,4416013,0.7%,https://www.youtube.com/watch?v=SvWQZfEWA0s
25,21,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,22,4390616,-4.9%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
26,25,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,24,4284406,0.8%,https://www.youtube.com/watch?v=r2ma8WPRppk
27,32,Simplesmente Ela,Mc Gabzin,4,4229320,17.7%,https://www.youtube.com/watch?v=K6iRoT8u2xU
28,14,Insônia 2,"Tribo da Periferia, Hungria Hip-Hop & MC Ryan SP",2,4115980,-36%,https://www.youtube.com/watch?v=ra6vuF47hB0
29,57,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",3,4099265,73.2%,https://www.youtube.com/watch?v=b7A98jz4uUA
30,26,GALOPA,PEDRO SAMPAIO,28,4013869,-2.1%,https://www.youtube.com/watch?v=mo1NcPxKfQU
31,28,F* F* M*,Filipe Ret,23,3926445,0.7%,https://www.youtube.com/watch?v=0hV9qYJ3IHQ
32,29,Seu Perfil (Ao Vivo),Henrique & Juliano,11,3811887,2.1%,https://www.youtube.com/watch?v=KvAagUxO3OY
33,27,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",9,3773118,-6.2%,https://www.youtube.com/watch?v=ulY5kBy2exo
34,,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,1,3601549,,https://www.youtube.com/watch?v=76DWwRaztPQ
35,30,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,10,3564695,-4.5%,https://www.youtube.com/watch?v=CJdhWgebwqA
36,36,Molhando O Volante (Live),Jorge & Mateus,18,3460259,2.1%,https://www.youtube.com/watch?v=_SjTFD9qVuE
37,40,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",46,3445976,5.2%,https://www.youtube.com/watch?v=2PRAiVs3MVc
38,34,VERMELHO,Gloria Groove,9,3322599,-4.1%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
39,37,Cabeça Branca (Live),Tierry,28,3315511,-1.2%,https://www.youtube.com/watch?v=J_jJhHhYW9w
40,33,Presepada,Marília Mendonça & Maiara & Maraisa,24,3314293,-6.3%,https://www.youtube.com/watch?v=MQv__TADEGM
41,39,Alívio,Jessé Aguiar,46,3306572,-0.7%,https://www.youtube.com/watch?v=JgLFoArntlI
42,35,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",15,3243438,-6.1%,https://www.youtube.com/watch?v=c7mbGJvX6t4
43,38,ABALO EMOCIONAL (Ao Vivo),Luan Santana,10,3229673,-3%,https://www.youtube.com/watch?v=cPGKKktrObc
44,41,212,Chefin & Mainstreet,13,3186160,0.8%,https://www.youtube.com/watch?v=290Q1JFInHE
45,42,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,26,3151294,1.9%,https://www.youtube.com/watch?v=88_jnJP0OtA
46,,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",1,3083050,,https://www.youtube.com/watch?v=x4QSi_Eb-c8
47,48,Arranhão (Ao Vivo),Henrique & Juliano,36,2987681,8.9%,https://www.youtube.com/watch?v=2_xBCeBmaS8
48,44,Proteção de Tela (Live),Tarcísio do Acordeon,41,2935041,-1.4%,https://www.youtube.com/watch?v=edjih_b_NBQ
49,43,Iphone Branco,Borges & Mainstreet,10,2924762,-2.3%,https://www.youtube.com/watch?v=xv8NrFQqKJ8
50,62,Mal Caminho,"Dj Joao Da Inestan, Mc J mito & DJ Tg da Inestan",3,2916953,35.9%,https://www.youtube.com/watch?v=WIv_TesjWMk
51,,Deixa Nós Viver em Paz,"MC Tuto, Mc Kako, MC Joãozinho VT, DJ BOY & Matheuszin DJ",1,2897754,,https://www.youtube.com/watch?v=lxTFsDzF-nc
52,46,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",8,2884459,1.6%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
53,51,Anota Aí,Mc Lipi ,17,2706302,5.4%,https://www.youtube.com/watch?v=OXFN3ZMgaVk
54,54,Sei Que Tu Gosta Muito,L7NNON & DJ Biel do Furduncinho,2,2589321,3.6%,https://www.youtube.com/watch?v=yukvofr7fzg
55,56,X1,MC Cabelinho & Dallass,3,2425336,2.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw
56,69,SET Vila Clara Store,"MC Neguinho do Kaxeta, --, MC Lele JP, MC Hariel, --, MC Marks, MC Joãozinho VT & DJ BOY",6,2350146,23.1%,https://www.youtube.com/watch?v=W3Xhpmix4KQ
57,52,CPX Ta Tega,"Mc Poze do Rodo, MC Maneirinho, Mainstreet & Neo Beats",5,2348371,-7.3%,https://www.youtube.com/watch?v=dRK7c3Je9ts
58,50,ANACONDA *o* ~~~,Luísa Sonza & Mariah Angeliq ,18,2323206,-10.7%,https://www.youtube.com/watch?v=iLTR0UyG2Yo
59,59,Juliet E Chapelão (Ao Vivo),"Dj Chris No Beat, Luan Pereira & Juan Pereira",4,2278204,0.9%,https://www.youtube.com/watch?v=k893U324R2c
60,64,Saudade e Solidão (En Vivo),Vitor Fernandes,16,2244952,6.4%,https://www.youtube.com/watch?v=SNbURUnTYCM
61,60,Tudo É Fase (feat. DJ WN & Mc Havi),MC Lele JP,6,2197629,-2.5%,https://www.youtube.com/watch?v=QiXzcQTLIrw
62,58,Vai Malvadin,"Treyce, Mc Izal, SONY NO BEAT & AFONSO NA VOZ",2,2169460,-5.9%,https://www.youtube.com/watch?v=NAnrixK-agg
63,61,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",13,2165356,-2.3%,https://www.youtube.com/watch?v=PJqHlzBiZ0A
64,55,"Oi, Como Ce Tá？",Vulgo FK,8,2130663,-13.8%,https://www.youtube.com/watch?v=K4n7zRoKmPc
65,,BEBI LIGUEI,Marília Mendonça,55,2116240,,https://www.youtube.com/watch?v=2nH7xAMqD2g
66,,Perdição,L7NNON,22,2113428,,https://www.youtube.com/watch?v=uzSme3PRhZ0
67,45,Minha Cópia Atual (Ao Vivo),Henrique & Juliano,2,2107493,-26.1%,https://www.youtube.com/watch?v=K73g54E8ZtU
68,66,Mais um Favelado,"Dj GM, Mc Lipi , MC Lele JP, MC Lemos & MC Liro",16,2060347,2.5%,https://www.youtube.com/watch?v=txqvRehMqRg
69,67,ESSÊNCIA DE CRIA (feat. Neo Beats),"MC Cabelinho, Bielzin, Mc Poze do Rodo & Tz da Coronel",17,2036658,4.4%,https://www.youtube.com/watch?v=hyDElqwFnYI
70,99,Universo Conspirou (Ao Vivo),Henrique & Juliano,13,1994246,36.1%,https://www.youtube.com/watch?v=FpsTsW408s4
71,53,SAFADEZINHA,Felipe Amorim & Zé Felipe,3,1963327,-22.4%,https://www.youtube.com/watch?v=8XE6HQ8dZYA
72,,Não Faz Isso Comigo Não,Tz da Coronel,1,1922038,,https://www.youtube.com/watch?v=mqsb7MSgY6U
73,,Foi por Pouco,MC Paulin da Capital,1,1862932,,https://www.youtube.com/watch?v=Fif726PWiTM
74,68,Sem Dó,Matuê & L7NNON,15,1853666,-4.9%,https://www.youtube.com/watch?v=G-zyOLsfEBQ
75,70,Não Vou Te Bloquear (Ao Vivo),"MC Don Juan, Tarcísio do Acordeon & DG e Batidão Stronda",16,1848617,-3.2%,https://www.youtube.com/watch?v=6lsOfEHb4C4
76,76,Coração Gelado 3,"MC Ryan SP, MC Letto, Mc IG, MC Joãozinho VT, DJ BOY, Mc Kako, MC Leozinho ZS & MC V7",17,1787540,1.1%,https://www.youtube.com/watch?v=2PkxaVyVLpE
77,,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny) (feat. MC Denny),DJ TK,8,1785508,,https://www.youtube.com/watch?v=5qHJ6bSyPKY
78,71,Idiota (Ao Vivo),Jão,13,1781243,-4.9%,https://www.youtube.com/watch?v=r2gppKSvBLE
79,86,Sentimentalmente Esperto (Ao Vivo),Henrique & Juliano,2,1770741,10.4%,https://www.youtube.com/watch?v=CbqAdDo2yCM
80,72,Unstoppable,Sia,11,1751779,-4%,https://www.youtube.com/watch?v=YaEG2aWJnZ8
81,79,Cruzeiro da Revoada,Hungria Hip-Hop & MC Ryan SP,18,1746077,0.1%,https://www.youtube.com/watch?v=kezf4Fo7B9M
82,75,Socadona (feat. Mr. Vegas),"Ludmilla, Mariah Angeliq  & Topo La Mascara",11,1743180,-2.4%,https://www.youtube.com/watch?v=15wVHmz_Aag
83,,Sitio do Tio Harry (feat. Chiocki),"Sid, NOG & André Nine",1,1739358,,https://www.youtube.com/watch?v=MczwQBm6c8E
84,84,Mustang Preto,Teto,17,1707760,5.7%,https://www.youtube.com/watch?v=iDJM3HTdjck
85,,Motel Afrodite (Live),Marília Mendonça & Maiara & Maraisa,21,1706775,,https://www.youtube.com/watch?v=qZxXZ2UpaBs
86,93,Quebradas,"MC Paulin da Capital, Mc Lipi , Dj GM & MC Cabelinho",19,1703704,11.9%,https://www.youtube.com/watch?v=ENHwrVK0wn8
87,80,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",6,1697248,-0.4%,https://www.youtube.com/watch?v=bvWRMAU6V-c
88,,Não Me Arranha (Ao Vivo),Gusttavo Lima,21,1696804,,https://www.youtube.com/watch?v=CGbvMQ7xDtE
89,,Nota de Repúdio (Ao Vivo),Gusttavo Lima,23,1692436,,https://www.youtube.com/watch?v=y1TtVi6qm98
90,74,NO CHÃO NOVINHA,Anitta & PEDRO SAMPAIO,18,1685502,-6.6%,https://www.youtube.com/watch?v=ls74YCwYB4k
91,89,Hoje Eu Vou Te Usar,Mari Fernandez & Felipe Amorim,7,1679829,7.9%,https://www.youtube.com/watch?v=_0bDIQgliHg
92,87,Easy On Me,Adele,18,1673573,5.8%,https://www.youtube.com/watch?v=X-yIEMduRXk
93,,Rave e Bagaceira,Anderson & Vei da Pisadinha & MARQUINHOS LIMA,1,1671209,,https://www.youtube.com/watch?v=8Mt5VSW6U-w
94,,Cheiro De Problema (Ao Vivo),Zé Neto e Henrique & Diego & Victor Hugo,1,1658516,,https://www.youtube.com/watch?v=ZkHSMYIRh0A
95,65,As It Was,Harry Styles,2,1643794,-20.2%,https://www.youtube.com/watch?v=H5v3kku4y6Q
96,,Aulas e Cursos,DNASTY,1,1640594,,https://www.youtube.com/watch?v=qa2-wpVZt2E
97,,Piui Tic Tac,Mc Rd,1,1639351,,https://www.youtube.com/watch?v=n1E4NnqUwhw
98,,Me Chama de Amor,Treyce & O Tubarão,1,1631855,,https://www.youtube.com/watch?v=J9AfRmtdqGs
99,91,Chá De Casa Nova (Ao Vivo),Henrique & Juliano,18,1627517,5.7%,https://www.youtube.com/watch?v=9Et53l5l-FE
100,,Eu Já Tava Bem (Ao Vivo),Wesley Safadão,14,1626707,,https://www.youtube.com/watch?v=XpNWBVtXFsI
