Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Nosso Quadro,Ana Castela,18,12937248,19.1%,https://www.youtube.com/watch?v=r9GrcxTGNWg
2,2,Erro Gostoso (Ao Vivo),Simone Mendes,19,11683637,26%,https://www.youtube.com/watch?v=mr09lDl_Tfk
3,20,Tá OK,DENNIS & MC Kevin o Chris,2,10237353,174.7%,https://www.youtube.com/watch?v=aHBW_Nd_z8k
4,3,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,13,9349772,18.2%,https://www.youtube.com/watch?v=bHT5GvYi6io
5,5,Oi Balde (Ao Vivo),Zé Neto & Cristiano,16,9061492,36.1%,https://www.youtube.com/watch?v=HK7bSTeQw6U
6,4,Cartão Black,MC Caverinha & KayBlack,4,6876653,-5.4%,https://www.youtube.com/watch?v=OZgQnRcGZXs
7,11,Pitbull Enraivado,Oh Polêmico,7,6615274,33.7%,https://www.youtube.com/watch?v=XzaJWAL2Ks4
8,8,Leão,Marília Mendonça,26,6481944,17.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM
9,9,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,12,6353493,18.5%,https://www.youtube.com/watch?v=eGpIwanODHw
10,15,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,25,6107665,35.3%,https://www.youtube.com/watch?v=sOgYk0iXNls
11,7,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,8,6060276,9.5%,https://www.youtube.com/watch?v=-UUe7g8-E0k
12,10,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,21,5991322,18.1%,https://www.youtube.com/watch?v=29WR7F4TDUI
13,6,Me Atraiu (Ao Vivo),Gabriela Rocha,18,5498661,-4%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
14,17,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,9,5261264,17.2%,https://www.youtube.com/watch?v=uvbKI8Bc9dA
15,12,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",5,5157038,7.7%,https://www.youtube.com/watch?v=CWDZF7aJmjE
16,19,MINHA CURA,MC Cabelinho,23,4604942,19.9%,https://www.youtube.com/watch?v=har3c93pJe0
17,24,085 (Ao Vivo),MC Rogerinho,15,4386395,31.3%,https://www.youtube.com/watch?v=LpHfPPqjUOk
18,23,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",3,4366490,28.3%,https://www.youtube.com/watch?v=4Qta7cMSXc4
19,41,Papin,MC Kevin o Chris & MC Caja,8,4309403,53.9%,https://www.youtube.com/watch?v=COhBkRmL2ZM
20,16,BEM MELHOR,"MC Cabelinho, Oruam & Palma",5,4261614,-5.6%,https://www.youtube.com/watch?v=kWvFoR-Wf-I
21,21,Não Para,"Belle Kaffer, Ana Castela & Charles New",14,4201185,15.2%,https://www.youtube.com/watch?v=NbOBWn43wGc
22,14,Conexões de Máfia (feat. Rich the Kid),Matuê,6,4153983,-9.3%,https://www.youtube.com/watch?v=rGHJ0mqean4
23,31,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",3,4132145,33.4%,https://www.youtube.com/watch?v=uGMQbSy_JTM
24,29,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,15,4065145,29.4%,https://www.youtube.com/watch?v=6RTg7ovfaLk
25,22,Coração de Gelo,WIU,27,3977706,10.7%,https://www.youtube.com/watch?v=p03BWB5SN4M
26,32,Lovezinho (Sexy Version) (Remix),Bella DJ,17,3923348,30.4%,https://www.youtube.com/watch?v=
27,18,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",10,3909839,-3%,https://www.youtube.com/watch?v=0lgAIjua6pA
28,13,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",31,3827973,-18.3%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
