Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,9,13800299,25.9%,https://www.youtube.com/watch?v=69JAoslGYI8
2,1,Bandido,Zé Felipe & Mc Mari,5,10725502,-4.9%,https://www.youtube.com/watch?v=YxGYumo6tpU
3,4,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",7,10505415,9.3%,https://www.youtube.com/watch?v=NbB6qMA2lts
4,3,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,16,9634549,-0.8%,https://www.youtube.com/watch?v=rTJSWmgbVwA
5,6,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,13,8674184,0.6%,https://www.youtube.com/watch?v=psdZRggL7cI
6,5,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,5,8281391,-13.1%,https://www.youtube.com/watch?v=4zhowmwBCuw
7,10,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,2,7931754,20.4%,https://www.youtube.com/watch?v=hOGuaMazCz8
8,89,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,2,7870194,339.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w
9,7,Balanço Da Rede (Ao Vivo),Matheus Fernandes,19,6486915,-16%,https://www.youtube.com/watch?v=vAM1xXdRnH0
10,8,Tchuco Nela,MC Rogerinho & Wesley Safadão,14,6269365,-14.7%,https://www.youtube.com/watch?v=dEjA3uw5s3I
11,11,Intuição (Ao Vivo),Mari Fernandez,11,6206593,-1.9%,https://www.youtube.com/watch?v=rfkXgby-xn0
12,14,X1,MC Cabelinho & Dallass,17,5967295,7.3%,https://www.youtube.com/watch?v=zgdQsLH7sDw
13,12,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",17,5943524,-5.3%,https://www.youtube.com/watch?v=b7A98jz4uUA
14,,CACHORRINHAS,Luísa Sonza,1,5393253,,https://www.youtube.com/watch?v=__ur8Ykcivw
15,25,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",3,5160998,18.8%,https://www.youtube.com/watch?v=8NjXVsLHIg8
16,16,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",21,5012483,-1%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
17,13,Tu Tava Na Revoada,Wesley Safadão,9,4928100,-16.9%,https://www.youtube.com/watch?v=GmlBAosY3V0
18,21,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",14,4836801,8.2%,https://www.youtube.com/watch?v=L2_xh-r10OI
19,15,A Maior Saudade (Ao Vivo),Henrique & Juliano,46,4833374,-8.1%,https://www.youtube.com/watch?v=6EGg0_l-edc
20,18,Bloqueado (Ao Vivo),Gusttavo Lima,34,4617471,-2.4%,https://www.youtube.com/watch?v=14C28JSO-sg
21,83,Incendeia,MC Kevin o Chris,2,4544180,145.3%,https://www.youtube.com/watch?v=fFeQDbY741I
22,19,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,27,4446618,-2%,https://www.youtube.com/watch?v=kyfXEMqvLgU
23,20,Malvada,Zé Felipe,25,4395970,-2.9%,https://www.youtube.com/watch?v=r0mNwyywHIY
