Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",3,11319811,29.6%,https://www.youtube.com/watch?v=5fI3cK7iDeg
2,4,Felina,WIU & MC Ryan SP,11,8906839,10.8%,https://www.youtube.com/watch?v=wFBp_PHXrf4
3,3,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",6,8187339,-3.2%,https://www.youtube.com/watch?v=24lfgigKHqQ
4,5,Evoque Prata (Sped Up),Lali DJ,5,8080145,7.2%,https://www.youtube.com/watch?v=B4dmw3CfYtY
5,2,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,11,8019082,-5.5%,https://www.youtube.com/watch?v=af8fdbaB8JY
6,6,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,5,7714368,11%,https://www.youtube.com/watch?v=t050lriI0_w
7,7,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,10,6619225,-2.9%,https://www.youtube.com/watch?v=rALK230exU0
8,9,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,9,6530370,2.6%,https://www.youtube.com/watch?v=uBc1wkTMywM
9,8,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,20,6388272,0.2%,https://www.youtube.com/watch?v=qjxNM9qF3LA
10,10,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,11,5503139,8.4%,https://www.youtube.com/watch?v=J3H--06Xw6g
11,13,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,22,4997669,11%,https://www.youtube.com/watch?v=WiNYFwIfg4w
12,11,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",23,4933204,-1.5%,https://www.youtube.com/watch?v=8NjXVsLHIg8
13,12,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,29,4557625,0%,https://www.youtube.com/watch?v=69JAoslGYI8
14,15,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,7,4549414,8.8%,https://www.youtube.com/watch?v=vdbhKBGbsVM
15,18,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,22,4422192,9.3%,https://www.youtube.com/watch?v=hOGuaMazCz8
16,16,X1,MC Cabelinho & Dallass,37,4309328,5.2%,https://www.youtube.com/watch?v=zgdQsLH7sDw
17,14,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,47,4300826,2%,https://www.youtube.com/watch?v=kyfXEMqvLgU
18,21,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",8,4259317,13.4%,https://www.youtube.com/watch?v=tBdx1b40rfU
19,19,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,33,4125569,4.1%,https://www.youtube.com/watch?v=psdZRggL7cI
20,17,Te Love (Ao Vivo),Kevi Jonny,14,3997213,-2.1%,https://www.youtube.com/watch?v=vBQbH4mA_z0
21,24,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,36,3831523,13.7%,https://www.youtube.com/watch?v=rTJSWmgbVwA
22,23,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,20,3657559,7%,https://www.youtube.com/watch?v=pPxs52_MVIU
23,22,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",12,3603076,-3.5%,https://www.youtube.com/watch?v=1CIIIv9dfzg
24,36,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",5,3444055,26.4%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
25,30,Seu Perfil (Ao Vivo),Henrique & Juliano,45,3436971,16.9%,https://www.youtube.com/watch?v=KvAagUxO3OY
26,27,Balmain (feat. Caio Passos),Mc Daniel,8,3415306,9.4%,https://www.youtube.com/watch?v=R3EAwjEn0vg
27,,Bloody Mary,Lady Gaga,1,3245780,,https://www.youtube.com/watch?v=L1p0clhjOlg
28,25,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,9,3220035,0.8%,https://www.youtube.com/watch?v=FQgZAj45ojY
29,29,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,20,3114871,2.4%,https://www.youtube.com/watch?v=MBg5g2g3okU
30,26,Waka Waka (This Time for Africa),Shakira,3,3096862,-2.6%,https://www.youtube.com/watch?v=pRpeEdMmmQ0
31,33,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",5,3047783,6.6%,https://www.youtube.com/watch?v=eI5FkVWz_dI
32,28,NÉ SEGREDO,MC Cabelinho,12,3035664,-1%,https://www.youtube.com/watch?v=GqLrlHHeww0
