Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",5,9020909,-18.1%,https://www.youtube.com/watch?v=69-jnA4QLSM
2,9,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,4,7882772,21.4%,https://www.youtube.com/watch?v=af8fdbaB8JY
3,8,Felina,WIU & MC Ryan SP,4,7714691,16.5%,https://www.youtube.com/watch?v=wFBp_PHXrf4
4,3,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",16,7103405,-13.3%,https://www.youtube.com/watch?v=8NjXVsLHIg8
5,7,Te Love (Ao Vivo),Kevi Jonny,7,6858650,2.1%,https://www.youtube.com/watch?v=vBQbH4mA_z0
6,2,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,15,6838050,-23.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w
7,4,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,13,6485578,-6.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA
8,5,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,22,6310827,-8.5%,https://www.youtube.com/watch?v=69JAoslGYI8
9,23,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,3,6196490,62.3%,https://www.youtube.com/watch?v=rALK230exU0
10,12,X1,MC Cabelinho & Dallass,30,5657460,0.9%,https://www.youtube.com/watch?v=zgdQsLH7sDw
11,10,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,29,5623901,-13.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA
12,6,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,15,5451822,-20.8%,https://www.youtube.com/watch?v=hOGuaMazCz8
13,16,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,26,5116750,1.2%,https://www.youtube.com/watch?v=psdZRggL7cI
14,11,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",7,4657452,-23.3%,https://www.youtube.com/watch?v=
15,17,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",17,4562202,-9.6%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
16,,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",1,4334991,,https://www.youtube.com/watch?v=tBdx1b40rfU
17,15,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,4,4326290,-17.9%,https://www.youtube.com/watch?v=J3H--06Xw6g
18,24,NÉ SEGREDO,MC Cabelinho,5,4297528,13.1%,https://www.youtube.com/watch?v=GqLrlHHeww0
19,22,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,2,4266884,9.3%,https://www.youtube.com/watch?v=FQgZAj45ojY
20,14,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,40,4156235,-22.1%,https://www.youtube.com/watch?v=kyfXEMqvLgU
