Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,9,8828085,4.3%,https://www.youtube.com/watch?v=af8fdbaB8JY
2,1,Felina,WIU & MC Ryan SP,9,8819403,-0.2%,https://www.youtube.com/watch?v=wFBp_PHXrf4
3,4,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",4,7942746,7.2%,https://www.youtube.com/watch?v=24lfgigKHqQ
4,,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",1,7907424,,https://www.youtube.com/watch?v=5fI3cK7iDeg
5,3,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,8,7248517,-11%,https://www.youtube.com/watch?v=rALK230exU0
6,16,Evoque Prata (Sped Up),Lali DJ,3,7058142,38.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY
7,14,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,3,6740306,30.8%,https://www.youtube.com/watch?v=t050lriI0_w
8,8,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,18,6629101,6.6%,https://www.youtube.com/watch?v=qjxNM9qF3LA
9,6,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,7,6376671,-6.9%,https://www.youtube.com/watch?v=uBc1wkTMywM
10,,"Revoada do Tubarão 3 (feat. MC Joãozinho VT, MD Chefe, Mc Davi, Mc IG, Mc Kevin, Mc Paiva ZS & POCAH)","MC Ryan SP, MC Hariel & MC Don Juan",1,6204402,,https://www.youtube.com/watch?v=DeVsfHet-uA
11,5,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,9,5800357,-18.5%,https://www.youtube.com/watch?v=J3H--06Xw6g
12,9,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",21,5723064,-7.9%,https://www.youtube.com/watch?v=8NjXVsLHIg8
13,11,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,27,5114180,-8.8%,https://www.youtube.com/watch?v=69JAoslGYI8
14,20,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",10,4640517,1.1%,https://www.youtube.com/watch?v=1CIIIv9dfzg
15,7,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,20,4581447,-30.8%,https://www.youtube.com/watch?v=WiNYFwIfg4w
16,17,Te Love (Ao Vivo),Kevi Jonny,12,4450990,-9.2%,https://www.youtube.com/watch?v=vBQbH4mA_z0
17,15,X1,MC Cabelinho & Dallass,35,4427869,-13.7%,https://www.youtube.com/watch?v=zgdQsLH7sDw
18,10,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,45,4322779,-27.3%,https://www.youtube.com/watch?v=kyfXEMqvLgU
19,12,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,20,4300331,-20.2%,https://www.youtube.com/watch?v=hOGuaMazCz8
20,18,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,5,4294172,-11.5%,https://www.youtube.com/watch?v=vdbhKBGbsVM
21,13,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,31,4259634,-17.5%,https://www.youtube.com/watch?v=psdZRggL7cI
22,24,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",6,3887913,-0.9%,https://www.youtube.com/watch?v=tBdx1b40rfU
23,22,NÉ SEGREDO,MC Cabelinho,10,3645330,-9.5%,https://www.youtube.com/watch?v=GqLrlHHeww0
24,19,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,18,3635983,-21.5%,https://www.youtube.com/watch?v=pPxs52_MVIU
25,23,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,34,3579836,-10.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA
26,,Waka Waka (This Time for Africa),Shakira,1,3256496,,https://www.youtube.com/watch?v=pRpeEdMmmQ0
27,28,Seu Perfil (Ao Vivo),Henrique & Juliano,43,3238633,-8.2%,https://www.youtube.com/watch?v=KvAagUxO3OY
28,91,Mundo Covarde,"Mc Poze do Rodo, Oruam & DJ Felipe Rosa",2,3226053,82.7%,https://www.youtube.com/watch?v=n2vr0aGhvTc
29,21,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",12,3196377,-21.4%,https://www.youtube.com/watch?v=
30,25,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,7,3149155,-16%,https://www.youtube.com/watch?v=FQgZAj45ojY
31,39,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,18,3082746,5.5%,https://www.youtube.com/watch?v=MBg5g2g3okU
32,48,Balmain (feat. Caio Passos),Mc Daniel,6,3056331,17%,https://www.youtube.com/watch?v=R3EAwjEn0vg
33,30,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",25,3052151,-10.3%,https://www.youtube.com/watch?v=NbB6qMA2lts
34,33,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",22,3042101,-8.9%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
35,37,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,9,2890560,-3.6%,https://www.youtube.com/watch?v=OjZNMnmUVT4
36,34,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",10,2880204,-12.3%,https://www.youtube.com/watch?v=69-jnA4QLSM
37,29,Gostosinha é Ela,Felipe Amorim,18,2859982,-18.1%,https://www.youtube.com/watch?v=zSRjeUpQUwI
38,45,Imprevisto,"Yago Oproprio, Rô Rosa & Skeeter Beats",4,2816472,2.6%,https://www.youtube.com/watch?v=EbVV9FDxM4c
39,31,Chá de Chifre,"Marcynho Sensação, Mc Mari & Wesley Safadão",15,2815670,-17%,https://www.youtube.com/watch?v=8x2QxMZIUH0
40,42,Intuição (Ao Vivo),Mari Fernandez,29,2733548,-4.4%,https://www.youtube.com/watch?v=rfkXgby-xn0
41,35,DEPOIS DO UNIVERSO,Giulia Be,3,2711967,-13.8%,https://www.youtube.com/watch?v=DwY36fs3c_E
42,26,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",17,2704340,-25.5%,https://www.youtube.com/watch?v=thfYx-W63ws
43,59,Vizão de Cria 2,"Caio Luccas, Dallass, Tz da Coronel, PJ HOUDINI, Thiago Anezzi, NADAMAL, MC Maneirinho & Filipe Ret",17,2652336,8.6%,https://www.youtube.com/watch?v=Sau1_hWFHJE
44,36,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",33,2610737,-13.4%,https://www.youtube.com/watch?v=b7A98jz4uUA
45,51,Horas Iguais,WIU & Oruam,8,2609031,3.4%,https://www.youtube.com/watch?v=hr_83ZXhmOI
46,,É Só Um Lance Lero Lero (feat. Mc Luiggi & Meno Saaint),"DJ Dozabri, DJ Arana & Silva Mc",1,2566905,,https://www.youtube.com/watch?v=vY2nYrhFRVo
47,47,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",12,2549882,-5.4%,https://www.youtube.com/watch?v=oc0wsia4b3E
48,41,Mal Sei Falar de Amor,Raffé & Mainstreet,7,2529600,-11.9%,https://www.youtube.com/watch?v=BJa8zgf0cdQ
49,,Balanço Da Rede (Ao Vivo),Matheus Fernandes,34,2520511,,https://www.youtube.com/watch?v=vAM1xXdRnH0
50,38,Unholy (Live),Kim Petras & Sam Smith,9,2512030,-16%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
51,62,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",3,2503114,5.6%,https://www.youtube.com/watch?v=eI5FkVWz_dI
52,76,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",3,2412499,17.3%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
53,,Tukoh Taka,"Nicki Minaj, Maluma & Myriam Fares",1,2361542,,https://www.youtube.com/watch?v=rb0bjyt1OD0
54,79,Volta Pro Teu Vaqueiro,DJ Ivis,3,2324651,15.5%,https://www.youtube.com/watch?v=cRD-WZOYTEQ
55,43,Te Amo Demais,Marília Mendonça,18,2220595,-22.1%,https://www.youtube.com/watch?v=P2qvD7LRBAo
56,57,Cheiro da Karolina,Luiz Poderoso Chefão,5,2203743,-10.4%,https://www.youtube.com/watch?v=9gbWg7EGFEc
57,70,Não Fosse Tão Tarde (Ao Vivo),Wesley Safadão & Lucas Aboiador,7,2193899,-0.3%,https://www.youtube.com/watch?v=s9Kdh7RAjIY
58,46,Evento Cancelado (Ao Vivo),Henrique & Juliano,16,2177298,-20.3%,https://www.youtube.com/watch?v=2cdF8Y3J1e4
59,56,Pra pra pra,Deavele Santos,6,2157448,-12.4%,https://www.youtube.com/watch?v=fvCyc6-eBgM
60,63,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,7,2115573,-10.2%,https://www.youtube.com/watch?v=d7NMHcIecCE
61,67,A Loira a Morena e a Ruiva,Josué Bom de Faixa,6,2071055,-9.4%,https://www.youtube.com/watch?v=EJRthCh9E-Y
62,83,A Caminho do Bega (feat. MC DOM LP),"DJ Patrick Muniz, MC DOM LP & Mc L3",3,2060718,8.3%,https://www.youtube.com/watch?v=szzboy0dXUw
63,54,"Panamera (feat. MC Joãozinho VT, DJ Koringa MPC & Dj GM)","Mc Kako, MC Tuto & Mc Kanhoto",5,2060250,-17.2%,https://www.youtube.com/watch?v=F00u9GZV_iQ
64,77,Under The Influence,Chris Brown,15,2053026,0.6%,https://www.youtube.com/watch?v=pfxyk1glEq4
65,58,"Let's Go 3 (feat. MC Ryan SP, MC Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","DJ GBR, Mc IG & MC Marks",4,2041807,-16.7%,https://www.youtube.com/watch?v=sj-pRriVRJI
66,80,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,16,2024118,2.4%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE
67,52,Pactos (Ao Vivo),Matheus & Kauan & Jorge & Mateus,5,2013270,-20%,https://www.youtube.com/watch?v=jPwCxjJqHGw
68,68,Tropa do Mais Novo,"Chefin, Vulgo FK, Mainstreet & Ajaxx",10,1989001,-12.7%,https://www.youtube.com/watch?v=Ww056PGMT8Y
69,73,Final do Ano,"MC Don Juan, Mc Paiva ZS & DJ Yuri Martins",2,1954858,-7.1%,https://www.youtube.com/watch?v=G6lmTPZ_WqM
70,53,Digo ou Não Digo (Ao Vivo),João Gomes & L7NNON,9,1943104,-22.1%,https://www.youtube.com/watch?v=Wv6xQMEC-Wo
71,74,50 Cópias,Zé Felipe,5,1913566,-7.6%,https://www.youtube.com/watch?v=VA1PMms8Vio
72,50,Vestido No Chão (Ao Vivo),Hugo & Guilherme,11,1898461,-26.2%,https://www.youtube.com/watch?v=fFNt_dC9NyU
73,61,Peças De Grife,"Menor MC, Dj Matt D & Oruam",9,1841885,-22.8%,https://www.youtube.com/watch?v=emCOBeMdK18
74,95,Cheiro da Karolina,Luiz Poderoso Chefão,5,1841290,5.9%,https://www.youtube.com/watch?v=9gbWg7EGFEc
75,75,Temporal,Hungria Hip-Hop,10,1834533,-11%,https://www.youtube.com/watch?v=bwGftC32wNw
76,66,Pelado,NATTAN,15,1832492,-20%,https://www.youtube.com/watch?v=3EtO6VToULk
77,64,Cão Sem Dono,Mari Fernandez,8,1819619,-22.4%,https://www.youtube.com/watch?v=n-YI6SpWZyE
78,,Agora é Pra Valer (Ao Vivo),Wesley Safadão,1,1815111,,https://www.youtube.com/watch?v=ux6JORaW7PA
79,71,Psiquiatra (Ao Vivo),Wesley Safadão,4,1802522,-15.7%,https://www.youtube.com/watch?v=b44hkn9cybI
80,,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",22,1795183,,https://www.youtube.com/watch?v=273pasBKH18
81,49,Mina Sensação,Deavele Santos & Juventude Forrozeira,18,1793983,-30.4%,https://www.youtube.com/watch?v=BedRL-vSSoE
82,78,Hino dos Mlks (feat. Mainstreet),"BIN, Orochi & Caio Passos",5,1717792,-15%,https://www.youtube.com/watch?v=Y69kiJ3fRr8
83,93,Reverse,HITMAKER & Ana Castela,6,1706146,-2.4%,https://www.youtube.com/watch?v=Y3lnyy515tc
84,88,Good Vibe,Filipe Ret & Caio Luccas,18,1695368,-5.7%,https://www.youtube.com/watch?v=E4J0bFa4d0U
85,86,Beijo de Glicose (Ao Vivo),Diego & Victor Hugo & Jorge & Mateus,5,1672020,-9.1%,https://www.youtube.com/watch?v=M4gwPKau-ag
86,85,Cigana (Ao Vivo) (feat. Delacruz),Ludmilla,13,1656804,-11.2%,https://www.youtube.com/watch?v=lZ_kegYXFWU
87,84,Vento Forte,MC Jacaré & DJ TK,19,1617816,-14.6%,https://www.youtube.com/watch?v=e6yUmOtchLE
88,,Toma Tapa,MC Jacaré,1,1616046,,https://www.youtube.com/watch?v=vqHHUeEyEyU
89,81,Boca de Mel,MC Jacaré,10,1587619,-18.9%,https://www.youtube.com/watch?v=EaWSOxIBhS4
90,,Bondade de Deus (Ao Vivo),Isaías Saad,13,1580103,,https://www.youtube.com/watch?v=mZ9yZYo9Mmk
91,,Perfeito Pra Ficar Sozinho (Ao Vivo),Murilo Huff & Maiara & Maraisa,15,1529150,,https://www.youtube.com/watch?v=IOuLc9ZhLuQ
92,99,Não Fosse Tão Tarde,Lou Garcia,16,1516782,-11.5%,https://www.youtube.com/watch?v=jd00enZSNFc
93,,Until I Found You,Stephen Sanchez,4,1461211,,https://www.youtube.com/watch?v=GxldQ9eX2wo
94,96,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",19,1451036,-16.5%,https://www.youtube.com/watch?v=_BfZRdFFdE8
95,100,Se Não Tivesse Ido / Frio da Madrugada / Mensagem Pra Ela (Ao Vivo),"Hugo & Guilherme, Fred e Fabrício & Murilo Huff",9,1448510,-13%,https://www.youtube.com/watch?v=fyEW5nT98_g
96,27,Pesadão,"Mc Poze do Rodo, MC Cabelinho, Ajaxx & DJ Nemo NTR",2,1441928,-60.1%,https://www.youtube.com/watch?v=rnhrtIfi-HU
97,,Eu Tenho a Senha (Ao Vivo),João Gomes,8,1431560,,https://www.youtube.com/watch?v=deVm70yarNw
98,,Meu desapego (Ao Vivo),Ludmilla,2,1421380,,https://www.youtube.com/watch?v=hAw6QFzXjOU
99,,Basiquinho (Ao Vivo),Matheus & Kauan,3,1398849,,https://www.youtube.com/watch?v=p1OSg868sAY
100,69,Cara da Derrota,Gusttavo Lima,2,1381327,-38.7%,https://www.youtube.com/watch?v=Nosy-f5WOBk
