Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Leão,Marília Mendonça,8,20316951,4.3%,https://www.youtube.com/watch?v=tI55Zu9uZEM
2,2,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",11,10450180,-5.4%,https://www.youtube.com/watch?v=5fI3cK7iDeg
3,3,Luz do Luar,Mc Tato & Dj ak beats,8,9123210,2.3%,https://www.youtube.com/watch?v=P5AnIr0_6tw
4,7,Coração de Gelo,WIU,9,8386704,17%,https://www.youtube.com/watch?v=p03BWB5SN4M
5,5,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,17,7375241,-0.8%,https://www.youtube.com/watch?v=uBc1wkTMywM
6,6,Felina,WIU & MC Ryan SP,19,7137836,-2.7%,https://www.youtube.com/watch?v=wFBp_PHXrf4
7,,Zona De Perigo,Léo Santana,1,6778821,,https://www.youtube.com/watch?v=0cnUcoXllMM
8,14,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,7,6597415,19.7%,https://www.youtube.com/watch?v=vsAPYtF50VI
9,4,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",14,6532466,-15%,https://www.youtube.com/watch?v=24lfgigKHqQ
10,9,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",5,6326497,-4.2%,https://www.youtube.com/watch?v=Z8HNDfY3ba4
11,8,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,13,6217544,-10.4%,https://www.youtube.com/watch?v=t050lriI0_w
12,17,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",13,5439944,6.2%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
13,11,Lá Ele,Tierry & Manoel Gomes,4,5273832,-10.6%,https://www.youtube.com/watch?v=_KaA8W_Hov8
14,20,Namora Aí,MC Ryan SP & Mc Daniel,8,5048230,10.2%,https://www.youtube.com/watch?v=4HQect5dM-g
15,13,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,28,5029719,-9.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA
16,22,Coladin (Minha Deusa),Zé Vaqueiro,9,4891181,9.6%,https://www.youtube.com/watch?v=eihpkV7KSKo
17,24,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,7,4762213,13%,https://www.youtube.com/watch?v=sOgYk0iXNls
18,12,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",8,4727241,-15.4%,https://www.youtube.com/watch?v=I1eZ6SilA74
19,29,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,3,4691820,24.2%,https://www.youtube.com/watch?v=29WR7F4TDUI
20,16,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,15,4670842,-9.7%,https://www.youtube.com/watch?v=vdbhKBGbsVM
21,15,Evoque Prata (Sped Up),Lali DJ,13,4627130,-10.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY
22,10,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,19,4597539,-25%,https://www.youtube.com/watch?v=af8fdbaB8JY
23,23,Cheiro da Karolina,Luiz Poderoso Chefão,15,4266122,-4.4%,https://www.youtube.com/watch?v=9gbWg7EGFEc
24,21,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,19,4185510,-6.5%,https://www.youtube.com/watch?v=J3H--06Xw6g
25,25,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,37,4053305,-2.1%,https://www.youtube.com/watch?v=69JAoslGYI8
26,19,Flowers,Miley Cyrus,3,3962022,-14.7%,https://www.youtube.com/watch?v=G7KNmW9a75Y
27,27,X1,MC Cabelinho & Dallass,45,3891560,-2.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw
28,26,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",19,3805327,-6.5%,https://www.youtube.com/watch?v=69-jnA4QLSM
29,42,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,4,3773031,20.3%,https://www.youtube.com/watch?v=6kiJt7WTTM4
30,,Erro Gostoso (Ao Vivo),Simone Mendes,1,3746984,,https://www.youtube.com/watch?v=mr09lDl_Tfk
31,,Flow Espacial,"Teto, WIU & Matuê",1,3724405,,https://www.youtube.com/watch?v=VBJvDgBZEi4
32,54,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,4,3655031,43%,https://www.youtube.com/watch?v=_xl7YEj7IBM
33,30,Horas Iguais,WIU & Oruam,18,3540312,-0.4%,https://www.youtube.com/watch?v=hr_83ZXhmOI
34,28,Papo de Agustinho,Oruam & Mainstreet,17,3518774,-11.1%,https://www.youtube.com/watch?v=ysn8Ifdfry4
35,38,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello",7,3420592,4.8%,https://www.youtube.com/watch?v=Kh9fYUUMK9U
36,46,MINHA CURA,MC Cabelinho,5,3399482,16.8%,https://www.youtube.com/watch?v=har3c93pJe0
37,31,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",20,3275496,-5.4%,https://www.youtube.com/watch?v=1CIIIv9dfzg
38,18,Tô Livre,Kamylinha santos,2,3269945,-32.8%,https://www.youtube.com/watch?v=5ciGH5POULk
39,33,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,44,3207630,-5.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA
40,35,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,30,3168521,-5.7%,https://www.youtube.com/watch?v=WiNYFwIfg4w
41,75,Bandido Não Dança (feat. Love Funk),"Mc Paiva ZS, Gabb MC & DJ ALADIN GDB",2,3147461,73.9%,https://www.youtube.com/watch?v=UR7APKgOprI
42,36,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",31,3117608,-6.7%,https://www.youtube.com/watch?v=8NjXVsLHIg8
43,32,MAMA.CITA (hasta la vista),Luísa Sonza & Xamã,6,3108964,-9.2%,https://www.youtube.com/watch?v=RuXFXp4zQlM
44,40,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",13,3092810,-5%,https://www.youtube.com/watch?v=eI5FkVWz_dI
45,41,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,30,3016828,-7.2%,https://www.youtube.com/watch?v=hOGuaMazCz8
46,45,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,28,2998727,2.5%,https://www.youtube.com/watch?v=MBg5g2g3okU
47,34,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,19,2998317,-11.3%,https://www.youtube.com/watch?v=OjZNMnmUVT4
48,,Saudade da Minha Vida (Ao Vivo),Gusttavo Lima,1,2954831,,https://www.youtube.com/watch?v=Jm5MCIVwjas
49,39,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,28,2946813,-9.6%,https://www.youtube.com/watch?v=pPxs52_MVIU
50,55,Casa da Árvore (Remix),"Mano dembele, Tinho do Coque, thallyson MC, Milly Explosão, MC CH da Z.O & Salah do Nordeste, seja cria, MC PR & Mc pequeno diamante",3,2737057,7.2%,https://www.youtube.com/watch?v=Cr7N6s7bhl4
51,58,5 Regras,Jorge & Mateus,6,2711808,15%,https://www.youtube.com/watch?v=VFWKrXxJEdM
52,43,Diga pra Mim,Evoney Fernandes,5,2647429,-12.8%,https://www.youtube.com/watch?v=bRgDFUt7Eqk
53,57,Tropa do Mais Novo,"Chefin, Vulgo FK, Mainstreet & Ajaxx",19,2566584,8.7%,https://www.youtube.com/watch?v=Ww056PGMT8Y
54,,Favela Vive 5 (feat. MC Marechal & Leci Brandao),"ADL, Major RD & MC Hariel",1,2511613,,https://www.youtube.com/watch?v=R_4Clufmtq8
55,47,Ai Papai,"Anitta, MC Danny & HITMAKER",8,2472484,-11.2%,https://www.youtube.com/watch?v=4fzFfiW3RPM
56,61,DONA DE MIM,Ana Castela,6,2460835,9.6%,https://www.youtube.com/watch?v=rUW7ev79fTA
57,50,Pactos (Ao Vivo),Matheus & Kauan & Jorge & Mateus,15,2301663,-14%,https://www.youtube.com/watch?v=jPwCxjJqHGw
58,56,Toma Tapa,MC Jacaré,11,2261644,-10.9%,https://www.youtube.com/watch?v=vqHHUeEyEyU
59,52,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,17,2234154,-13.9%,https://www.youtube.com/watch?v=FQgZAj45ojY
60,49,SHAKIRA,Shakira & Bizarrap,3,2197239,-19.6%,https://www.youtube.com/watch?v=CocEMWdc7Ck
61,51,Calm Down,Rema & Selena Gomez,9,2162364,-16.8%,https://www.youtube.com/watch?v=WcIcVapfqXw
62,59,Balmain (feat. Caio Passos),Mc Daniel,16,2157820,-7.9%,https://www.youtube.com/watch?v=R3EAwjEn0vg
63,66,Vida Chique (feat. Kaash Paige),Veigh & Supernova Ent,4,2100630,7.4%,https://www.youtube.com/watch?v=HzVS22rEwzU
64,,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",21,2095094,,https://www.youtube.com/watch?v=
65,60,Maciçado,Mc Kako,7,2083788,-7.5%,https://www.youtube.com/watch?v=Em4BVubFQLc
66,65,Média Boa (Ao Vivo),Felipe e Rodrigo,8,2034815,-0.4%,https://www.youtube.com/watch?v=tZMIKfHMnkU
67,68,"Bota na Pipokinha (feat. DJ FELYPINHO 013, DJ Pablo RB & Noguera DJ)",MC Pipokinha,4,2020493,5.4%,https://www.youtube.com/watch?v=vSkW7eHyjFk
68,74,PLAYGROUND,Vivi,5,2008873,9.9%,https://www.youtube.com/watch?v=bPf3vNB944o
69,,Eu Minto (Ao Vivo),US Agroboy & Ana Castela,1,1999978,,https://www.youtube.com/watch?v=E7d9hda5Cws
70,64,NÉ SEGREDO,MC Cabelinho,20,1995514,-3.2%,https://www.youtube.com/watch?v=GqLrlHHeww0
71,76,Conduta (Ao Vivo),NATTAN & Mari Fernandez,7,1984826,10.6%,https://www.youtube.com/watch?v=_j02gnLHdNo
72,62,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",16,1938519,-11%,https://www.youtube.com/watch?v=tBdx1b40rfU
73,63,Bloody Mary,Lady Gaga,7,1937820,-6.8%,https://www.youtube.com/watch?v=VFwmKL5OL-Q
74,73,Perdoa Por Tudo Vida,"Veigh, Toledo, Supernova Ent & Bvga Beatz",3,1918008,3.6%,https://www.youtube.com/watch?v=za1IIm-yLbg
75,71,Onlyfans (feat. MC Fahah),"Dj Lg do Sf, DJ Ws da Igrejinha & MC Saci",4,1900246,1.7%,https://www.youtube.com/watch?v=50f7RJX_naM
76,72,"Let's Go 3 (feat. MC Ryan SP, MC Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","DJ GBR, Mc IG & MC Marks",14,1832696,-1.2%,https://www.youtube.com/watch?v=sj-pRriVRJI
77,70,"Panamera (feat. MC Joãozinho VT, DJ Koringa MPC & Dj GM)","Mc Kako, MC Tuto & Mc Kanhoto",15,1786035,-4.7%,https://www.youtube.com/watch?v=F00u9GZV_iQ
78,78,Beijo de Glicose (Ao Vivo),Diego & Victor Hugo & Jorge & Mateus,15,1784555,3.1%,https://www.youtube.com/watch?v=M4gwPKau-ag
79,67,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,17,1765395,-9.6%,https://www.youtube.com/watch?v=d7NMHcIecCE
80,,Boy da Hilux,Yury Pressão & Iguinho & Lulinha,1,1757317,,https://www.youtube.com/watch?v=vyxyJIYTabw
81,88,Não Me Esqueço,Mc Tato & Dj Chaves,2,1745759,10.1%,https://www.youtube.com/watch?v=qYJmwH26jvA
82,80,Mal Sei Falar de Amor,Raffé & Mainstreet,17,1673450,-2.8%,https://www.youtube.com/watch?v=BJa8zgf0cdQ
83,91,Sem Coração,Mc Kako & DJ JR No Beat,3,1658831,9.9%,https://www.youtube.com/watch?v=_13nyyGnnuQ
84,85,Uma Coisa Nova (Ao Vivo),Maria Marçal,4,1642371,1.8%,https://www.youtube.com/watch?v=OgH8-5OAQzg
85,87,NOSSA MÚSICA,MC Cabelinho & Gloria Groove,3,1637018,2.9%,https://www.youtube.com/watch?v=iBmrml_5JFk
86,89,VALHO NADA,"MC Cabelinho, Vinicin, Amorim, A.R, Palma, Felipe Rosa, Brutos & Bairro 13",9,1615559,2.4%,https://www.youtube.com/watch?v=5t0J5Yt4eI0
87,82,Vaqueira,Eric Land & Iguinho e Lulinha,9,1614647,-5.5%,https://www.youtube.com/watch?v=H-Zggz8dKWA
88,,Intuição (Ao Vivo),Mari Fernandez,30,1601066,,https://www.youtube.com/watch?v=rfkXgby-xn0
89,83,Unholy (Live),Kim Petras & Sam Smith,19,1598148,-5%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
90,84,Quando Tem Sentimento (Ao Vivo),Mari Fernandez,6,1586900,-2.4%,https://www.youtube.com/watch?v=VZ2eUOIgfcs
91,77,Camisa de Time (Desce Só de Label),"Kotim, Love Funk & Mc Paiva ZS",6,1583955,-9%,https://www.youtube.com/watch?v=nHkiC85WsvE
92,81,Perdoou Nada (Ao Vivo),Israel & Rodolffo & Jorge & Mateus,4,1573543,-7.9%,https://www.youtube.com/watch?v=xEd4vHYLDko
93,86,Vendedora de Amor,Evoney Fernandes,5,1556335,-3.3%,https://www.youtube.com/watch?v=rVnBsSQYfJI
94,,"Gucci, Prada","Oruam, Borges & Chefin",1,1506485,,https://www.youtube.com/watch?v=6iAb5K0bDTw
95,92,X6,MC Hariel,3,1493632,1.8%,https://www.youtube.com/watch?v=vjfB87h1_Ik
96,79,Fotos (Ao Vivo),Léo Chaves,4,1482143,-14.1%,https://www.youtube.com/watch?v=c7ceSQ3PZ2E
97,,Ponto Final,Luiza Martins & Murilo Huff,1,1428781,,https://www.youtube.com/watch?v=o6S3zsQUO_U
98,90,Temporal,Hungria Hip-Hop,20,1415963,-9.8%,https://www.youtube.com/watch?v=bwGftC32wNw
99,,SOLTEIROU (Ao Vivo),Luan Santana,1,1408502,,https://www.youtube.com/watch?v=GnoTgMEckDs
100,94,Let It Go,Idina Menzel,9,1393080,-3.1%,https://www.youtube.com/watch?v=L0MK7qz13bU
