Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Malvada,Zé Felipe,3,17507479,-17.4%,https://www.youtube.com/watch?v=r0mNwyywHIY
2,2,Malvadão 3,Xamã,9,13836186,-18.9%,https://www.youtube.com/watch?v=i9NOkjmBszo
3,4,Vontade De Morder,Simone & Simaria & Zé Felipe,5,11742032,4.4%,https://www.youtube.com/watch?v=bgf18kANm_k
4,3,Depende,Dj Guuga,9,11520995,-3.3%,https://www.youtube.com/watch?v=v9geHIUOxeA
5,11,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,31,10590067,46.1%,https://www.youtube.com/watch?v=jW7j41mbxXU
6,18,Botadinha Saliente,MC Rogerinho,2,10087521,98.6%,https://www.youtube.com/watch?v=kyjtx28z-bE
7,7,Bloqueado (Ao Vivo),Gusttavo Lima,12,9212133,-2.7%,https://www.youtube.com/watch?v=14C28JSO-sg
8,9,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",17,9042184,4.7%,https://www.youtube.com/watch?v=TNIbXs_iNq8
9,5,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,5,8232988,-14.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU
10,6,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,14,8045259,-15.7%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
11,8,212,Chefin & Mainstreet,5,7597049,-19.7%,https://www.youtube.com/watch?v=290Q1JFInHE
12,10,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,12,7055805,-5.8%,https://www.youtube.com/watch?v=6MNxuMgg58k
13,14,Cabeça Branca (Live),Tierry,20,6810275,11.6%,https://www.youtube.com/watch?v=J_jJhHhYW9w
14,12,Parada Louca,Mari Fernandez & Marcynho Sensação,14,6475396,-7.9%,https://www.youtube.com/watch?v=SvWQZfEWA0s
15,13,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,16,6098489,-10.2%,https://www.youtube.com/watch?v=r2ma8WPRppk
16,15,Presepada,Marília Mendonça & Maiara & Maraisa,16,5851388,0.4%,https://www.youtube.com/watch?v=MQv__TADEGM
17,,VERMELHO,Gloria Groove,1,5396546,,https://www.youtube.com/watch?v=p4aPlYN6x1Q
18,16,GALOPA,PEDRO SAMPAIO,20,5188229,-9.3%,https://www.youtube.com/watch?v=mo1NcPxKfQU
19,17,INVEJOSO,"Distrito 23, Raffé & Chefin",14,5118178,-10.5%,https://www.youtube.com/watch?v=79KWwlhbOD8
20,35,A Maior Saudade (Ao Vivo),Henrique & Juliano,24,5087537,41.9%,https://www.youtube.com/watch?v=6EGg0_l-edc
21,84,Iphone Branco,Borges & Mainstreet,2,4932397,175.1%,https://www.youtube.com/watch?v=xv8NrFQqKJ8
22,,Cena de Amor,Brisa Star & Zé Vaqueiro,27,4801267,,https://www.youtube.com/watch?v=UI_VjxVrzHY
23,53,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,2,4779193,56.9%,https://www.youtube.com/watch?v=CJdhWgebwqA
24,19,Idiota (Ao Vivo),Jão,5,4673526,1.2%,https://www.youtube.com/watch?v=r2gppKSvBLE
25,24,Proteção de Tela (Live),Tarcísio do Acordeon,33,4559415,10.3%,https://www.youtube.com/watch?v=edjih_b_NBQ
26,,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",1,4526794,,https://www.youtube.com/watch?v=ulY5kBy2exo
27,49,Arranhão (Ao Vivo),Henrique & Juliano,28,4503976,46.1%,https://www.youtube.com/watch?v=2_xBCeBmaS8
