Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Malvada,Zé Felipe,6,14849090,-13.3%,https://www.youtube.com/watch?v=r0mNwyywHIY
2,3,Malvadão 3,Xamã,12,10832441,-16.3%,https://www.youtube.com/watch?v=i9NOkjmBszo
3,12,Bloqueado (Ao Vivo),Gusttavo Lima,15,10229426,19.2%,https://www.youtube.com/watch?v=14C28JSO-sg
4,7,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,5,10053145,-6.3%,https://www.youtube.com/watch?v=I_gwjhvXxzM
5,4,Depende,Dj Guuga,12,9930198,-19.7%,https://www.youtube.com/watch?v=v9geHIUOxeA
6,2,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,34,9729329,-33.5%,https://www.youtube.com/watch?v=jW7j41mbxXU
7,8,Vontade De Morder,Simone & Simaria & Zé Felipe,8,8370901,-18.4%,https://www.youtube.com/watch?v=bgf18kANm_k
8,10,Deus É o Meu Guia,Chefin Oficial,2,8333709,-8.7%,https://www.youtube.com/watch?v=WrZ6fKelwOU
9,6,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,8,8132496,-26.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU
10,9,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",20,7877290,-14.5%,https://www.youtube.com/watch?v=TNIbXs_iNq8
11,5,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,17,7557187,-37.9%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
12,14,Parada Louca,Mari Fernandez & Marcynho Sensação,17,6795070,-19.4%,https://www.youtube.com/watch?v=SvWQZfEWA0s
13,11,Botadinha Saliente,MC Rogerinho,5,6650452,-26.3%,https://www.youtube.com/watch?v=kyjtx28z-bE
14,,50 por Cento,Naiara Azevedo & Marília Mendonça,1,6137343,,https://www.youtube.com/watch?v=zhaTkKdovgM
15,17,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,15,5772812,-15%,https://www.youtube.com/watch?v=6MNxuMgg58k
16,13,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",3,5662126,-33.5%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
17,23,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,19,5566431,2.4%,https://www.youtube.com/watch?v=r2ma8WPRppk
18,21,GALOPA,PEDRO SAMPAIO,23,5423269,-10.2%,https://www.youtube.com/watch?v=mo1NcPxKfQU
19,16,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",4,5395528,-23.5%,https://www.youtube.com/watch?v=ulY5kBy2exo
20,19,212,Chefin & Mainstreet,8,5385597,-18.3%,https://www.youtube.com/watch?v=290Q1JFInHE
21,18,Presepada,Marília Mendonça & Maiara & Maraisa,19,5254544,-21.9%,https://www.youtube.com/watch?v=MQv__TADEGM
22,15,A Maior Saudade (Ao Vivo),Henrique & Juliano,27,4849483,-32.3%,https://www.youtube.com/watch?v=6EGg0_l-edc
23,30,VERMELHO,Gloria Groove,4,4744635,5.5%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
24,24,Molhando O Volante (Live),Jorge & Mateus,13,4743389,-6.4%,https://www.youtube.com/watch?v=_SjTFD9qVuE
25,22,Cabeça Branca (Live),Tierry,23,4449848,-23.3%,https://www.youtube.com/watch?v=J_jJhHhYW9w
26,26,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,14,4261556,-9.8%,https://www.youtube.com/watch?v=BKDz5kNjkfU
