Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",8,11103100,-13.5%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
2,8,No Ouvidinho,Felipe Amorim,4,10270462,17%,https://www.youtube.com/watch?v=eYuI4krrKBM
3,5,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",3,9889866,5.2%,https://www.youtube.com/watch?v=273pasBKH18
4,3,Balanço Da Rede (Ao Vivo),Matheus Fernandes,6,9670115,0%,https://www.youtube.com/watch?v=vAM1xXdRnH0
5,4,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,3,8635986,-8.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA
6,2,Malvada,Zé Felipe,12,8607050,-12.4%,https://www.youtube.com/watch?v=r0mNwyywHIY
7,6,Vampiro,"Matuê, Wiu & Teto",3,7992891,-11.6%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
8,9,Fim de Semana no Rio,Teto,4,7678974,-7.2%,https://www.youtube.com/watch?v=7AlAYttGnAg
9,10,Bloqueado (Ao Vivo),Gusttavo Lima,21,7333385,-5.1%,https://www.youtube.com/watch?v=14C28JSO-sg
10,11,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,40,7131476,-4.5%,https://www.youtube.com/watch?v=jW7j41mbxXU
11,18,A Maior Saudade (Ao Vivo),Henrique & Juliano,33,6858196,30.6%,https://www.youtube.com/watch?v=6EGg0_l-edc
12,,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,1,6733099,,https://www.youtube.com/watch?v=apPxQOfh0ek
13,13,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,14,6477567,0.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU
14,12,Malvadão 3,Xamã,18,6147052,-7.2%,https://www.youtube.com/watch?v=i9NOkjmBszo
15,14,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,11,5897219,-7.4%,https://www.youtube.com/watch?v=I_gwjhvXxzM
16,16,Vontade De Morder,Simone & Simaria & Zé Felipe,14,5706287,-3%,https://www.youtube.com/watch?v=bgf18kANm_k
17,7,Botadinha Saliente,MC Rogerinho,11,5571253,-38.3%,https://www.youtube.com/watch?v=kyjtx28z-bE
18,17,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",26,5252996,-2.3%,https://www.youtube.com/watch?v=TNIbXs_iNq8
19,34,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,2,5144235,42.8%,https://www.youtube.com/watch?v=76DWwRaztPQ
20,15,Envolver,Anitta,13,5069618,-15.4%,https://www.youtube.com/watch?v=hFCjGiawJi4
21,22,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,20,4862146,2.7%,https://www.youtube.com/watch?v=BKDz5kNjkfU
22,19,Depende,Dj Guuga,18,4833468,-6.3%,https://www.youtube.com/watch?v=v9geHIUOxeA
23,29,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",4,4674057,14%,https://www.youtube.com/watch?v=b7A98jz4uUA
24,24,Parada Louca,Mari Fernandez & Marcynho Sensação,23,4345051,-1.6%,https://www.youtube.com/watch?v=SvWQZfEWA0s
25,25,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,23,4227946,-3.7%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
26,26,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,25,4223888,-1.4%,https://www.youtube.com/watch?v=r2ma8WPRppk
27,20,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",3,4180199,-15.5%,https://www.youtube.com/watch?v=n43oZSY7df0
28,30,GALOPA,PEDRO SAMPAIO,29,4177205,4.1%,https://www.youtube.com/watch?v=mo1NcPxKfQU
29,21,Deus É o Meu Guia,Chefin Oficial,8,4171596,-14.9%,https://www.youtube.com/watch?v=WrZ6fKelwOU
30,23,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,21,4119663,-9.8%,https://www.youtube.com/watch?v=6MNxuMgg58k
31,27,Simplesmente Ela,Mc Gabzin,5,4095215,-3.2%,https://www.youtube.com/watch?v=K6iRoT8u2xU
32,32,Seu Perfil (Ao Vivo),Henrique & Juliano,12,3832718,0.5%,https://www.youtube.com/watch?v=KvAagUxO3OY
33,43,ABALO EMOCIONAL (Ao Vivo),Luan Santana,11,3750507,16.1%,https://www.youtube.com/watch?v=cPGKKktrObc
34,36,Molhando O Volante (Live),Jorge & Mateus,19,3529850,2%,https://www.youtube.com/watch?v=_SjTFD9qVuE
35,39,Cabeça Branca (Live),Tierry,29,3483448,5.1%,https://www.youtube.com/watch?v=J_jJhHhYW9w
36,31,F* F* M*,Filipe Ret,24,3429498,-12.7%,https://www.youtube.com/watch?v=0hV9qYJ3IHQ
37,37,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",47,3411351,-1%,https://www.youtube.com/watch?v=2PRAiVs3MVc
38,28,Insônia 2,"Tribo da Periferia, Hungria Hip-Hop & MC Ryan SP",3,3263612,-20.7%,https://www.youtube.com/watch?v=ra6vuF47hB0
39,46,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",2,3214886,4.3%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
40,40,Presepada,Marília Mendonça & Maiara & Maraisa,25,3206770,-3.2%,https://www.youtube.com/watch?v=MQv__TADEGM
