Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Zona De Perigo,Léo Santana,3,28987018,22.7%,https://www.youtube.com/watch?v=0cnUcoXllMM
2,2,Leão,Marília Mendonça,10,18971792,-1.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM
3,5,Coração de Gelo,WIU,11,9094462,3.5%,https://www.youtube.com/watch?v=p03BWB5SN4M
4,3,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",13,8966148,-12.5%,https://www.youtube.com/watch?v=5fI3cK7iDeg
5,4,Facilita Aí,Zé Felipe,2,8443653,-16.5%,https://www.youtube.com/watch?v=u8PI0ASpG4U
6,6,Luz do Luar,Mc Tato & Dj ak beats,10,8328469,-0.8%,https://www.youtube.com/watch?v=P5AnIr0_6tw
7,8,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,19,7149192,1.8%,https://www.youtube.com/watch?v=uBc1wkTMywM
8,9,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,9,6648205,3%,https://www.youtube.com/watch?v=vsAPYtF50VI
9,7,Felina,WIU & MC Ryan SP,21,6604453,-9.3%,https://www.youtube.com/watch?v=wFBp_PHXrf4
10,24,Nosso Quadro,Ana Castela,2,5812259,39.1%,https://www.youtube.com/watch?v=r9GrcxTGNWg
11,11,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",7,5790180,-0.2%,https://www.youtube.com/watch?v=Z8HNDfY3ba4
12,10,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,15,5686412,-4.1%,https://www.youtube.com/watch?v=t050lriI0_w
13,18,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,6,5662222,13.7%,https://www.youtube.com/watch?v=6kiJt7WTTM4
14,16,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,9,5489579,3.8%,https://www.youtube.com/watch?v=sOgYk0iXNls
15,17,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,5,5452886,7.7%,https://www.youtube.com/watch?v=29WR7F4TDUI
16,13,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, MC Erik, Mc Pê, MC Vine7 & MC Don Juan",15,5397749,-2.2%,https://www.youtube.com/watch?v=BBUdg9S4Ii4
17,12,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",16,5230177,-6.7%,https://www.youtube.com/watch?v=24lfgigKHqQ
18,14,Lá Ele,Tierry & Manoel Gomes,6,5096153,-7.3%,https://www.youtube.com/watch?v=_KaA8W_Hov8
19,20,Coladin (Minha Deusa),Zé Vaqueiro,11,4999248,3.9%,https://www.youtube.com/watch?v=eihpkV7KSKo
20,21,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,6,4964425,8%,https://www.youtube.com/watch?v=_xl7YEj7IBM
21,19,Namora Aí,MC Ryan SP & Mc Daniel,10,4887379,0.8%,https://www.youtube.com/watch?v=4HQect5dM-g
22,23,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,17,4731424,4.2%,https://www.youtube.com/watch?v=vdbhKBGbsVM
23,15,Erro Gostoso (Ao Vivo),Simone Mendes,3,4547613,-16.5%,https://www.youtube.com/watch?v=mr09lDl_Tfk
24,,"Olha, Se você não me ama",Manoel Gomes & Tierry,1,4436537,,https://www.youtube.com/watch?v=FbDplUUW8SQ
25,22,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,30,4387204,-3.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA
26,36,MINHA CURA,MC Cabelinho,7,4336525,24.6%,https://www.youtube.com/watch?v=har3c93pJe0
27,26,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,21,4061716,1.7%,https://www.youtube.com/watch?v=af8fdbaB8JY
28,31,X1,MC Cabelinho & Dallass,47,3836750,4.5%,https://www.youtube.com/watch?v=zgdQsLH7sDw
29,25,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,21,3808296,-6.7%,https://www.youtube.com/watch?v=J3H--06Xw6g
30,27,Saudade da Minha Vida (Ao Vivo),Gusttavo Lima,3,3682494,-7.6%,https://www.youtube.com/watch?v=Jm5MCIVwjas
31,28,Evoque Prata (Sped Up),Lali DJ,15,3512685,-10.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY
32,33,Bandido Não Dança (feat. Love Funk),"Mc Paiva ZS, Gabb MC & DJ ALADIN GDB",4,3508822,-2.6%,https://www.youtube.com/watch?v=UR7APKgOprI
33,,Lovezinho (Sexy Version) (Remix),Bella DJ,1,3499874,,https://www.youtube.com/watch?v=
34,34,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,39,3465042,-1%,https://www.youtube.com/watch?v=69JAoslGYI8
35,29,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",10,3465009,-10.4%,https://www.youtube.com/watch?v=I1eZ6SilA74
36,30,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",21,3447200,-7.8%,https://www.youtube.com/watch?v=69-jnA4QLSM
37,37,Horas Iguais,WIU & Oruam,20,3362900,-0.3%,https://www.youtube.com/watch?v=hr_83ZXhmOI
38,39,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello",9,3282701,3.9%,https://www.youtube.com/watch?v=Kh9fYUUMK9U
39,44,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,32,3227866,8.5%,https://www.youtube.com/watch?v=hOGuaMazCz8
40,35,Cheiro da Karolina,Luiz Poderoso Chefão,17,3212564,-8%,https://www.youtube.com/watch?v=9gbWg7EGFEc
41,42,Traumatizei (Ao Vivo Em Brasília),Henrique & Juliano,2,3201840,6.8%,https://www.youtube.com/watch?v=QxZFjShiXhA
42,46,Casa da Árvore (Remix),"Mano dembele, Tinho do Coque, thallyson MC, Milly Explosão, MC CH da Z.O & Salah do Nordeste, seja cria, MC PR & Mc pequeno diamante",5,3118816,6.3%,https://www.youtube.com/watch?v=Cr7N6s7bhl4
43,47,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,30,3048344,6.7%,https://www.youtube.com/watch?v=MBg5g2g3okU
44,40,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",15,3008706,-4.6%,https://www.youtube.com/watch?v=eI5FkVWz_dI
45,38,Flowers,Miley Cyrus,5,2948006,-11.9%,https://www.youtube.com/watch?v=G7KNmW9a75Y
46,58,"Bota na Pipokinha (feat. DJ FELYPINHO 013, DJ Pablo RB & Noguera DJ)",MC Pipokinha,6,2913764,26.6%,https://www.youtube.com/watch?v=vSkW7eHyjFk
47,43,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,46,2909826,-2.5%,https://www.youtube.com/watch?v=rTJSWmgbVwA
48,41,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",22,2875033,-5.4%,https://www.youtube.com/watch?v=1CIIIv9dfzg
49,,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,29,2822024,,https://www.youtube.com/watch?v=pPxs52_MVIU
50,,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,31,2772700,,https://www.youtube.com/watch?v=WiNYFwIfg4w
51,,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",37,2673680,,https://www.youtube.com/watch?v=b7A98jz4uUA
52,55,DONA DE MIM,Ana Castela,8,2596736,7.4%,https://www.youtube.com/watch?v=rUW7ev79fTA
53,50,Papo de Agustinho,Oruam & Mainstreet,19,2565310,-7.2%,https://www.youtube.com/watch?v=ysn8Ifdfry4
54,57,Cabine Bruta,Luan Pereira & Guilherme & Benuto,2,2555921,8.6%,https://www.youtube.com/watch?v=dOzuPD67Qh0
55,,Balanço Da Rede (Ao Vivo),Matheus Fernandes,38,2554594,,https://www.youtube.com/watch?v=vAM1xXdRnH0
56,,Love Absurdo,"Mari Fernandez, MC Ryan SP & Mc Daniel",1,2521393,,https://www.youtube.com/watch?v=c-9KKQX4vwA
57,51,Eu Minto (Ao Vivo),US Agroboy & Ana Castela,3,2492609,-8%,https://www.youtube.com/watch?v=E7d9hda5Cws
58,,Sem Aliança no Dedo,MC Xenon,1,2476870,,https://www.youtube.com/watch?v=eOTJtXleRcE
59,62,Vida Chique (feat. Kaash Paige),Veigh & Supernova Ent,6,2455330,12.4%,https://www.youtube.com/watch?v=HzVS22rEwzU
60,32,Flow Espacial,"Teto, WIU & Matuê",3,2444216,-32.7%,https://www.youtube.com/watch?v=VBJvDgBZEi4
61,45,MAMA.CITA (hasta la vista),Luísa Sonza & Xamã,8,2441930,-17.4%,https://www.youtube.com/watch?v=RuXFXp4zQlM
62,56,Ai Papai,"Anitta, MC Danny & HITMAKER",10,2394170,-0.7%,https://www.youtube.com/watch?v=4fzFfiW3RPM
63,68,Perdoa Por Tudo Vida,"Veigh, Toledo, Supernova Ent & Bvga Beatz",5,2386155,16.4%,https://www.youtube.com/watch?v=za1IIm-yLbg
64,,Bonjour,KayBlack,1,2383321,,https://www.youtube.com/watch?v=jQSxSYeFKnE
65,73,SOLTEIROU (Ao Vivo),Luan Santana,3,2258868,24.8%,https://www.youtube.com/watch?v=GnoTgMEckDs
66,65,Maciçado,Mc Kako,9,2256318,8.7%,https://www.youtube.com/watch?v=Em4BVubFQLc
67,52,5 Regras,Jorge & Mateus,8,2247726,-16%,https://www.youtube.com/watch?v=VFWKrXxJEdM
68,74,Me Atraiu (Ao Vivo),Gabriela Rocha,2,2191454,27%,https://www.youtube.com/watch?v=Z6cONvRUFZQ
69,71,Não Me Esqueço,Mc Tato & Dj Chaves,4,2175519,12%,https://www.youtube.com/watch?v=qYJmwH26jvA
70,78,Alô Inveja (Ao Vivo Em Brasília),Henrique & Juliano,2,2101360,25%,https://www.youtube.com/watch?v=DB6-B_vtwuQ
71,59,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,19,2074152,-9%,https://www.youtube.com/watch?v=FQgZAj45ojY
72,88,Altas Loucurinhas (Uni Duni Tê) (Ao Vivo),Matheus Fernandes,2,2070535,35.9%,https://www.youtube.com/watch?v=JFf_IKPC6RM
73,61,Diga pra Mim,Evoney Fernandes,7,2061732,-8%,https://www.youtube.com/watch?v=bRgDFUt7Eqk
74,60,Pactos (Ao Vivo),Matheus & Kauan & Jorge & Mateus,17,2042657,-9.2%,https://www.youtube.com/watch?v=jPwCxjJqHGw
75,63,Toma Tapa,MC Jacaré,13,2042110,-2.6%,https://www.youtube.com/watch?v=vqHHUeEyEyU
76,69,Calm Down,Rema & Selena Gomez,11,2022227,-0.6%,https://www.youtube.com/watch?v=WcIcVapfqXw
77,67,Média Boa (Ao Vivo),Felipe e Rodrigo,10,1961283,-4.8%,https://www.youtube.com/watch?v=tZMIKfHMnkU
78,54,Tô Livre,Kamylinha santos,4,1940020,-23.5%,https://www.youtube.com/watch?v=5ciGH5POULk
79,76,Unholy (Live),Kim Petras & Sam Smith,21,1887374,10.3%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
80,72,Conduta (Ao Vivo),NATTAN & Mari Fernandez,9,1877616,-0.2%,https://www.youtube.com/watch?v=_j02gnLHdNo
81,85,X6,MC Hariel,5,1795710,14.2%,https://www.youtube.com/watch?v=vjfB87h1_Ik
82,77,Onlyfans (feat. MC Fahah),"Dj Lg do Sf, DJ Ws da Igrejinha & MC Saci",6,1770201,3.8%,https://www.youtube.com/watch?v=50f7RJX_naM
83,79,Boy da Hilux,Yury Pressão & Iguinho & Lulinha,3,1765646,6.8%,https://www.youtube.com/watch?v=vyxyJIYTabw
84,83,Vai Soltando Pancadão - Beat do Pica Pau Maluco (feat. MC Tilbita),DJ Santos MEC,2,1739920,9.3%,https://www.youtube.com/watch?v=tyDRlYGSF8U
85,75,"Let's Go 3 (feat. MC Ryan SP, MC Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","DJ GBR, Mc IG & MC Marks",16,1717851,0.3%,https://www.youtube.com/watch?v=sj-pRriVRJI
86,80,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,2,1699156,2.9%,https://www.youtube.com/watch?v=OO1nHL70qEE
87,70,Balmain (feat. Caio Passos),Mc Daniel,18,1675708,-16.5%,https://www.youtube.com/watch?v=R3EAwjEn0vg
88,86,NOSSA MÚSICA,MC Cabelinho & Gloria Groove,5,1670138,6.3%,https://www.youtube.com/watch?v=iBmrml_5JFk
89,,Buiu,Pisadinha de Luxo,1,1627360,,https://www.youtube.com/watch?v=ug5IBOYCUzQ
90,,Duas Três,"Guilherme & Benuto, Ana Castela & Adriano Rhod",1,1611286,,https://www.youtube.com/watch?v=z4H_Is0Jp4w
