Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,10,15399089,11.6%,https://www.youtube.com/watch?v=69JAoslGYI8
2,8,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,3,11272736,43.2%,https://www.youtube.com/watch?v=WiNYFwIfg4w
3,3,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",8,10361293,-1.4%,https://www.youtube.com/watch?v=NbB6qMA2lts
4,14,CACHORRINHAS,Luísa Sonza,2,10174407,88.7%,https://www.youtube.com/watch?v=__ur8Ykcivw
5,,Te Amo Demais,Marília Mendonça,1,9303067,,https://www.youtube.com/watch?v=P2qvD7LRBAo
6,2,Bandido,Zé Felipe & Mc Mari,6,9259418,-13.7%,https://www.youtube.com/watch?v=YxGYumo6tpU
7,49,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",2,9151802,207.4%,https://www.youtube.com/watch?v=_BfZRdFFdE8
8,4,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,17,9022530,-6.4%,https://www.youtube.com/watch?v=rTJSWmgbVwA
9,5,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,14,8495180,-2.1%,https://www.youtube.com/watch?v=psdZRggL7cI
10,6,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,6,7334041,-11.4%,https://www.youtube.com/watch?v=4zhowmwBCuw
11,7,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,3,7127004,-10.1%,https://www.youtube.com/watch?v=hOGuaMazCz8
12,11,Intuição (Ao Vivo),Mari Fernandez,12,6545005,5.5%,https://www.youtube.com/watch?v=rfkXgby-xn0
13,15,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",4,6384466,23.7%,https://www.youtube.com/watch?v=8NjXVsLHIg8
14,10,Tchuco Nela,MC Rogerinho & Wesley Safadão,15,5937343,-5.3%,https://www.youtube.com/watch?v=dEjA3uw5s3I
15,12,X1,MC Cabelinho & Dallass,18,5936396,-0.5%,https://www.youtube.com/watch?v=zgdQsLH7sDw
16,13,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",18,5665007,-4.7%,https://www.youtube.com/watch?v=b7A98jz4uUA
17,21,Incendeia,MC Kevin o Chris,3,5579082,22.8%,https://www.youtube.com/watch?v=fFeQDbY741I
18,9,Balanço Da Rede (Ao Vivo),Matheus Fernandes,20,5544258,-14.5%,https://www.youtube.com/watch?v=vAM1xXdRnH0
19,18,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",15,4638260,-4.1%,https://www.youtube.com/watch?v=L2_xh-r10OI
20,19,A Maior Saudade (Ao Vivo),Henrique & Juliano,47,4631125,-4.2%,https://www.youtube.com/watch?v=6EGg0_l-edc
21,,Não Era Pra Ser Assim,Marília Mendonça,1,4483061,,https://www.youtube.com/watch?v=1_cXtpgG-EQ
22,16,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",22,4373079,-12.8%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
23,41,Vento Forte,MC Jacaré & DJ TK,2,4357773,39.4%,https://www.youtube.com/watch?v=e6yUmOtchLE
24,22,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,28,4321886,-2.8%,https://www.youtube.com/watch?v=kyfXEMqvLgU
25,17,Tu Tava Na Revoada,Wesley Safadão,10,4283769,-13.1%,https://www.youtube.com/watch?v=GmlBAosY3V0
26,20,Bloqueado (Ao Vivo),Gusttavo Lima,35,4276110,-7.4%,https://www.youtube.com/watch?v=14C28JSO-sg
27,23,Malvada,Zé Felipe,26,4100390,-6.7%,https://www.youtube.com/watch?v=r0mNwyywHIY
28,29,Seu Perfil (Ao Vivo),Henrique & Juliano,26,4039585,6.1%,https://www.youtube.com/watch?v=KvAagUxO3OY
29,26,O Fim é Triste (feat. DJ BOY),MC Hariel,6,3949542,-1.6%,https://www.youtube.com/watch?v=BZ-9iYlDpXc
30,35,Virando o Olhinho,Kadu Martins,4,3852063,9.1%,https://www.youtube.com/watch?v=7njueXmgObo
31,30,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,11,3751860,-1.1%,https://www.youtube.com/watch?v=5EuvLJPOuKo
32,25,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",17,3721150,-11.3%,https://www.youtube.com/watch?v=273pasBKH18
33,24,Vampiro,"Matuê, Wiu & Teto",17,3645536,-15.4%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
34,28,Fim de Semana no Rio,Teto,18,3609078,-8.2%,https://www.youtube.com/watch?v=7AlAYttGnAg
35,31,Me Chama de Amor,Treyce & O Tubarão,16,3605275,-3.4%,https://www.youtube.com/watch?v=J9AfRmtdqGs
36,32,No Ouvidinho,Felipe Amorim,18,3522537,-5.3%,https://www.youtube.com/watch?v=eYuI4krrKBM
37,,Sendo Assim / Muito Estranho (Cuida Bem de Mim),Marília Mendonça,1,3494730,,https://www.youtube.com/watch?v=6feNceQ_EZc
38,47,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,15,3457023,14.3%,https://www.youtube.com/watch?v=yrQuMSYsYZQ
39,38,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",5,3453318,1.6%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
40,27,Pras Novinha (feat. DJ Pedrin),"MC Livinho, Dj LK da Escócia & DJ Breno",7,3443349,-13.3%,https://www.youtube.com/watch?v=vGBJmgZSeRc
41,37,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,13,3423894,-0.4%,https://www.youtube.com/watch?v=OnYr3TisCcg
42,43,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",10,3339327,8.6%,https://www.youtube.com/watch?v=wumB0Qs2YT4
43,57,Sentadinha Diferente,Dyamante DJ  & MC GW,3,3293742,23.6%,https://www.youtube.com/watch?v=GQ78UQAgLCI
44,36,Molhando O Volante (Live),Jorge & Mateus,33,3241913,-6.8%,https://www.youtube.com/watch?v=_SjTFD9qVuE
45,40,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,8,3226349,2.1%,https://www.youtube.com/watch?v=y3FdInN6n48
46,,Eu Quero Recair (Ao Vivo),Mari Fernandez & Simone & Simaria,1,3203259,,https://www.youtube.com/watch?v=b_9yVWUJzS0
