,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,Weekly,Video_id,publishedAt,Classification
49,50,33.0,ANACONDA *o* ~~~,Luísa Sonza & Mariah Angeliq ,17,2600924,-21.5%,https://www.youtube.com/watch?v=iLTR0UyG2Yo,2022-04-07,iLTR0UyG2Yo,2021-12-09 14:00:09,Frontline
50,51,49.0,Anota Aí,Mc Lipi ,16,2566958,-0.5%,https://www.youtube.com/watch?v=OXFN3ZMgaVk,2022-04-07,OXFN3ZMgaVk,2021-12-15 10:09:39,Frontline
51,52,46.0,CPX Ta Tega,"Mc Poze do Rodo, MC Maneirinho, Mainstreet & Neo Beats",4,2532054,-7.9%,https://www.youtube.com/watch?v=dRK7c3Je9ts,2022-04-07,dRK7c3Je9ts,2022-03-15 18:15:11,Frontline
52,53,53.0,SAFADEZINHA,Felipe Amorim & Zé Felipe,2,2529668,7%,https://www.youtube.com/watch?v=8XE6HQ8dZYA,2022-04-07,8XE6HQ8dZYA,2022-03-25 15:00:12,Frontline
53,54,,Sei Que Tu Gosta Muito,L7NNON & DJ Biel do Furduncinho,1,2498592,,https://www.youtube.com/watch?v=yukvofr7fzg,2022-04-07,yukvofr7fzg,2022-03-29 16:00:21,Frontline
54,55,38.0,"Oi, Como Ce Tá？",Vulgo FK,7,2472061,-21.5%,https://www.youtube.com/watch?v=K4n7zRoKmPc,2022-04-07,K4n7zRoKmPc,2022-02-13 19:50:10,Frontline
55,56,100.0,X1,MC Cabelinho & Dallass,2,2368634,67.8%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-04-07,zgdQsLH7sDw,2022-03-28 20:19:59,Frontline
56,57,79.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",2,2366445,40.6%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-04-07,b7A98jz4uUA,2022-04-08 14:00:23,Frontline
57,58,,Vai Malvadin,"Treyce, Mc Izal, SONY NO BEAT & AFONSO NA VOZ",1,2304332,,https://www.youtube.com/watch?v=NAnrixK-agg,2022-04-07,NAnrixK-agg,2022-03-31 10:09:51,Frontline
58,59,57.0,Juliet E Chapelão (Ao Vivo),"Dj Chris No Beat, Luan Pereira & Juan Pereira",3,2258957,2.5%,https://www.youtube.com/watch?v=k893U324R2c,2022-04-07,k893U324R2c,2022-02-25 14:00:22,Frontline
