Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Felina,WIU & MC Ryan SP,8,8835952,3.7%,https://www.youtube.com/watch?v=wFBp_PHXrf4
2,2,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,8,8467170,1.3%,https://www.youtube.com/watch?v=af8fdbaB8JY
3,3,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,7,8141488,0.6%,https://www.youtube.com/watch?v=rALK230exU0
4,4,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",3,7410667,8.6%,https://www.youtube.com/watch?v=24lfgigKHqQ
5,6,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,8,7120276,12.1%,https://www.youtube.com/watch?v=J3H--06Xw6g
6,9,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,6,6846551,23.8%,https://www.youtube.com/watch?v=uBc1wkTMywM
7,7,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,19,6624588,10.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w
8,5,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,17,6219425,-8.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA
9,8,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",20,6215282,3.8%,https://www.youtube.com/watch?v=8NjXVsLHIg8
10,13,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,44,5944599,23.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU
11,10,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,26,5604611,2.4%,https://www.youtube.com/watch?v=69JAoslGYI8
12,14,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,19,5388071,13.5%,https://www.youtube.com/watch?v=hOGuaMazCz8
13,15,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,30,5163838,16.5%,https://www.youtube.com/watch?v=psdZRggL7cI
14,18,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,2,5152116,23.8%,https://www.youtube.com/watch?v=t050lriI0_w
15,12,X1,MC Cabelinho & Dallass,34,5129238,3.7%,https://www.youtube.com/watch?v=zgdQsLH7sDw
16,36,Evoque Prata (Sped Up),Lali DJ,2,5092947,77.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY
17,11,Te Love (Ao Vivo),Kevi Jonny,11,4904100,-2.9%,https://www.youtube.com/watch?v=vBQbH4mA_z0
18,17,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,4,4854717,12.6%,https://www.youtube.com/watch?v=vdbhKBGbsVM
19,24,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,17,4632270,25.4%,https://www.youtube.com/watch?v=pPxs52_MVIU
20,21,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",9,4589468,12.2%,https://www.youtube.com/watch?v=1CIIIv9dfzg
21,23,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",11,4066887,8.2%,https://www.youtube.com/watch?v=
22,20,NÉ SEGREDO,MC Cabelinho,9,4026160,-2.8%,https://www.youtube.com/watch?v=GqLrlHHeww0
23,22,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,33,3993025,2.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA
24,32,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",5,3924997,28.9%,https://www.youtube.com/watch?v=tBdx1b40rfU
25,26,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,6,3750772,6.9%,https://www.youtube.com/watch?v=FQgZAj45ojY
26,27,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",16,3627713,4.6%,https://www.youtube.com/watch?v=thfYx-W63ws
27,,Pesadão,"Mc Poze do Rodo, MC Cabelinho, Ajaxx & DJ Nemo NTR",1,3613352,,https://www.youtube.com/watch?v=rnhrtIfi-HU
28,25,Seu Perfil (Ao Vivo),Henrique & Juliano,42,3528662,-3%,https://www.youtube.com/watch?v=KvAagUxO3OY
29,30,Gostosinha é Ela,Felipe Amorim,17,3490996,8.5%,https://www.youtube.com/watch?v=zSRjeUpQUwI
30,29,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",24,3402411,3.2%,https://www.youtube.com/watch?v=NbB6qMA2lts
