Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Tchuco Nela,MC Rogerinho & Wesley Safadão,4,9867965,5.4%,https://www.youtube.com/watch?v=dEjA3uw5s3I
2,3,Balanço Da Rede (Ao Vivo),Matheus Fernandes,9,7771662,-9.2%,https://www.youtube.com/watch?v=vAM1xXdRnH0
3,4,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,6,7330729,-10.2%,https://www.youtube.com/watch?v=rTJSWmgbVwA
4,2,No Ouvidinho,Felipe Amorim,7,7207080,-17.7%,https://www.youtube.com/watch?v=eYuI4krrKBM
5,6,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",6,6903023,-11.9%,https://www.youtube.com/watch?v=273pasBKH18
6,5,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",11,6655669,-17.1%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
7,7,Vampiro,"Matuê, Wiu & Teto",6,6414875,-5.8%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
8,9,Fim de Semana no Rio,Teto,7,6218437,-8.2%,https://www.youtube.com/watch?v=7AlAYttGnAg
9,10,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,43,6109304,-5.1%,https://www.youtube.com/watch?v=jW7j41mbxXU
10,11,Malvada,Zé Felipe,15,5925561,-7.8%,https://www.youtube.com/watch?v=r0mNwyywHIY
11,12,Bloqueado (Ao Vivo),Gusttavo Lima,24,5706951,-5.1%,https://www.youtube.com/watch?v=14C28JSO-sg
12,13,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,17,5310598,-11.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU
13,15,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",7,4629822,-8.9%,https://www.youtube.com/watch?v=b7A98jz4uUA
14,19,A Maior Saudade (Ao Vivo),Henrique & Juliano,36,4616580,-2.6%,https://www.youtube.com/watch?v=6EGg0_l-edc
15,40,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",5,4612921,44.2%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
16,28,Me Chama de Amor,Treyce & O Tubarão,5,4601444,22.6%,https://www.youtube.com/watch?v=J9AfRmtdqGs
17,16,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,23,4495965,-7.5%,https://www.youtube.com/watch?v=BKDz5kNjkfU
18,23,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,3,4397757,2.5%,https://www.youtube.com/watch?v=lac3TYlarFM
19,17,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,14,4160323,-12.8%,https://www.youtube.com/watch?v=I_gwjhvXxzM
20,18,Malvadão 3,Xamã,21,4133087,-13%,https://www.youtube.com/watch?v=i9NOkjmBszo
21,22,Amiga (Ao Vivo),Simone & Simaria,2,4132644,-6%,https://www.youtube.com/watch?v=48s6RGU1dr0
22,21,Vontade De Morder,Simone & Simaria & Zé Felipe,17,4019599,-11.5%,https://www.youtube.com/watch?v=bgf18kANm_k
23,20,Botadinha Saliente,MC Rogerinho,14,3982114,-15%,https://www.youtube.com/watch?v=kyjtx28z-bE
24,39,Seu Perfil (Ao Vivo),Henrique & Juliano,15,3740411,14.6%,https://www.youtube.com/watch?v=KvAagUxO3OY
25,29,Parada Louca,Mari Fernandez & Marcynho Sensação,26,3512871,-2.1%,https://www.youtube.com/watch?v=SvWQZfEWA0s
26,27,Simplesmente Ela,Mc Gabzin,8,3506690,-8.7%,https://www.youtube.com/watch?v=K6iRoT8u2xU
27,24,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,4,3393158,-18.9%,https://www.youtube.com/watch?v=apPxQOfh0ek
28,30,Depende,Dj Guuga,21,3385890,-4.8%,https://www.youtube.com/watch?v=v9geHIUOxeA
29,25,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",29,3331789,-17.4%,https://www.youtube.com/watch?v=TNIbXs_iNq8
30,32,Deus É o Meu Guia,Chefin Oficial,11,3298178,-4.9%,https://www.youtube.com/watch?v=WrZ6fKelwOU
31,35,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",6,3283951,-3.9%,https://www.youtube.com/watch?v=n43oZSY7df0
32,41,X1,MC Cabelinho & Dallass,7,3213526,3.8%,https://www.youtube.com/watch?v=zgdQsLH7sDw
33,34,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,24,3194626,-7%,https://www.youtube.com/watch?v=6MNxuMgg58k
34,,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,Mc Delux & Dj ABDO,2,3176958,,https://www.youtube.com/watch?v=76DWwRaztPQ
35,36,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,28,3159417,-7.3%,https://www.youtube.com/watch?v=r2ma8WPRppk
36,31,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,26,3142208,-11.1%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
37,38,Molhando O Volante (Live),Jorge & Mateus,22,3109712,-6.9%,https://www.youtube.com/watch?v=_SjTFD9qVuE
38,45,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",50,3031061,3.6%,https://www.youtube.com/watch?v=2PRAiVs3MVc
39,26,Filho do Dono,Oruam & MC Cabelinho,3,3009885,-22.5%,https://www.youtube.com/watch?v=dUC7TBmzrL4
40,37,GALOPA,PEDRO SAMPAIO,32,2983839,-12.3%,https://www.youtube.com/watch?v=mo1NcPxKfQU
41,44,F* F* M*,Filipe Ret,27,2938237,0.2%,https://www.youtube.com/watch?v=0hV9qYJ3IHQ
42,33,Envolver,Anitta,16,2864832,-17.2%,https://www.youtube.com/watch?v=hFCjGiawJi4
43,,Baile da Serra,"Braão, LIT UP & Dj Nattan",1,2851500,,https://www.youtube.com/watch?v=w7sHsnnQanI
44,50,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,30,2794948,7.4%,https://www.youtube.com/watch?v=88_jnJP0OtA
45,43,ABALO EMOCIONAL (Ao Vivo),Luan Santana,14,2732629,-9.1%,https://www.youtube.com/watch?v=cPGKKktrObc
46,46,Proteção de Tela (Live),Tarcísio do Acordeon,45,2700233,-1%,https://www.youtube.com/watch?v=edjih_b_NBQ
47,42,Presepada,Marília Mendonça & Maiara & Maraisa,28,2693789,-11.1%,https://www.youtube.com/watch?v=MQv__TADEGM
48,,Todo Seu,Jorge & Mateus,1,2689133,,https://www.youtube.com/watch?v=lyHNzNMSZyw
49,47,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",12,2619497,-3.9%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
50,61,Quem Vale Menos (Ao Vivo),Mari Fernandez,2,2543705,9.1%,https://www.youtube.com/watch?v=HVJWX1B9_lo
51,60,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",4,2517246,7%,https://www.youtube.com/watch?v=L2_xh-r10OI
52,49,Bagulho Louco,Mc Paiva ZS,2,2488913,-5.8%,https://www.youtube.com/watch?v=
53,51,Trem Mais Caro,"Mc Theuzyn, --, -- & --",3,2454565,-4.4%,https://www.youtube.com/watch?v=pdkBGKQgd4c
54,58,As It Was,Harry Styles,6,2316432,-2.3%,https://www.youtube.com/watch?v=H5v3kku4y6Q
55,56,Deixa Nós Viver em Paz,"MC Tuto, Mc Kako, MC Joãozinho VT, DJ BOY & Matheuszin DJ",5,2310390,-3.9%,https://www.youtube.com/watch?v=lxTFsDzF-nc
56,52,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,4,2209482,-13.8%,https://www.youtube.com/watch?v=SClzaJuWou4
57,59,VERMELHO,Gloria Groove,13,2185161,-7.2%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
58,53,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",19,2162872,-14.9%,https://www.youtube.com/watch?v=c7mbGJvX6t4
59,,Intuição (Ao Vivo),Mari Fernandez,1,2037617,,https://www.youtube.com/watch?v=rfkXgby-xn0
60,55,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,14,1998132,-17%,https://www.youtube.com/watch?v=CJdhWgebwqA
61,62,212,Chefin & Mainstreet,16,1997710,-10%,https://www.youtube.com/watch?v=290Q1JFInHE
62,63,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",13,1990940,-8.3%,https://www.youtube.com/watch?v=ulY5kBy2exo
63,72,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,2,1950554,1.4%,https://www.youtube.com/watch?v=OnYr3TisCcg
64,8,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,5,1908258,-71.9%,https://www.youtube.com/watch?v=76DWwRaztPQ
65,70,Saudade e Solidão (En Vivo),Vitor Fernandes,20,1884099,-5.1%,https://www.youtube.com/watch?v=SNbURUnTYCM
66,75,Unstoppable,Sia,15,1865704,5.4%,https://www.youtube.com/watch?v=YaEG2aWJnZ8
67,66,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,3,1853802,-13%,https://www.youtube.com/watch?v=psdZRggL7cI
68,80,Aposentei o 12 Molas,Mc Kako & DJ WN,2,1829913,7.1%,https://www.youtube.com/watch?v=3rdSK5uY6IM
69,81,Insônia 2,"Tribo da Periferia, Hungria Hip-Hop & MC Ryan SP",6,1820873,7.4%,https://www.youtube.com/watch?v=ra6vuF47hB0
70,64,Mal Caminho,"Dj Joao Da Inestan, Mc J mito & DJ Tg da Inestan",7,1746544,-18.9%,https://www.youtube.com/watch?v=WIv_TesjWMk
71,74,Juliet E Chapelão (Ao Vivo),"Dj Chris No Beat, Luan Pereira & Juan Pereira",8,1742453,-2.2%,https://www.youtube.com/watch?v=k893U324R2c
72,79,Está Tudo Bem (Ao Vivo),Kellen Byanca,4,1741837,1.9%,https://www.youtube.com/watch?v=zP0KRlNPNos
73,69,Sei Que Tu Gosta Muito,L7NNON & DJ Biel do Furduncinho,6,1740654,-14%,https://www.youtube.com/watch?v=yukvofr7fzg
74,90,Que Rabão,"Anitta, YG, Papatinho, MC Kevin o Chris & Mr. Catra",2,1721742,10%,https://www.youtube.com/watch?v=-NEYgNY8IXo
75,,Dengo (Ao Vivo),João Gomes,1,1717181,,https://www.youtube.com/watch?v=mqYjyQG11GQ
76,89,SET Vila Clara Store,"MC Neguinho do Kaxeta, --, MC Lele JP, MC Hariel, --, MC Marks, MC Joãozinho VT & DJ BOY",10,1692911,7.2%,https://www.youtube.com/watch?v=W3Xhpmix4KQ
77,86,Tá Chorando Por Quê?,Amanda Wanessa,19,1686360,4.3%,https://www.youtube.com/watch?v=xdr1Wg_cgSo
78,78,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",17,1639099,-4.6%,https://www.youtube.com/watch?v=PJqHlzBiZ0A
79,,Mais um Favelado,"Dj GM, Mc Lipi , MC Lele JP, MC Lemos & MC Liro",19,1602121,,https://www.youtube.com/watch?v=txqvRehMqRg
80,68,Rave e Bagaceira,Anderson & Vei da Pisadinha & MARQUINHOS LIMA,5,1584895,-24.1%,https://www.youtube.com/watch?v=8Mt5VSW6U-w
81,96,Sweater Weather,The Neighbourhood,3,1573301,8.8%,https://www.youtube.com/watch?v=GCdwKhTtNNw
82,73,Vai Malvadin,"Treyce, Mc Izal, SONY NO BEAT & AFONSO NA VOZ",6,1555286,-13.2%,https://www.youtube.com/watch?v=NAnrixK-agg
83,82,Idiota (Ao Vivo),Jão,17,1553783,-8%,https://www.youtube.com/watch?v=r2gppKSvBLE
84,71,Iphone Branco,Borges & Mainstreet,14,1544175,-20.4%,https://www.youtube.com/watch?v=xv8NrFQqKJ8
85,76,Aulas e Cursos,DNASTY,5,1508623,-14.7%,https://www.youtube.com/watch?v=qa2-wpVZt2E
86,83,Hoje Eu Vou Te Usar,Mari Fernandez & Felipe Amorim,11,1481478,-11.9%,https://www.youtube.com/watch?v=_0bDIQgliHg
87,77,Não Faz Isso Comigo Não,Tz da Coronel,5,1463156,-16.2%,https://www.youtube.com/watch?v=mqsb7MSgY6U
88,65,Eu Me Trai (Ao Vivo),Henrique & Juliano,3,1448594,-32.5%,https://www.youtube.com/watch?v=MSIvdSxAckg
89,,Eu Navegarei,Gabriela Rocha,23,1438970,,https://www.youtube.com/watch?v=nSvxVCdj_gU
90,100,Agora Somos Ex,Nenho,3,1429877,1.7%,https://www.youtube.com/watch?v=LA-bc9dX4y0
91,,Agonia (Ao Vivo),Mari Fernandez,1,1404435,,https://www.youtube.com/watch?v=AYGyhVLmGYg
92,97,Se Não For Por Amor (Ao Vivo),Amado Batista,6,1403829,-2.8%,https://www.youtube.com/watch?v=4Z8cuCZKR5E
93,,Rasteira (Ao Vivo),Henrique & Juliano,10,1398544,,https://www.youtube.com/watch?v=lWMTOl1KPbs
94,,Save Your Tears,The Weeknd,9,1389608,,https://www.youtube.com/watch?v=XXYlFuWEuKI
95,,Mete Um Block Nele,João Gomes,22,1386242,,https://www.youtube.com/watch?v=sKj5Fst0JlQ
96,,"Jacaré no Peito (feat. MC Lemos, MC Leozinho ZS & Oldilla)","Mc Paiva ZS, MC Ryan SP & Gabb MC",5,1365776,,https://www.youtube.com/watch?v=7m1XTCMgBZ8
97,95,Cheiro De Problema (Ao Vivo),Zé Neto e Henrique & Diego & Victor Hugo,5,1365630,-7.1%,https://www.youtube.com/watch?v=ZkHSMYIRh0A
98,,Todavia Me Alegrarei (Ao Vivo),Samuel Messias,2,1358676,,https://www.youtube.com/watch?v=81GaF34veWA
99,,Pendência (Ao Vivo),Gusttavo Lima,10,1358049,,https://www.youtube.com/watch?v=GBQEYYSjEpY
100,,Mustang Preto,Teto,20,1348894,,https://www.youtube.com/watch?v=iDJM3HTdjck
