Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Bandido,Zé Felipe & Mc Mari,3,14244539,-7.4%,https://www.youtube.com/watch?v=YxGYumo6tpU
2,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,14,9668901,3.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA
3,8,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,3,9078705,37.1%,https://www.youtube.com/watch?v=4zhowmwBCuw
4,11,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",5,8228065,52.5%,https://www.youtube.com/watch?v=NbB6qMA2lts
5,7,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,11,8011535,18.5%,https://www.youtube.com/watch?v=psdZRggL7cI
6,3,Tchuco Nela,MC Rogerinho & Wesley Safadão,12,7990986,-4.6%,https://www.youtube.com/watch?v=dEjA3uw5s3I
7,4,Balanço Da Rede (Ao Vivo),Matheus Fernandes,17,7787699,-0.7%,https://www.youtube.com/watch?v=vAM1xXdRnH0
8,5,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",15,7437366,-0.8%,https://www.youtube.com/watch?v=b7A98jz4uUA
9,16,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,7,6790177,31.4%,https://www.youtube.com/watch?v=69JAoslGYI8
10,9,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,51,6434715,3.5%,https://www.youtube.com/watch?v=jW7j41mbxXU
11,6,Tu Tava Na Revoada,Wesley Safadão,7,5918294,-13.9%,https://www.youtube.com/watch?v=GmlBAosY3V0
12,,Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3 (Ao Vivo),Ludmilla & Luísa Sonza,1,5880877,,https://www.youtube.com/watch?v=1OC6L-ekUXU
13,13,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",19,5688412,8.4%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
14,18,Intuição (Ao Vivo),Mari Fernandez,9,5663688,14%,https://www.youtube.com/watch?v=rfkXgby-xn0
15,23,X1,MC Cabelinho & Dallass,15,5402255,12.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw
16,12,Me Chama de Amor,Treyce & O Tubarão,13,5059928,-5.4%,https://www.youtube.com/watch?v=J9AfRmtdqGs
17,21,Vampiro,"Matuê, Wiu & Teto",14,5036081,3.5%,https://www.youtube.com/watch?v=TKqa-ZXGKYA
18,10,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,22,5005575,-13.6%,https://www.youtube.com/watch?v=I_gwjhvXxzM
19,14,Bloqueado (Ao Vivo),Gusttavo Lima,32,4975843,-4.7%,https://www.youtube.com/watch?v=14C28JSO-sg
20,15,Malvada,Zé Felipe,23,4886527,-5.7%,https://www.youtube.com/watch?v=r0mNwyywHIY
21,24,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",14,4809474,2.2%,https://www.youtube.com/watch?v=273pasBKH18
22,19,Pras Novinha (feat. DJ Pedrin),"MC Livinho, Dj LK da Escócia & DJ Breno",4,4763966,-3.9%,https://www.youtube.com/watch?v=vGBJmgZSeRc
23,26,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,25,4686004,3.1%,https://www.youtube.com/watch?v=kyfXEMqvLgU
24,20,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",12,4611303,-5.6%,https://www.youtube.com/watch?v=L2_xh-r10OI
25,22,A Maior Saudade (Ao Vivo),Henrique & Juliano,44,4515179,-6.2%,https://www.youtube.com/watch?v=6EGg0_l-edc
26,27,No Ouvidinho,Felipe Amorim,15,4433144,0.2%,https://www.youtube.com/watch?v=eYuI4krrKBM
27,56,O Fim é Triste (feat. DJ BOY),MC Hariel,3,4128521,57.4%,https://www.youtube.com/watch?v=BZ-9iYlDpXc
28,31,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,10,4114099,5.9%,https://www.youtube.com/watch?v=OnYr3TisCcg
29,84,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",2,4099011,147.8%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
30,17,Dengo (Ao Vivo),João Gomes,9,4088648,-17.9%,https://www.youtube.com/watch?v=mqYjyQG11GQ
31,29,Seu Perfil (Ao Vivo),Henrique & Juliano,23,4041943,-0.7%,https://www.youtube.com/watch?v=KvAagUxO3OY
32,28,Fim de Semana no Rio,Teto,15,3993432,-5.8%,https://www.youtube.com/watch?v=7AlAYttGnAg
33,25,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,5,3988363,-12.5%,https://www.youtube.com/watch?v=y3FdInN6n48
34,38,Joga Essa Rabeta,MC Teuzin PV & MC Skcot,6,3673194,15.4%,https://www.youtube.com/watch?v=pIr6TjG7Rko
35,33,A Cara do Crime 3 (Brinde à Liberdade),"Mc Poze do Rodo, Orochi, Filipe Ret, Mainstreet & Bielzin",6,3626772,-4.2%,https://www.youtube.com/watch?v=3aKrgl3-Unc
36,34,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",13,3550708,-2.8%,https://www.youtube.com/watch?v=x4QSi_Eb-c8
37,35,Vontade De Morder,Simone & Simaria & Zé Felipe,25,3415821,-5.7%,https://www.youtube.com/watch?v=bgf18kANm_k
38,37,Molhando O Volante (Live),Jorge & Mateus,30,3403691,-3.8%,https://www.youtube.com/watch?v=_SjTFD9qVuE
39,41,"Let's Let's Go (feat. MC Hariel, Mc Kadu, MC Marks, MC Don Juan, Mc Luki & MC PH)","DJ GBR, Mc IG & MC Ryan SP",6,3387342,10.6%,https://www.youtube.com/watch?v=Fh9lQcV94d4
40,39,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,31,3305759,4.5%,https://www.youtube.com/watch?v=6MNxuMgg58k
41,32,Hotel Caro,Baco Exu do Blues & Luísa Sonza,4,3271674,-14.4%,https://www.youtube.com/watch?v=PQrWORayZTc
42,30,ACORDA PEDRINHO,Jovem Dionisio,7,3165100,-19.6%,https://www.youtube.com/watch?v=d-tx9D4a8dc
43,43,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,31,3128360,3.9%,https://www.youtube.com/watch?v=BKDz5kNjkfU
44,59,Running Up That Hill,Kate Bush,6,3102927,27.8%,https://www.youtube.com/watch?v=wp43OdtAAkM
45,47,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,8,3095761,7.9%,https://www.youtube.com/watch?v=5EuvLJPOuKo
46,45,Parada Louca,Mari Fernandez & Marcynho Sensação,34,3071912,6%,https://www.youtube.com/watch?v=SvWQZfEWA0s
47,49,"Set do G15: A Revoada Começou (feat. MC Ryan SP, MC Menor da VG, JottaPê, Gaab & MC Don Juan)","MC Pedrinho, Mc Davi & MC G15",8,2901327,4.1%,https://www.youtube.com/watch?v=1vXn6pl40bo
48,,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",1,2894872,,https://www.youtube.com/watch?v=8NjXVsLHIg8
49,48,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,36,2871968,1.4%,https://www.youtube.com/watch?v=r2ma8WPRppk
50,,Botadinha Saliente,MC Rogerinho,21,2864001,,https://www.youtube.com/watch?v=kyjtx28z-bE
51,60,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,12,2861329,18.4%,https://www.youtube.com/watch?v=yrQuMSYsYZQ
52,42,Quem Vale Menos (Ao Vivo),Mari Fernandez,10,2744877,-9.6%,https://www.youtube.com/watch?v=HVJWX1B9_lo
53,61,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",7,2648243,13%,https://www.youtube.com/watch?v=wumB0Qs2YT4
54,40,Amiga (Ao Vivo),Simone & Simaria,10,2632906,-16.2%,https://www.youtube.com/watch?v=48s6RGU1dr0
55,46,Sonho Dos Cria,Filipe Ret & Mc Poze do Rodo,3,2598635,-9.6%,https://www.youtube.com/watch?v=aopp7-PFD14
56,44,Simplesmente Ela,Mc Gabzin,16,2584430,-12.1%,https://www.youtube.com/watch?v=K6iRoT8u2xU
57,,PERIGO NOTURNO (Ao Vivo),Luan Santana,1,2579654,,https://www.youtube.com/watch?v=ZWopmb4du0I
58,57,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,12,2557804,0.4%,https://www.youtube.com/watch?v=SClzaJuWou4
59,54,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,12,2538014,-4.5%,https://www.youtube.com/watch?v=apPxQOfh0ek
60,51,Eu Bem Que Te Avisei,Mc Delux & DJ ABDO,13,2518141,-8.5%,https://www.youtube.com/watch?v=76DWwRaztPQ
61,53,"SET MK 2 (feat. MC Joãozinho VT, MC Ryan SP, MC Neguinho do Kaxeta, Mc Kanhoto, MC Don Juan & DJ BOY)","MC Hariel, Mc IG & MC Marks",5,2453180,-8.4%,https://www.youtube.com/watch?v=H7yym8n8nLw
62,,Medley Lud Session - Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano,Ludmilla & Gloria Groove,24,2444264,,https://www.youtube.com/watch?v=0-mKwNMXETo
63,52,Predestinado,Oruam,4,2421702,-10.7%,https://www.youtube.com/watch?v=kqPSfz_bCX8
64,64,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",14,2270289,-2.1%,https://www.youtube.com/watch?v=n43oZSY7df0
65,55,Bagulho Louco,Mc Paiva ZS,10,2224665,-16.1%,https://www.youtube.com/watch?v=
66,68,Aposentei o 12 Molas,Mc Kako & DJ WN,10,2176577,7.8%,https://www.youtube.com/watch?v=3rdSK5uY6IM
67,58,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,11,2160175,-11.8%,https://www.youtube.com/watch?v=lac3TYlarFM
68,71,Festa de Vagabundo,Mc Paiva ZS & Kotim,4,2118978,7%,https://www.youtube.com/watch?v=8xxXjzRlcjQ
