Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",5,13266270,-12.2%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
2,12,Envolver,Anitta,10,13030141,91.4%,https://www.youtube.com/watch?v=hFCjGiawJi4
3,2,Malvada,Zé Felipe,9,10740459,-4.8%,https://www.youtube.com/watch?v=r0mNwyywHIY
4,3,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,8,8660783,-14.8%,https://www.youtube.com/watch?v=I_gwjhvXxzM
5,4,Malvadão 3,Xamã,15,8134043,-11.6%,https://www.youtube.com/watch?v=i9NOkjmBszo
6,5,Botadinha Saliente,MC Rogerinho,8,7301823,-9.9%,https://www.youtube.com/watch?v=kyjtx28z-bE
7,9,Bloqueado (Ao Vivo),Gusttavo Lima,18,7294147,0.1%,https://www.youtube.com/watch?v=14C28JSO-sg
8,6,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,37,7282407,-6.9%,https://www.youtube.com/watch?v=jW7j41mbxXU
9,10,Depende,Dj Guuga,15,7137097,0.3%,https://www.youtube.com/watch?v=v9geHIUOxeA
10,7,Vontade De Morder,Simone & Simaria & Zé Felipe,11,6701263,-9.1%,https://www.youtube.com/watch?v=bgf18kANm_k
11,8,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,11,6680640,-9%,https://www.youtube.com/watch?v=kyfXEMqvLgU
12,32,Balanço Da Rede (Ao Vivo),Matheus Fernandes,3,6348376,86.8%,https://www.youtube.com/watch?v=vAM1xXdRnH0
13,11,Deus É o Meu Guia,Chefin Oficial,5,5894604,-16.4%,https://www.youtube.com/watch?v=WrZ6fKelwOU
14,13,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",23,5741870,-11.4%,https://www.youtube.com/watch?v=TNIbXs_iNq8
