Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Malvada,Zé Felipe,7,13710100,-7.7%,https://www.youtube.com/watch?v=r0mNwyywHIY
2,4,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,6,10866085,8.1%,https://www.youtube.com/watch?v=I_gwjhvXxzM
3,2,Malvadão 3,Xamã,13,9932789,-8.3%,https://www.youtube.com/watch?v=i9NOkjmBszo
4,8,Deus É o Meu Guia,Chefin Oficial,3,8490592,1.9%,https://www.youtube.com/watch?v=WrZ6fKelwOU
5,6,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,35,8139084,-16.3%,https://www.youtube.com/watch?v=jW7j41mbxXU
6,9,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,9,7759479,-4.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU
7,7,Vontade De Morder,Simone & Simaria & Zé Felipe,9,7724128,-7.7%,https://www.youtube.com/watch?v=bgf18kANm_k
8,3,Bloqueado (Ao Vivo),Gusttavo Lima,16,7680550,-24.9%,https://www.youtube.com/watch?v=14C28JSO-sg
9,5,Depende,Dj Guuga,13,7542798,-24%,https://www.youtube.com/watch?v=v9geHIUOxeA
10,13,Botadinha Saliente,MC Rogerinho,6,7536306,13.3%,https://www.youtube.com/watch?v=kyjtx28z-bE
11,10,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",21,7330918,-6.9%,https://www.youtube.com/watch?v=TNIbXs_iNq8
12,20,212,Chefin & Mainstreet,9,6231373,15.7%,https://www.youtube.com/watch?v=290Q1JFInHE
13,11,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,18,6047193,-20%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
14,12,Parada Louca,Mari Fernandez & Marcynho Sensação,18,5698261,-16.1%,https://www.youtube.com/watch?v=SvWQZfEWA0s
15,15,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,16,5656597,-2%,https://www.youtube.com/watch?v=6MNxuMgg58k
16,17,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,20,5428565,-2.5%,https://www.youtube.com/watch?v=r2ma8WPRppk
17,19,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",5,5410083,0.3%,https://www.youtube.com/watch?v=ulY5kBy2exo
18,26,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,15,5057796,18.7%,https://www.youtube.com/watch?v=BKDz5kNjkfU
19,18,GALOPA,PEDRO SAMPAIO,24,4986999,-8%,https://www.youtube.com/watch?v=mo1NcPxKfQU
20,22,A Maior Saudade (Ao Vivo),Henrique & Juliano,28,4935842,1.8%,https://www.youtube.com/watch?v=6EGg0_l-edc
21,29,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,6,4649791,13.2%,https://www.youtube.com/watch?v=CJdhWgebwqA
22,23,VERMELHO,Gloria Groove,5,4520011,-4.7%,https://www.youtube.com/watch?v=p4aPlYN6x1Q
23,25,Cabeça Branca (Live),Tierry,24,4452059,0%,https://www.youtube.com/watch?v=J_jJhHhYW9w
24,21,Presepada,Marília Mendonça & Maiara & Maraisa,20,4439326,-15.5%,https://www.youtube.com/watch?v=MQv__TADEGM
25,31,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",3,4426378,22.9%,https://www.youtube.com/watch?v=VKaLjHZJ-GY
26,56,Envolver,Anitta,8,4171281,64.3%,https://www.youtube.com/watch?v=hFCjGiawJi4
27,28,INVEJOSO,"Distrito 23, Raffé & Chefin",18,3966857,-5.6%,https://www.youtube.com/watch?v=79KWwlhbOD8
28,27,"Oi, Como Ce Tá？",Vulgo FK,4,3954543,-6.6%,https://www.youtube.com/watch?v=K4n7zRoKmPc
29,35,"Tchau Obrigado (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",11,3803501,11.8%,https://www.youtube.com/watch?v=c7mbGJvX6t4
30,16,Poesia Acústica 12 - Pra Sempre,"Pineapple StormTV, Filipe Ret, Teto, Luiz Lins, Salve Malak, Borges, Budah, BIN, Marina Sena & Caio Luccas",4,3621178,-36%,https://www.youtube.com/watch?v=D9MtpH2ZE2U
31,34,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",42,3505337,2.5%,https://www.youtube.com/watch?v=2PRAiVs3MVc
32,37,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,22,3489191,7.7%,https://www.youtube.com/watch?v=88_jnJP0OtA
33,24,Molhando O Volante (Live),Jorge & Mateus,14,3418395,-27.9%,https://www.youtube.com/watch?v=_SjTFD9qVuE
34,32,Arranhão (Ao Vivo),Henrique & Juliano,32,3357445,-4.3%,https://www.youtube.com/watch?v=2_xBCeBmaS8
35,30,Baby Me Atende,Matheus Fernandes & Dilsinho,51,3320104,-10.8%,https://www.youtube.com/watch?v=qMEsx__88Gk
36,44,Proteção de Tela (Live),Tarcísio do Acordeon,37,3290485,10.3%,https://www.youtube.com/watch?v=edjih_b_NBQ
37,43,Alívio,Jessé Aguiar,42,3275844,9.3%,https://www.youtube.com/watch?v=JgLFoArntlI
38,42,ANACONDA *o* ~~~,Luísa Sonza & Mariah Angeliq ,14,3177128,4.8%,https://www.youtube.com/watch?v=iLTR0UyG2Yo
39,36,Todo Mundo Menos Você,Marília Mendonça & Maiara & Maraisa,25,3017588,-10.5%,https://www.youtube.com/watch?v=UDVr3ab3NVM
40,46,Ficha Limpa (Ao Vivo),Gusttavo Lima,40,2983320,3.2%,https://www.youtube.com/watch?v=_7DKuv_xsuY
41,40,Revoada No Colchão,Zé Felipe & Marcynho Sensação,27,2978307,-5.3%,https://www.youtube.com/watch?v=0jnZreO4Dvs
42,51,Iphone Branco,Borges & Mainstreet,6,2942919,8.7%,https://www.youtube.com/watch?v=xv8NrFQqKJ8
43,39,Maldivas,Ludmilla,7,2939747,-7.7%,https://www.youtube.com/watch?v=VsIp4-vnqlw
44,38,Anota Aí,Mc Lipi ,13,2927576,-8.8%,https://www.youtube.com/watch?v=OXFN3ZMgaVk
45,14,50 por Cento,Naiara Azevedo & Marília Mendonça,2,2917853,-52.5%,https://www.youtube.com/watch?v=zhaTkKdovgM
46,,Batendo o Dente (Ao Vivo),Zé Neto & Cristiano,1,2907046,,https://www.youtube.com/watch?v=6vazqxfLpWc
47,41,Seu Perfil (Ao Vivo),Henrique & Juliano,7,2905711,-5.6%,https://www.youtube.com/watch?v=KvAagUxO3OY
48,48,Esqueça-Me Se For Capaz,Marília Mendonça & Maiara & Maraisa,22,2896638,1.4%,https://www.youtube.com/watch?v=I8va_ChEIAI
49,47,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",9,2866559,0.1%,https://www.youtube.com/watch?v=PJqHlzBiZ0A
50,49,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",2,2736751,-2.6%,https://www.youtube.com/watch?v=bvWRMAU6V-c
51,53,Não Vou Te Bloquear (Ao Vivo),"MC Don Juan, Tarcísio do Acordeon & DG e Batidão Stronda",12,2733141,4%,https://www.youtube.com/watch?v=6lsOfEHb4C4
52,57,ABALO EMOCIONAL (Ao Vivo),Luan Santana,6,2702885,7%,https://www.youtube.com/watch?v=cPGKKktrObc
