Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
41,48,Evento Cancelado (Ao Vivo),Henrique & Juliano,10,2760620,11.4%,https://www.youtube.com/watch?v=2cdF8Y3J1e4
42,28,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",13,2756417,-3.6%,https://www.youtube.com/watch?v=_BfZRdFFdE8
43,32,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,10,2753840,-1.8%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE
44,38,Vento Forte,MC Jacaré & DJ TK,13,2731190,2.3%,https://www.youtube.com/watch?v=e6yUmOtchLE
45,44,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,26,2695092,7%,https://www.youtube.com/watch?v=yrQuMSYsYZQ
46,46,Molhando O Volante (Live),Jorge & Mateus,43,2693588,7.2%,https://www.youtube.com/watch?v=_SjTFD9qVuE
47,39,Under The Influence,Chris Brown,9,2667283,0.5%,https://www.youtube.com/watch?v=pfxyk1glEq4
48,49,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,37,2640635,7.1%,https://www.youtube.com/watch?v=6MNxuMgg58k
49,30,A Culpa É Tua Você Falou pra Fulana,Selminho DJ & MC Durrony,8,2617984,-7.9%,https://www.youtube.com/watch?v=bj15pZE_63A
50,41,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,22,2560932,0.3%,https://www.youtube.com/watch?v=5EuvLJPOuKo
51,64,Cão Sem Dono,Mari Fernandez,2,2482184,23.1%,https://www.youtube.com/watch?v=n-YI6SpWZyE
52,,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,45,2478419,,https://www.youtube.com/watch?v=r2ma8WPRppk
53,,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,42,2449749,,https://www.youtube.com/watch?v=88_jnJP0OtA
54,,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,1,2439542,,https://www.youtube.com/watch?v=uBc1wkTMywM
55,59,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,19,2423701,15.7%,https://www.youtube.com/watch?v=y3FdInN6n48
56,60,Deixa Eu Te Superar,Tarcísio do Acordeon,9,2394585,15.4%,https://www.youtube.com/watch?v=4lFYdHFaLxQ
57,69,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",4,2384939,22.4%,https://www.youtube.com/watch?v=1CIIIv9dfzg
58,76,Chá de Chifre,"Marcynho Sensação, Mc Mari & Wesley Safadão",9,2343130,25%,https://www.youtube.com/watch?v=8x2QxMZIUH0
