Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Leão,Marília Mendonça,6,23272004,34.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM
2,2,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",9,11404586,-1.7%,https://www.youtube.com/watch?v=5fI3cK7iDeg
3,4,Luz do Luar,Mc Tato & Dj ak beats,6,8472623,9.8%,https://www.youtube.com/watch?v=P5AnIr0_6tw
4,3,Felina,WIU & MC Ryan SP,17,8098924,2.1%,https://www.youtube.com/watch?v=wFBp_PHXrf4
5,7,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,15,7809538,9.3%,https://www.youtube.com/watch?v=uBc1wkTMywM
6,6,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,11,7468988,1.7%,https://www.youtube.com/watch?v=t050lriI0_w
7,10,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",3,7244716,12.5%,https://www.youtube.com/watch?v=Z8HNDfY3ba4
8,12,Coração de Gelo,WIU,7,6621109,14.4%,https://www.youtube.com/watch?v=p03BWB5SN4M
9,8,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,17,6618737,-0.8%,https://www.youtube.com/watch?v=af8fdbaB8JY
10,5,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",6,6592630,-12%,https://www.youtube.com/watch?v=I1eZ6SilA74
11,9,Evoque Prata (Sped Up),Lali DJ,11,6180037,-6.7%,https://www.youtube.com/watch?v=B4dmw3CfYtY
12,13,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,26,5933260,6.5%,https://www.youtube.com/watch?v=qjxNM9qF3LA
13,14,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,13,5288304,2.2%,https://www.youtube.com/watch?v=vdbhKBGbsVM
14,11,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",12,5176598,-16.4%,https://www.youtube.com/watch?v=24lfgigKHqQ
