Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,44,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",2,12936451,415.3%,https://www.youtube.com/watch?v=69-jnA4QLSM
2,1,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",13,8582922,-11.3%,https://www.youtube.com/watch?v=8NjXVsLHIg8
3,3,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,12,7915542,-1%,https://www.youtube.com/watch?v=WiNYFwIfg4w
4,2,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,19,7400982,-10.9%,https://www.youtube.com/watch?v=69JAoslGYI8
5,4,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,12,6636115,-1.9%,https://www.youtube.com/watch?v=hOGuaMazCz8
6,7,Te Love (Ao Vivo),Kevi Jonny,4,6484995,8.8%,https://www.youtube.com/watch?v=vBQbH4mA_z0
7,5,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,26,6177356,-6.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA
8,8,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,10,5955507,1.6%,https://www.youtube.com/watch?v=qjxNM9qF3LA
9,9,X1,MC Cabelinho & Dallass,27,5668463,-2.5%,https://www.youtube.com/watch?v=zgdQsLH7sDw
10,11,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",17,5274436,-7.5%,https://www.youtube.com/watch?v=NbB6qMA2lts
11,6,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,23,5203588,-17.3%,https://www.youtube.com/watch?v=psdZRggL7cI
12,12,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,37,5148455,-5.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU
13,13,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",4,4814437,-6.1%,https://www.youtube.com/watch?v=
14,14,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",14,4527791,-0.8%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
15,15,Gostosinha é Ela,Felipe Amorim,10,4209586,-7.3%,https://www.youtube.com/watch?v=zSRjeUpQUwI
16,16,Intuição (Ao Vivo),Mari Fernandez,21,4183736,-6.8%,https://www.youtube.com/watch?v=rfkXgby-xn0
17,21,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",4,4138755,24.3%,https://www.youtube.com/watch?v=oc0wsia4b3E
18,18,Seu Perfil (Ao Vivo),Henrique & Juliano,35,4087404,1%,https://www.youtube.com/watch?v=KvAagUxO3OY
19,17,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",9,3922328,-5.2%,https://www.youtube.com/watch?v=thfYx-W63ws
20,58,NÉ SEGREDO,MC Cabelinho,2,3844485,69.9%,https://www.youtube.com/watch?v=GqLrlHHeww0
21,,Felina,WIU & MC Ryan SP,1,3810264,,https://www.youtube.com/watch?v=wFBp_PHXrf4
22,20,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",11,3308324,-1.3%,https://www.youtube.com/watch?v=_BfZRdFFdE8
